no,StatId,ChargerId,StartDate,EndDate,Note,EvChargerUseStampId,statNm,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,eci_note,limitYn,limitDetail,delYn,delDetail,Available,LatNumber,LngNumber,AverageRating,AverageCharingSpeed
1619251,SJ210501,1,2025-01-03 14:16,2025-01-03 15:02,NULL,1611632,박연 문화관1,6,세종특별자치시 갈매로 387,NULL,36.498499,127.263816,24시간 이용가능,SJ,세종시,세종시,1661-9408,2,2.02502E+13,2.02501E+13,2.02501E+13,NULL,NULL,50,단독,36,36110,B0,B001,Y,NULL,N,NULL,N,NULL,YES,36.4985,127.264,0,0
1619250,PW014801,6,2025-01-06 7:30,2025-01-06 9:16,NULL,1611631,해들마을2단지아파트(SP),2,세종특별자치시 대평1길 37,NULL,36.46972105,127.2760668,24시간 이용가능,PW,파워큐브,파워큐브(SP),1833-8017,3,2.02502E+13,2.02502E+13,2.02501E+13,2.02502E+13,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4697,127.276,0,0
1619249,PW013751,3,2025-01-06 0:09,2025-01-06 10:56,NULL,1611630,나릿재마을4단지 입주자대표회의,2,세종특별자치시 나성북로 47,NULL,36.49129108,127.2608082,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4913,127.261,0,0
1619248,PW013119,31,2025-01-05 17:47,2025-01-05 23:33,NULL,1611629,가온마을1단지아파트 입주자대표회의,2,세종특별자치시 다정남로 22,NULL,36.49299528,127.2448033,24시간 이용가능,PW,파워큐브,파워큐브코리아,1833-8017,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.493,127.245,0,0
1619247,PW012850,3,2025-01-05 16:42,2025-01-05 23:58,NULL,1611628,두진리버빌아파트입주자대표회의,2,세종특별자치시 금남면 용포2길 70,NULL,36.46326973,127.2797064,24시간 이용가능,PW,파워큐브,파워큐브,1833-8017,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,NULL,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4633,127.28,0,0
1619246,PL012113,21,2025-01-04 18:15,2025-01-06 11:26,NULL,1611627,가락마을5단지,2,세종특별자치시 마음안로 34,NULL,36.5086782,127.238764,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,7,단독,36,36110,H0,H001,N,NULL,Y,시설 상황에 따라 이용이 제한될 수 있음,N,NULL,YES,36.5087,127.239,0,0
1619245,PI761637,14,2025-01-06 6:28,2025-01-06 6:28,NULL,1611626,도램마을14단지,2,세종특별자치시 보듬2로 42,NULL,36.5110439,127.2664946,24시간 이용가능,PI,차지비,GS차지비,1600-4047,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.511,127.266,0,0
1619244,MO361101,1,2025-01-05 18:28,2025-01-05 18:28,NULL,1611625,수루배마을1단지,2,세종특별자치시 반곡로 14,NULL,36.498532,127.3078514,24시간 이용가능,MO,매니지온,매니지온,1833-2377,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,7,단독,36,36110,H0,H001,Y,NULL,Y,거주자외 출입제한,N,NULL,YES,36.4985,127.308,0,0
1619243,KP005009,1,2025-01-06 11:01,2025-01-06 11:27,NULL,1611624,보건소신청사,4,세종특별자치시 조치원읍 대첩로 32,NULL,36.59606424,127.2925975,09:00~18:00,KP,한국전력공사,한국전력,1899-2100,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,100,단독,36,36110,A0,A004,Y,NULL,N,NULL,N,NULL,YES,36.5961,127.293,0,0
1619242,HW001073,32,2025-01-06 10:56,2025-01-06 11:24,NULL,1611623,세종 누리동 공영버스 차고지,4,세종특별자치시 갈매로 1008,NULL,36.5269156,127.2969391,00:00 ~ 23:59,HW,한화솔루션,한화솔루션,1533-3464,3,2.02502E+13,2.02502E+13,2.02502E+13,2.02502E+13,NULL,120,동시,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5269,127.297,0,0
1619241,HW001073,16,2025-01-06 11:01,2025-01-06 11:24,NULL,1611622,세종 누리동 공영버스 차고지,13,세종특별자치시 갈매로 1008,NULL,36.5269156,127.2969391,00:00 ~ 23:59,HW,한화솔루션,한화솔루션,1533-3464,3,2.02502E+13,2.02502E+13,2.02502E+13,2.02502E+13,NULL,120,동시,36,36110,H0,H001,N,NULL,Y,입주민 전용,N,NULL,YES,36.5269,127.297,0,0
1619240,HM000901,3,2025-01-06 8:52,2025-01-06 11:25,NULL,1611621,정부세종청사 15동,2,세종특별자치시 갈매로 388,NULL,36.49787691,127.2654334,24시간 이용가능,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,2.02501E+13,2.02501E+13,2.02501E+13,NULL,NULL,7,단독,36,36110,A0,A002,Y,NULL,Y,보안구역으로 출입이 제한됨,N,NULL,YES,36.4979,127.265,0,0
1619239,HE000634,1,2025-01-05 14:57,2025-01-05 15:39,NULL,1611620,코스트코 세종점,2,세종특별자치시 종합운동장1로 14,NULL,36.467122,127.269885,24시간 이용가능,HE,한국전기차충전서비스,한국전기차충전서비스,1522-1782,3,2.02502E+13,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,NULL,36,36110,E0,E001,Y,NULL,N,NULL,N,NULL,YES,36.4671,127.27,0,0
1619238,CV002585,2,2025-01-06 10:35,2025-01-06 11:21,NULL,1611619,세종구도일주유소,4,세종특별자치시 시청대로 669,NULL,36.4926037,127.3266697,24시간 이용가능,CV,대영채비,대영채비,1522-2573,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,E0,E007,Y,NULL,N,NULL,N,NULL,YES,36.4926,127.327,0,0
1619237,CV002303,2,2025-01-06 11:03,2025-01-06 11:20,NULL,1611618,새롬종합복지센터,4,세종특별자치시 새롬로 14,NULL,36.4868216,127.2563753,09:00~18:00,CV,대영채비,대영채비,1522-2573,2,2.02502E+13,2.02502E+13,2.02502E+13,NULL,NULL,200,동시,36,36110,I0,I006,Y,NULL,N,NULL,N,NULL,YES,36.4868,127.256,0,0
