id,travel_id,embedding,embedding_model,created_at,updated_at
1,1,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:24","2025-03-18 14:43:24"
2,2,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
3,3,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
4,4,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
5,5,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
6,6,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
7,7,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
8,8,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
9,9,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
10,10,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
11,11,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
12,12,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
13,13,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
14,14,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
15,15,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
16,16,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
17,17,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
18,18,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
19,19,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
20,20,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:25","2025-03-18 14:43:25"
21,21,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
22,22,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
23,23,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
24,24,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
25,25,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
26,26,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
27,27,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
28,28,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
29,29,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
30,30,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
31,31,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
32,32,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
33,33,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
34,34,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
35,35,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
36,36,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
37,37,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
38,38,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
39,39,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
40,40,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:26","2025-03-18 14:43:26"
41,41,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
42,42,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
43,43,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
44,44,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
45,45,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
46,46,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
47,47,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
48,48,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
49,49,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
50,50,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
51,51,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
52,52,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
53,53,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
54,54,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
55,55,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
56,56,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
57,57,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
58,58,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
59,59,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
60,60,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:27","2025-03-18 14:43:27"
61,61,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
62,62,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
63,63,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
64,64,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
65,65,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
66,66,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
67,67,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
68,68,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
69,69,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
70,70,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
71,71,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
72,72,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
73,73,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
74,74,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
75,75,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
76,76,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
77,77,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
78,78,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
79,79,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
80,80,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:28","2025-03-18 14:43:28"
81,81,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
82,82,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
83,83,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
84,84,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
85,85,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
86,86,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
87,87,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
88,88,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
89,89,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
90,90,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
91,91,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
92,92,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
93,93,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
94,94,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
95,95,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
96,96,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
97,97,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
98,98,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
99,99,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
100,100,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:29","2025-03-18 14:43:29"
101,101,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
102,102,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
103,103,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
104,104,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
105,105,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
106,106,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
107,107,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
108,108,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
109,109,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
110,110,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
111,111,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
112,112,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
113,113,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
114,114,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
115,115,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
116,116,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
117,117,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
118,118,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
119,119,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
120,120,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
121,121,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:30","2025-03-18 14:43:30"
122,122,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
123,123,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
124,124,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
125,125,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
126,126,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
127,127,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
128,128,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
129,129,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
130,130,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
131,131,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
132,132,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
133,133,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
134,134,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
135,135,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
136,136,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
137,137,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
138,138,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
139,139,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
140,140,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
141,141,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
142,142,...,jhgan/ko-sroberta-multitask,"2025-03-18 14:43:31","2025-03-18 14:43:31"
