id,detail_url,title,location,phrase,tags,created_at
1,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=70ab9118-30d8-4045-b009-229fed39b1ec&big_category=A02&mid_category=A0201&big_area=31,물봉선공원(어린이),"경기 수원시","어린이 물놀이 공원","#물놀이, #수원어린이공원, #아이와가볼만한곳, #영통구물놀이공원, #음식","2025-03-17 12:51:45"
2,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8539e383-7a0f-4e5a-b1f2-2faf736a5292&big_category=A02&mid_category=A0201&big_area=32,에움녹색길,"강원 홍천군","개야 옛길을 시작으로 마을을 지나 홍천 강변을 따라 한 바퀴 도는 길",#레포츠,"2025-03-17 12:51:45"
3,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=73ad1991-31ce-4c06-9f05-817b8762b99b&big_category=A02&mid_category=A0201&big_area=1,"금강제화 명동본점","서울 중구","70년 헤리티지 최고급 명품 수제화 전문점","#쇼핑, #신발, #정장화, #제화, #패션브랜드","2025-03-17 12:51:45"
4,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=84a7ee07-7e69-4ad1-899d-f570be01aacc&big_category=A02&mid_category=A0201&big_area=2,숭의가든,"인천 미추홀구","정원을 바라보며 먹는 숭의가든","#돼지왕갈비, #맛집, #솥밥, #숯불구이, #음식, #참숯구이, #한우갈비곰탕, #한우육회비빔밥","2025-03-17 12:51:45"
5,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=df01965f-3a40-460a-b1c2-a0ad6885ff6d&big_category=A02&mid_category=A0201&big_area=35,"영덕장 (4, 9일)","경북 영덕군","볼거리가 가득한 영덕의 재래시장","#가족여행, #경상권, #나들이, #나홀로여행, #먹거리, #쇼핑, #시장맛집, #아이와함께, , , , , , ","2025-03-17 12:51:47"
6,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0f22836d-bafd-4bd2-b960-503cd214e87b&big_category=A02&mid_category=A0201&big_area=35,"국립경국대학교 박물관","경북 안동시","경북 북부지역의 역사와 문화유산을 둘러볼 수 있는 곳","#경상권, #국립안동대학교박물관, #무료관람, #문화시설, #박물관, #실내여행지, , , , , ","2025-03-17 12:51:47"
7,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=60babb86-3fb6-41d6-b001-6445e71cad25&big_category=A02&mid_category=A0201&big_area=2,풍전식당,"인천 미추홀구","얼큰한 해장국을 맛볼 수 있는 곳","#갈비탕, #돼지갈비구이, #맛집, #심, #양념돼지갈비, #육개장, #육개장맛집, , , , , ","2025-03-17 12:51:47"
8,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=48d9c634-eed5-45e1-b8e6-d7ae88129d03&big_category=A02&mid_category=A0201&big_area=1,"신라면세점 서울점","서울 중구","글로벌 신라면세점의 플래그십스토어","#면세쇼핑, #면세점, #브랜드, #쇼핑, #신라호텔","2025-03-17 12:51:47"
9,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8bb77278-f3bc-4aca-bb23-af799d0aeb6a&big_category=A02&mid_category=A0201&big_area=35,"주왕산 관광단지","경북 청송군","우리나라 문화를 체험할 수 있는 관광단지","#관광단지, #관광지, #역사를품은곳, #역사속, #역사속으로, #역사유적, #역사이야기, , , , , ","2025-03-17 12:51:47"
10,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7213d656-5f84-4daf-9fc4-51b7881a412d&big_category=A02&mid_category=A0201&big_area=38,"장흥군 특산품전시판매장","전남 장흥군","장흥군에서 품질을 보증하는 특산품을 합리적인 가격에 판매합니다.","#농산물, #쇼핑, #장흥, #장흥가볼만한곳, #특산물, #특산품","2025-03-17 12:51:47"
