statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
원주(부산) 휴게소,ME178073,01,06,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,null,null,24시간 이용가능,37.4345781,127.9292055,ME,환경부,환경부,1661-9408,2,20250515155532,20250515145326,20250515150711,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
원주(부산) 휴게소,ME178073,02,06,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,null,null,24시간 이용가능,37.4345781,127.9292055,ME,환경부,환경부,1661-9408,2,20250515155633,20250515133314,20250515140538,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
원주(부산) 휴게소,ME178073,03,06,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,null,null,24시간 이용가능,37.4345781,127.9292055,ME,환경부,환경부,1661-9408,2,20250515155434,20250514194511,20250514202646,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
치악(부산) 휴게소,ME178077,01,06,강원특별자치도 원주시 신림면 치악로 416 (금창리),null,null,24시간 이용가능,37.2533111,128.0494506,ME,환경부,환경부,1661-9408,2,20250515155734,20250515111542,20250515114657,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
치악(부산) 휴게소,ME178077,02,06,강원특별자치도 원주시 신림면 치악로 416 (금창리),null,null,24시간 이용가능,37.2533111,128.0494506,ME,환경부,환경부,1661-9408,2,20250515155735,20250514111352,20250514115958,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
치악(춘천) 휴게소,ME178078,01,06,강원특별자치도 원주시 신림면 다리실2길 32 (금창리),null,null,24시간 이용가능,37.2569717,128.0478759,ME,환경부,환경부,1661-9408,2,20250515155547,20250514205855,20250514211356,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(속초) 휴게소,ME178080,01,06,강원특별자치도 강릉시 구정면 제비리 608-1,null,null,24시간 이용가능,37.7234435,128.8532563,ME,환경부,환경부,1661-9408,2,20250515155655,20250515142546,20250515150852,,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(속초) 휴게소,ME178080,02,06,강원특별자치도 강릉시 구정면 제비리 608-1,null,null,24시간 이용가능,37.7234435,128.8532563,ME,환경부,환경부,1661-9408,2,20250515155335,20250512140324,20250512144451,,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(속초) 휴게소,ME178080,03,06,강원특별자치도 강릉시 구정면 제비리 608-1,null,null,24시간 이용가능,37.7234435,128.8532563,ME,환경부,환경부,1661-9408,2,20250515155801,20250515105735,20250515113851,,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(삼척) 휴게소,ME178081,01,06,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),null,null,24시간 이용가능,37.7217564,128.8520681,ME,환경부,환경부,1661-9408,2,20250515155347,20250513165755,20250513171133,,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(삼척) 휴게소,ME178081,02,06,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),null,null,24시간 이용가능,37.7217564,128.8520681,ME,환경부,환경부,1661-9408,2,20250515155345,20250509222101,20250509224107,,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
구정(삼척) 휴게소,ME178081,03,06,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),null,null,24시간 이용가능,37.7217564,128.8520681,ME,환경부,환경부,1661-9408,3,20250515155613,20250514133804,20250514135829,20250515154110,,50,단독,51,51150,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
동해(삼척) 휴게소,ME178082,01,06,강원특별자치도 동해시 동해대로 6437 동해휴게소동해방향 (망상동),null,null,24시간 이용가능,37.60143,129.0738745,ME,환경부,환경부,1661-9408,2,20250515155459,20250515101737,20250515124142,,,50,단독,51,51170,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
동해(삼척) 휴게소,ME178082,02,06,강원특별자치도 동해시 동해대로 6437 동해휴게소동해방향 (망상동),null,null,24시간 이용가능,37.60143,129.0738745,ME,환경부,환경부,1661-9408,2,20250515155712,20250515113121,20250515120631,,,50,단독,51,51170,C0,C001,Y,,N,,N,,N,2017,강원특별자치도
한국도로공사원주지사,ME178133,01,06,강원특별자치도 원주시 북원로 2873,null,null,24시간 이용가능,37.399607848,127.95216236,ME,환경부,환경부,1661-9408,2,20250515155805,20250513134806,20250513141046,,,50,단독,51,51130,A0,A003,Y,,N,,N,,N,2017,강원특별자치도
고원관광휴게소,ME181402,01,06,강원특별자치도 삼척시 도계읍 강원남부로 634,null,null,24시간 이용가능,37.179319,129.034777,ME,환경부,환경부,1661-9408,2,20250515155722,20250515125009,20250515133330,,,50,단독,51,51230,C0,C003,Y,,N,,N,,N,2018,강원특별자치도
삼척동해태백산림조합,ME181403,01,06,강원특별자치도 삼척시 새천년도로673,null,null,24시간 이용가능,37.462202,129.156988,ME,환경부,환경부,1661-9408,2,20250515155546,20250511124116,20250511132738,,,50,단독,51,51230,G0,G003,Y,,N,,N,,N,2018,강원특별자치도
쏠비치호텔리조트,ME181404,01,06,강원특별자치도 삼척시 수로부인길453,null,null,24시간 이용가능,37.47236,129.164748,ME,환경부,환경부,1661-9408,2,20250515155419,20250514151256,20250514155526,,,50,단독,51,51230,E0,E003,Y,,N,,N,,N,2018,강원특별자치도
SK 척산주유소,ME181405,01,06,강원특별자치도 속초시 노학동 298-2,null,null,24시간 이용가능,38.191348,128.559388,ME,환경부,환경부,1661-9408,2,20250515155641,20250515154212,20250515155456,,,50,단독,51,51210,E0,E007,Y,,N,,N,,N,2018,강원특별자치도
GS연화주유소,ME181407,01,06,강원특별자치도 태백시 강원남부로 302,null,null,24시간 이용가능,37.170284,129.021718,ME,환경부,환경부,1661-9408,2,20250515155539,20250512161457,20250512164808,,,50,단독,51,51190,E0,E007,Y,,N,,N,,N,2018,강원특별자치도
국립공원관리공단 본부,ME181408,01,06,강원특별자치도 원주시 반곡동 2049-4,null,null,24시간 이용가능,37.3244333,127.9765385,ME,환경부,환경부,1661-9408,2,20250515155421,20250502100936,20250502105256,,,50,단독,51,51130,D0,D001,Y,,N,,N,,N,2018,강원특별자치도
국립공원관리공단 본부,ME181408,02,06,강원특별자치도 원주시 반곡동 2049-4,null,null,24시간 이용가능,37.3244333,127.9765385,ME,환경부,환경부,1661-9408,3,20250515155432,20250515083529,20250515084726,20250515153421,,50,단독,51,51130,D0,D001,Y,,N,,N,,N,2018,강원특별자치도
설악산국립공원 장수대분소,ME181409,01,06,강원특별자치도 인제군 북면 한계리 산1-59,null,null,24시간 이용가능,38.1085599,128.3727808,ME,환경부,환경부,1661-9408,2,20250515155505,20250513133814,20250513141010,,,50,단독,51,51810,D0,D001,Y,,N,,N,,N,2018,강원특별자치도
설악산국립공원 장수대분소,ME181409,02,06,강원특별자치도 인제군 북면 한계리 산1-59,null,null,24시간 이용가능,38.1085599,128.3727808,ME,환경부,환경부,1661-9408,2,20250515155515,20250504131658,20250504132719,,,50,단독,51,51810,D0,D001,Y,,N,,N,,N,2018,강원특별자치도
오대산국립공원사무소,ME181410,01,06,강원특별자치도 평창군 진부면 간평리 75-6,null,null,24시간 이용가능,37.702654,128.60211,ME,환경부,환경부,1661-9408,2,20250515155353,20250513133150,20250513141510,,,50,단독,51,51760,A0,A003,Y,,N,,N,,N,2018,강원특별자치도
오대산국립공원사무소,ME181410,02,06,강원특별자치도 평창군 진부면 간평리 75-6,null,null,24시간 이용가능,37.702654,128.60211,ME,환경부,환경부,1661-9408,2,20250515155357,20250514101840,20250514110503,,,50,단독,51,51760,A0,A003,Y,,N,,N,,N,2018,강원특별자치도
