statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
통도사(부산) 휴게소,ME178013,01,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,24시간 이용가능,35.4885288,129.0914428,ME,환경부,환경부,1661-9408,2,20250515155329,20250515132813,20250515140313,,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,경상남도
통도사(부산) 휴게소,ME178013,02,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,24시간 이용가능,35.4885288,129.0914428,ME,환경부,환경부,1661-9408,2,20250515155608,20250515132858,20250515134904,,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,경상남도
통도사(부산) 휴게소,ME178013,03,06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),null,null,24시간 이용가능,35.4885288,129.0914428,ME,환경부,환경부,1661-9408,2,20250515155449,20250515103905,20250515105415,,,50,단독,48,48330,C0,C001,Y,,N,,N,,N,2017,경상남도
고성공룡나라(통영) 휴게소,ME178048,01,06,경상남도 고성군 대가면 통영대전고속도로 29 (송계리),null,null,24시간 이용가능,35.0515247,128.2640664,ME,환경부,환경부,1661-9408,2,20250515155516,20250514104007,20250514104139,,,50,단독,48,48820,C0,C001,Y,,N,,N,,N,2017,경상남도
고성공룡나라(대전) 휴게소,ME178049,01,06,경상남도 고성군 대가면 통영대전고속도로 32 (신전리),null,null,24시간 이용가능,35.0570523,128.2513447,ME,환경부,환경부,1661-9408,2,20250515155414,20250515110254,20250515114019,,,50,단독,48,48820,C0,C001,Y,,N,,N,,N,2017,경상남도
함양(통영) 휴게소,ME178056,01,06,경상남도 함양군 지곡면 효산길 23-31 (보산리),null,null,24시간 이용가능,35.5510049,127.7588744,ME,환경부,환경부,1661-9408,2,20250515155419,20250515151041,20250515152241,,,50,단독,48,48870,C0,C001,Y,,N,,N,,N,2017,경상남도
함양(대전) 휴게소,ME178057,01,06,경상남도 함양군 지곡면 효산길 23-11 (보산리),null,null,24시간 이용가능,35.5517867,127.7601314,ME,환경부,환경부,1661-9408,2,20250515155656,20250515133503,20250515141854,,,50,단독,48,48870,C0,C001,Y,,N,,N,,N,2017,경상남도
칠서(양평) 휴게소,ME178065,01,06,경상남도 함안군 칠서면 계룡로 122-1 (계내리),null,null,24시간 이용가능,35.3704567,128.4967833,ME,환경부,환경부,1661-9408,2,20250515155454,20250515151052,20250515153637,,,50,단독,48,48730,C0,C001,Y,,N,,N,,N,2017,경상남도
칠서(양평) 휴게소,ME178065,02,06,경상남도 함안군 칠서면 계룡로 122-1 (계내리),null,null,24시간 이용가능,35.3704567,128.4967833,ME,환경부,환경부,1661-9408,2,20250515155445,20250515145922,20250515151233,,,50,단독,48,48730,C0,C001,Y,,N,,N,,N,2017,경상남도
사천(부산) 휴게소,ME178084,01,06,경상남도 사천시 곤양면 서삼로 619 (묵곡리),null,null,24시간 이용가능,35.0732831,128.0110198,ME,환경부,환경부,1661-9408,2,20250515155548,20250515124755,20250515133205,,,50,단독,48,48240,C0,C001,Y,,N,,N,,N,2017,경상남도
사천(순천) 휴게소,ME178085,01,06,경상남도 사천시 곤양면 묵실길 31-11 (묵곡리),null,null,24시간 이용가능,35.0748033,128.0134007,ME,환경부,환경부,1661-9408,2,20250515155407,20250515141620,20250515145926,,,50,단독,48,48240,C0,C001,Y,,N,,N,,N,2017,경상남도
거창(광주) 휴게소,ME178089,01,06,경상남도 거창군 가조면 가조가야로 1523 (도리),null,null,24시간 이용가능,35.7084155,128.0576192,ME,환경부,환경부,1661-9408,3,20250515155627,20250515145610,20250515152255,20250515153621,,50,단독,48,48880,C0,C001,Y,,N,,N,,N,2017,경상남도
거창(대구) 휴게소,ME178090,01,06,경상남도 거창군 가조면 도리 453,null,null,24시간 이용가능,35.7056972,128.0571946,ME,환경부,환경부,1661-9408,2,20250515155405,20250515151205,20250515153500,,,50,단독,48,48880,C0,C001,Y,,N,,N,,N,2017,경상남도
장유(서부산) 휴게소,ME178125,01,06,경상남도 김해시 장유로116번길 44-82 (부곡동),null,null,24시간 이용가능,35.2113491,128.7939876,ME,환경부,환경부,1661-9408,2,20250515155408,20250515102548,20250515104218,,,50,단독,48,48250,C0,C001,Y,,N,,N,,N,2017,경상남도
장유(서부산) 휴게소,ME178125,02,06,경상남도 김해시 장유로116번길 44-82 (부곡동),null,null,24시간 이용가능,35.2113491,128.7939876,ME,환경부,환경부,1661-9408,2,20250515155406,20250515150647,20250515152558,,,50,단독,48,48250,C0,C001,Y,,N,,N,,N,2017,경상남도
