statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
한국광기술원,ME181501,01,06,광주광역시 북구 첨단 벤처로 108번길 9,null,null,24시간 이용가능,35.231341167,126.85982174,ME,환경부,환경부,1661-9408,2,20250515160056,20250515134344,20250515142344,,,50,단독,29,29170,A0,A003,Y,,N,,N,,N,2018,광주광역시
롯데마트 수완점,ME181545,01,06,광주광역시 광산구 장신로 98,null,null,10:00~23:00,35.190126,126.820343,ME,환경부,환경부,1661-9408,2,20250515160017,20250515142148,20250515150507,,,50,단독,29,29200,E0,E001,Y,,N,,N,,N,2018,광주광역시
롯데마트 수완점,ME181545,11,06,광주광역시 광산구 장신로 98,null,null,10:00~23:00,35.190126,126.820343,ME,환경부,환경부,1661-9408,2,20250515160018,20250514123730,20250514132350,,,50,단독,29,29200,E0,E001,Y,,N,,N,,N,2018,광주광역시
블루핸즈 하남현대자동차서비스,ME183018,01,06,광주광역시 광산구 하남대로 127-10,null,null,24시간 이용가능,35.1810177,126.8074485,ME,환경부,환경부,1661-9408,2,20250515160148,20250513194038,20250513202019,,,50,단독,29,29200,F0,F002,Y,,N,,N,,N,2018,광주광역시
기아자동차 진월점,ME183019,01,06,광주광역시 남구 진월동 314-1,null,null,24시간 이용가능,35.124734,126.8971093,ME,환경부,환경부,1661-9408,2,20250515155835,20250514195308,20250514203613,,,50,단독,29,29155,F0,F002,Y,,N,,N,,N,2018,광주광역시
이마트 광산점,ME184064,01,06,광주광역시 광산구 사암로 172,", 지상주차장 4층 A구역",null,10:00~24:00,35.160050,126.809050,ME,환경부,환경부,1661-9408,2,20250515155833,20250514185833,20250514192418,,,50,단독,29,29200,E0,E001,Y,,N,,N,,N,2018,광주광역시
롯데마트 첨단점,ME184065,01,06,광주광역시 광산구 첨단강변로99번길 22,", 지상주차장 2층",null,10:00~24:00,35.2173049,126.8515597,ME,환경부,환경부,1661-9408,2,20250515160010,20250514183057,20250514185058,,,50,단독,29,29200,E0,E001,Y,,N,,N,,N,2018,광주광역시
비아5일시장 제2 공영주차장,ME18A101,01,06,광주광역시 광산구 비아동 66-6,null,null,월~금09:00~19:00,35.220685,126.825573,ME,환경부,환경부,1661-9408,2,20250515155919,20250515115112,20250515123002,,,100,단독,29,29200,B0,B001,Y,,N,,N,,N,2018,광주광역시
삼도동주민센터,ME18A102,01,06,광주광역시 광산구 오운로 433-1,null,null,월~금09:00~19:00,35.162085,126.697794,ME,환경부,환경부,1661-9408,2,20250515160213,20250513145509,20250513153814,,,100,단독,29,29200,A0,A002,Y,,N,,N,,N,2018,광주광역시
운남동 공영주차장,ME18A103,01,06,광주광역시 광산구 운남동 524-3,null,null,월~금09:00~19:00,35.176969,126.824017,ME,환경부,환경부,1661-9408,2,20250515160102,20250515125225,20250515133531,,,100,단독,29,29200,B0,B001,Y,,N,,N,,N,2018,광주광역시
사직주민센터,ME18A104,01,06,광주광역시 남구 서동 147-22,null,null,24시간 이용가능,35.145589,126.908043,ME,환경부,환경부,1661-9408,2,20250515160047,20250515125632,20250515133702,,,100,단독,29,29155,A0,A002,Y,,N,,N,,N,2018,광주광역시
