statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
대구지방합동청사,ME181302,01,06,대구광역시 달서구 대곡동 1035,null,null,24시간 이용가능,35.8041984,128.5166757,ME,환경부,환경부,1661-9408,2,20250515160111,20250514134243,20250514214853,,,50,단독,27,27290,A0,A004,Y,,N,,N,,N,2018,대구광역시
㈜정방,ME181303,01,06,대구광역시 달성군 가창면 가창로607-2,null,null,24시간 이용가능,35.767460831,128.64879530,ME,환경부,환경부,1661-9408,2,20250515155713,20250515141001,20250515141338,,,50,단독,27,27710,E0,E005,Y,,N,,N,,N,2018,대구광역시
대구보건환경연구원,ME183050,01,06,"대구광역시 수성구 무학로 215, 민원실 앞",null,null,08:00~21:00,35.8296797,128.6320054,ME,환경부,환경부,1661-9408,2,20250515155923,20250515111526,20250515115007,,,50,단독,27,27260,A0,A004,Y,,N,,N,,N,2018,대구광역시
대구보건환경연구원,ME183050,02,06,"대구광역시 수성구 무학로 215, 민원실 앞",null,null,08:00~21:00,35.8296797,128.6320054,ME,환경부,환경부,1661-9408,2,20250515155959,20250515120728,20250515121219,,,50,단독,27,27260,A0,A004,Y,,N,,N,,N,2018,대구광역시
달서구 청소년수련관공영주차장,ME183053,01,06,대구광역시 달서구 상화로 406,null,null,24시간 이용가능,35.80795,128.5587594,ME,환경부,환경부,1661-9408,2,20250515160035,20250515112910,20250515121256,,,50,단독,27,27290,B0,B001,N,,N,,N,,N,2018,대구광역시
구지면사무소,ME183054,01,06,대구광역시 달성군 구지면 창리로 11길 38 ,null,null,24시간 이용가능,35.658658456,128.41343910,ME,환경부,환경부,1661-9408,2,20250515155827,20250515111124,20250515113951,,,50,단독,27,27710,A0,A002,Y,,N,,N,,N,2018,대구광역시
수태골 공영주차장,ME183055,01,06,대구광역시 동구 용수동 907-1,null,null,24시간 이용가능,35.9923765,128.6810109,ME,환경부,환경부,1661-9408,2,20250515160040,20250513083123,20250513095859,,,50,단독,27,27140,B0,B001,Y,,N,,N,,N,2018,대구광역시
낙동강승전기념관,ME183056,01,06,대구광역시 남구 앞산순환로 574-110,null,null,24시간 이용가능,35.827560977,128.58872119,ME,환경부,환경부,1661-9408,2,20250515155726,20250509170219,20250509174525,,,50,단독,27,27200,A0,A004,Y,,N,,N,,N,2018,대구광역시
이곡2동주민센터,ME183057,01,06,대구광역시 달서구 계대동문로 77,null,null,24시간 이용가능,35.855634776,128.50107098,ME,환경부,환경부,1661-9408,2,20250515155830,20250506062640,20250506063928,,,50,단독,27,27290,A0,A002,Y,,N,,N,,N,2018,대구광역시
신암5동주민센터,ME183058,01,06,대구광역시 동구 아양로37길 92,null,null,24시간 이용가능,35.8897037,128.6326875,ME,환경부,환경부,1661-9408,2,20250515155826,20250515095354,20250515103224,,,50,단독,27,27140,A0,A002,Y,,N,,N,,N,2018,대구광역시
