statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
유승기업(현대블루핸즈),ME174154,01,06,대전광역시 서구 계룡로 510, 현대사무실 옆,null,24시간 이용가능,36.3436911,127.3804383,ME,환경부,환경부,1661-9408,2,20250515160139,20250514123027,20250514124717,,,50,단독,30,30170,F0,F001,Y,,N,,N,,N,2017,대전광역시
오월드 내 주차장,ME174162,01,06,대전광역시 중구 사정동 142, 플라워랜드 주차장,null,24시간 이용가능,36.290862911,127.39720409,ME,환경부,환경부,1661-9408,2,20250515160014,20250512183546,20250512191851,,,50,단독,30,30140,B0,B004,Y,,N,,N,,N,2017,대전광역시
신탄진(서울) 휴게소,ME178008,01,06,대전광역시 대덕구 산업단지로 27 (상서동) 236-1,null,null,24시간 이용가능,36.4253780,127.4184083,ME,환경부,환경부,1661-9408,2,20250515155919,20250505123931,20250505131611,,,50,단독,30,30230,C0,C001,Y,,N,,N,,N,2017,대전광역시
한국도로공사대전지사,ME178132,01,06,대전광역시 대덕구 동서대로 1855,null,null,24시간 이용가능,36.3613313,127.4484343,ME,환경부,환경부,1661-9408,2,20250515160327,20250515080155,20250515084232,,,50,단독,30,30230,A0,A003,Y,,N,,N,,N,2017,대전광역시
타이어프로신탄진,ME181420,01,06,대전광역시 대덕구 신탄진로556,null,null,24시간 이용가능,36.428348,127.421258,ME,환경부,환경부,1661-9408,2,20250515160140,20250514143944,20250514151945,,,50,단독,30,30230,F0,F002,Y,,N,,N,,N,2018,대전광역시
셀프세차장(워시하우스),ME181421,01,06,대전광역시 동구 용운동423-22,null,null,24시간 이용가능,36.327523,127.456465,ME,환경부,환경부,1661-9408,2,20250515160017,20250514011832,20250514015833,,,50,단독,30,30110,G0,G003,Y,,N,,N,,N,2018,대전광역시
대덕보건소,ME18A113,01,06,대전광역시 대덕구 석봉로 38번길 55 대덕구보건소,null,null,24시간 이용가능,36.444886,127.426437,ME,환경부,환경부,1661-9408,3,20250515160217,20250515151052,20250515153502,20250515160042,,100,단독,30,30230,I0,I003,Y,,N,,N,,N,2018,대전광역시
신대노인복지관,ME18A114,01,06,대전광역시 대덕구 신대동 169-1,null,null,24시간 이용가능,36.3986348,127.4206335,ME,환경부,환경부,1661-9408,9,20250324153810,20250314104654,20250314112655,,,100,단독,30,30230,I0,I006,Y,,N,,N,,N,2018,대전광역시
신탄진(서울) 휴게소,ME18A115,01,06,대전광역시 대덕구 산업단지로 27,null,null,24시간 이용가능,36.425357,127.418563,ME,환경부,환경부,1661-9408,2,20250515155933,20250515141701,20250515143701,,,100,단독,30,30230,C0,C001,Y,,N,,N,,N,2018,대전광역시
갈마도서관,ME18A117,01,06,대전광역시 서구 갈마동 427-20 ,null,null,24시간 이용가능,36.340753,127.366083,ME,환경부,환경부,1661-9408,2,20250515155916,20250515152827,20250515155243,,,100,단독,30,30170,A0,A004,Y,,N,,N,,N,2018,대전광역시
