statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
한국마사회 부산경남지역본부,ME181206,01,06,부산광역시 강서구 가락대로 929,null,null,24시간 이용가능,35.1521204,128.8739107,ME,환경부,환경부,1661-9408,2,20250515155720,20250515100651,20250515103536,,,50,단독,26,26440,A0,A003,Y,,N,,N,,N,2018,부산광역시
부산 어린이 대공원,ME181207,01,06,부산광역시 부산진구 성지곡로 3,null,null,24시간 이용가능,35.1831134,129.0459801,ME,환경부,환경부,1661-9408,2,20250515160145,20250515095956,20250515104618,,,50,단독,26,26230,D0,D001,Y,,N,,N,,N,2018,부산광역시
부산시 교육청,ME181208,01,06,부산광역시 부산진구 화지로 12,null,null,24시간 이용가능,35.1761301,129.0639265,ME,환경부,환경부,1661-9408,2,20250515155805,20250515122137,20250515124510,,,50,단독,26,26230,A0,A003,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,01,06,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160022,20250430204935,20250430205535,,,50,단독,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,02,06,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160022,20250512155424,20250512163544,,,50,단독,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,11,04,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160029,20250512173340,20250512193553,,,100,동시,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,12,04,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160026,20240206105701,20240206114017,,,100,동시,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,51,04,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160029,20250514174234,20250514182800,,,100,동시,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
부산아시아드보조경기장VIP주차장,ME181210,52,04,부산광역시 연제구 거제동 1312,null,null,05:00~24:00,35.1883518,129.0555415,ME,환경부,환경부,1661-9408,2,20250515160031,20240206104939,20240206105205,,,100,동시,26,26470,J0,J007,Y,,N,,N,,N,2018,부산광역시
롯데마트 광복점,ME181225,01,06,부산광역시 중구 중앙대로2 (중앙동7가),null,null,10:00~23:00,35.097858,129.036146,ME,환경부,환경부,1661-9408,2,20250515160113,20250512165639,20250512173640,,,50,단독,26,26110,E0,E001,Y,,N,,N,,N,2018,부산광역시
김해공항,ME181250,01,06,부산광역시 강서구 공항진입로 108,null,null,24시간 이용가능,35.1729234,128.9491172,ME,환경부,환경부,1661-9408,2,20250515155717,20250513172100,20250513173639,,,50,단독,26,26440,A0,A003,N,,N,,N,,N,2018,부산광역시
김해공항,ME181250,02,06,부산광역시 강서구 공항진입로 108,null,null,24시간 이용가능,35.1729234,128.9491172,ME,환경부,환경부,1661-9408,3,20250515155951,20250515132056,20250515135917,20250515154948,,50,단독,26,26440,A0,A003,N,,N,,N,,N,2018,부산광역시
철마면사무소,ME183023,01,06,부산광역시 기장군 철마면 철마면 485,null,null,24시간 이용가능,35.2750878,129.1498949,ME,환경부,환경부,1661-9408,2,20250515155850,20250515103419,20250515110828,,,50,단독,26,26710,A0,A002,Y,,N,,N,,N,2018,부산광역시
정관읍사무소,ME183076,01,06,"부산광역시 기장군 정관읍 용수로 4, 입구 우측",null,null,24시간 이용가능,35.3254158,129.1805868,ME,환경부,환경부,1661-9408,2,20250515160101,20250515113542,20250515120826,,,50,단독,26,26710,A0,A002,Y,,N,,N,,N,2018,부산광역시
이마트 해운대점,ME184074,01,06,부산광역시 해운대구 좌동순환로 511,", 지상주차장 4층 F구역",null,10:00~24:00,35.1658134,129.1675878,ME,환경부,환경부,1661-9408,2,20250515155853,20250515110442,20250515114759,,,50,단독,26,26350,E0,E001,Y,,N,,N,,N,2018,부산광역시
