statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
세종호수공원제2주차장,ME183162,01,06,"세종특별자치시 어진동 621, 입구 우측",null,null,24시간 이용가능,36.5002765,127.2691866,ME,환경부,환경부,1661-9408,2,20250515160403,20250515145841,20250515154147,,,50,단독,36,36110,B0,B001,Y,,N,,N,,N,2018,세종특별자치시
세종호수공원제2주차장,ME183162,02,04,"세종특별자치시 어진동 621, 입구 우측",null,null,24시간 이용가능,36.5002765,127.2691866,ME,환경부,환경부,1661-9408,2,20250515160257,20250515151100,20250515155307,,,100,동시,36,36110,B0,B001,Y,,N,,N,,N,2018,세종특별자치시
세종호수공원제2주차장,ME183162,52,04,"세종특별자치시 어진동 621, 입구 우측",null,null,24시간 이용가능,36.5002765,127.2691866,ME,환경부,환경부,1661-9408,2,20250515160301,20250515142716,20250515151303,,,100,동시,36,36110,B0,B001,Y,,N,,N,,N,2018,세종특별자치시
은하수공원,ME18A001,01,06,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",null,null,24시간 이용가능,36.532123,127.245097,ME,환경부,환경부,031-994-6115 ,2,20250515160417,20250515151305,20250515155357,,,50,단독,36,36110,A0,A004,Y,,N,,N,,N,2018,세종특별자치시
은하수공원,ME18A001,02,04,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",null,null,24시간 이용가능,36.532123,127.245097,ME,환경부,환경부,031-994-6115 ,2,20250515160315,20250515105707,20250515113006,,,100,동시,36,36110,A0,A004,Y,,N,,N,,N,2018,세종특별자치시
은하수공원,ME18A001,03,04,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",null,null,24시간 이용가능,36.532123,127.245097,ME,환경부,환경부,031-994-6115 ,2,20250515160327,20250515142943,20250515151258,,,100,동시,36,36110,A0,A004,Y,,N,,N,,N,2018,세종특별자치시
은하수공원,ME18A001,04,04,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",null,null,24시간 이용가능,36.532123,127.245097,ME,환경부,환경부,031-994-6115 ,2,20250515160206,20250515110621,20250515111625,,,100,동시,36,36110,A0,A004,Y,,N,,N,,N,2018,세종특별자치시
은하수공원,ME18A001,05,04,"세종특별자치시 연기면 정안세종로 1527 은하수공원, 화장시설 주차장",null,null,24시간 이용가능,36.532123,127.245097,ME,환경부,환경부,031-994-6115 ,2,20250515160205,20250515114741,20250515122640,,,100,동시,36,36110,A0,A004,Y,,N,,N,,N,2018,세종특별자치시
원수산 아래 BMX경기장,ME18A214,11,04,세종특별자치시 연기면 세종리 659-30,null,null,24시간 이용가능,36.522604,127.267463,ME,환경부,환경부,1661-9408,2,20250515160339,20250514170401,20250514174553,,,200,동시,36,36110,J0,J007,Y,,N,,N,,N,2018,세종특별자치시
원수산 아래 BMX경기장,ME18A214,12,04,세종특별자치시 연기면 세종리 659-30,null,null,24시간 이용가능,36.522604,127.267463,ME,환경부,환경부,1661-9408,2,20250515160332,20250514124548,20250514132723,,,200,동시,36,36110,J0,J007,Y,,N,,N,,N,2018,세종특별자치시
LH 세종본부,ME18A215,11,04,세종특별자치시 가름로 238-1,null,null,24시간 이용가능,36.494719472,127.26638085,ME,환경부,환경부,1661-9408,2,20250515160049,20250514210119,20250514212845,,,200,동시,36,36110,H0,H003,Y,,N,,N,,N,2018,세종특별자치시
LH 세종본부,ME18A215,12,04,세종특별자치시 가름로 238-1,null,null,24시간 이용가능,36.494719472,127.26638085,ME,환경부,환경부,1661-9408,2,20250515160022,20250514142042,20250514144608,,,200,동시,36,36110,H0,H003,Y,,N,,N,,N,2018,세종특별자치시
반곡동 수변공원,ME18A216,11,04,세종특별자치시 반곡동 234-10 ,null,null,24시간 이용가능,36.492237,127.299546,ME,환경부,환경부,1661-9408,5,20250515160213,20250515104914,20250515111018,,,200,동시,36,36110,D0,D001,Y,,N,,N,,N,2018,세종특별자치시
