statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
화정지하 공영주차장,ME183041,01,06,울산광역시 동구 대송로 140,null,null,24시간 이용가능,35.4958091,129.4228979,ME,환경부,환경부,1661-9408,2,20250515160004,20250515131422,20250515135434,,,50,단독,31,31170,B0,B001,N,,N,,N,,N,2018,울산광역시
일산동 공영주차장,ME183042,01,06,울산광역시 동구 일산동 948-4,null,null,24시간 이용가능,35.4978394,129.4302706,ME,환경부,환경부,1661-9408,2,20250515160312,20250515125634,20250515134239,,,50,단독,31,31170,B0,B001,Y,,N,,N,,N,2018,울산광역시
전하 공영주차장,ME183043,01,06,"울산광역시 동구 진성8길 119 , 입구 소형차 주차구역",null,null,24시간 이용가능,35.5106496,129.4296420,ME,환경부,환경부,1661-9408,2,20250515160052,20250514162908,20250514171210,,,50,단독,31,31170,B0,B001,N,,N,,N,,N,2018,울산광역시
농소1동 주민센터,ME183044,01,06,울산광역시 북구 호계2길 10,null,null,24시간 이용가능,35.622611989,129.35596827,ME,환경부,환경부,1661-9408,2,20250515160318,20250515133358,20250515140504,,,50,단독,31,31200,A0,A002,Y,,N,,N,,N,2018,울산광역시
울산동구청,ME183045,01,06,"울산광역시 동구 봉수로 155, 보건소 앞 지상주차장",null,null,24시간 이용가능,35.5058433,129.4174667,ME,환경부,환경부,1661-9408,2,20250515160246,20250515142632,20250515150227,,,50,단독,31,31170,A0,A001,N,,N,,N,,N,2018,울산광역시
구영공원 공영주차장,ME183046,01,06,울산광역시 울주군 범서읍 구영리 801-1,null,null,24시간 이용가능,35.5726061,129.2410586,ME,환경부,환경부,1661-9408,3,20250515160157,20250515125427,20250515131842,20250515160155,,50,단독,31,31710,B0,B001,N,,N,,N,,N,2018,울산광역시
언양강변 공영주차장,ME183047,01,06,울산광역시 울주군 언양읍 남부리 336-3,null,null,24시간 이용가능,35.5631548,129.1231892,ME,환경부,환경부,1661-9408,2,20250515160101,20250515131117,20250515135423,,,50,단독,31,31710,B0,B001,N,,N,,N,,N,2018,울산광역시
온산문화체육센터,ME183048,01,06,울산광역시 울주군 온산읍 명봉거남로 46,null,null,24시간 이용가능,35.4393161,129.3155364,ME,환경부,환경부,1661-9408,2,20250515155940,20250515135500,20250515143805,,,50,단독,31,31710,A0,A004,Y,,N,,N,,N,2018,울산광역시
울산남구견인차량보관소,ME183049,01,06,"울산광역시 남구 삼산동 1627-3, 입구 좌측",null,null,24시간 이용가능,35.5389876,129.3456573,ME,환경부,환경부,1661-9408,2,20250515160050,20250511111623,20250511114104,,,50,단독,31,31140,A0,A004,Y,,N,,N,,N,2018,울산광역시
효문동 주민센터,ME183051,01,06,울산광역시 북구 산업로 970,null,null,24시간 이용가능,35.577285564,129.36133978,ME,환경부,환경부,1661-9408,2,20250515160056,20250515061836,20250515065836,,,50,단독,31,31200,A0,A002,Y,,N,,N,,N,2018,울산광역시
왕생이공원공영주차장,ME183073,01,06,"울산광역시 남구 달동 1345-6, 입구 우측",null,null,24시간 이용가능,35.5401847,129.3293213,ME,환경부,환경부,1661-9408,2,20250515160322,20250514222539,20250514225020,,,50,단독,31,31140,B0,B001,N,,N,,N,,N,2018,울산광역시
야음공영주차장,ME183074,01,06,"울산광역시 남구 야음동 338-1, 입구 좌측",null,null,24시간 이용가능,35.5224211,129.3334959,ME,환경부,환경부,1661-9408,2,20250515160306,20250513162612,20250513165818,,,50,단독,31,31140,B0,B001,N,,N,,N,,N,2018,울산광역시
언양공영주차장,ME183122,01,06,"울산광역시 울주군 언양읍 남부리 73, 입구 우측",null,null,24시간 이용가능,35.5627432,129.1294193,ME,환경부,환경부,1661-9408,2,20250515160007,20250515110902,20250515115507,,,50,단독,31,31710,B0,B001,Y,,N,,N,,N,2018,울산광역시
언양공영주차장,ME183122,02,04,"울산광역시 울주군 언양읍 남부리 73, 입구 우측",null,null,24시간 이용가능,35.5627432,129.1294193,ME,환경부,환경부,1661-9408,3,20250515160228,20250515015205,20250515020752,20250515155958,,100,동시,31,31710,B0,B001,Y,,N,,N,,N,2018,울산광역시
언양공영주차장,ME183122,52,04,"울산광역시 울주군 언양읍 남부리 73, 입구 우측",null,null,24시간 이용가능,35.5627432,129.1294193,ME,환경부,환경부,1661-9408,2,20250515160223,20250515123049,20250515131009,,,100,동시,31,31710,B0,B001,Y,,N,,N,,N,2018,울산광역시
문수국제양궁장,ME183123,01,06,"울산광역시 남구 남부순환도로 209, 숙소동 앞",null,null,24시간 이용가능,35.5313777,129.2720492,ME,환경부,환경부,1661-9408,2,20250515160240,20250429174539,20250429180114,,,50,단독,31,31140,A0,A004,Y,,N,,N,,N,2018,울산광역시
문수국제양궁장,ME183123,02,04,"울산광역시 남구 남부순환도로 209, 숙소동 앞",null,null,24시간 이용가능,35.5313777,129.2720492,ME,환경부,환경부,1661-9408,2,20250515160259,20250513122142,20250513124522,,,100,동시,31,31140,A0,A004,Y,,N,,N,,N,2018,울산광역시
