statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
강화풍물시장 공영주차장,ME174119,01,06,인천광역시 강화군 강화읍 갑곳리 849, 고엽제전우회 건물 옆,null,24시간 이용가능,37.7404676,126.4919478,ME,환경부,환경부,1661-9408,2,20250515155826,20250512113334,20250512121047,,,50,단독,28,28710,B0,B001,Y,,N,,N,,N,2017,인천광역시
계산1택지 공영주차장,ME174120,01,06,인천광역시 계양구 계산동 1060, 구두수선방 옆,null,24시간 이용가능,37.540182019,126.73630068,ME,환경부,환경부,1661-9408,2,20250515160056,20250515152809,20250515152947,,,50,단독,28,28245,B0,B001,Y,,N,,N,,N,2017,인천광역시
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,ME174125,01,06,인천광역시 서구 원삭로 160, 주차장 입구 우측 완속충전기 옆,null,평일08:30~18:00,37.509973287,126.64197627,ME,환경부,환경부,1661-9408,2,20250515155946,20250515140059,20250515140920,,,50,단독,28,28260,F0,F001,Y,,N,,N,,N,2017,인천광역시
영흥수산물직판장 주차장,ME174127,01,06,인천광역시 옹진군 영흥면 내리 8-165, 공중화장실 옆,null,24시간 이용가능,37.2551047,126.4981467,ME,환경부,환경부,1661-9408,2,20250515155958,20250514095522,20250514095822,,,50,단독,28,28720,B0,B004,N,,N,,N,,N,2017,인천광역시
도원역 부근 공영주차장,ME174128,01,06,인천광역시 중구 도원동 5-7, 주차장 입구,null,24시간 이용가능,37.467239217,126.64140301,ME,환경부,환경부,1661-9408,2,20250515155819,20250515145317,20250515153407,,,50,단독,28,28110,B0,B001,Y,,N,,N,,N,2017,인천광역시
송도골프,ME181106,01,06,인천광역시 연수구 능허대로 236,null,null,24시간 이용가능,37.414739803,126.65126359,ME,환경부,환경부,1661-9408,2,20250515155951,20250515142930,20250515150959,,,50,단독,28,28185,E0,E004,Y,,N,,N,,N,2018,인천광역시
송도골프,ME181106,02,06,인천광역시 연수구 능허대로 236,null,null,24시간 이용가능,37.414739803,126.65126359,ME,환경부,환경부,1661-9408,2,20250515155958,20250514102615,20250514111240,,,50,단독,28,28185,E0,E004,Y,,N,,N,,N,2018,인천광역시
덕산국민여가캠핑장,ME183080,01,06,인천광역시 강화군 내가면 고천리 산494,null,null,24시간 이용가능,37.7175253,126.3808179,ME,환경부,환경부,1661-9408,2,20250515160041,20250502114659,20250502120714,,,50,단독,28,28710,A0,A004,Y,,N,,N,,N,2018,인천광역시
인천시청,ME184082,01,06,인천광역시 남동구 정각로 29,null,null,24시간 이용가능,37.455605,126.704138,ME,환경부,환경부,1661-9408,2,20250515160107,20250515141915,20250515144700,,,50,단독,28,28200,A0,A001,Y,,N,,N,,N,2018,인천광역시
송도컨벤시아,ME184083,01,06,인천광역시 연수구 센트럴로 123,", 지하주차장 1층",null,06:00~20:00,37.3891519,126.6465433,ME,환경부,환경부,1661-9408,2,20250515160148,20250513174737,20250513183056,,,50,단독,28,28185,D0,D002,N,,N,,N,,N,2018,인천광역시
온수리 공영 주차장,ME18B188,01,06,인천광역시 강화군 길상면 온수리 546-34,null,null,24시간 이용가능,37.63936,126.49185,ME,환경부,환경부,1661-9408,2,20250515160001,20250515141606,20250515144850,,,100,단독,28,28710,B0,B001,Y,,N,,N,,N,2018,인천광역시
