statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
압해읍사무소,ME174085,01,06,전라남도 신안군 압해읍 학교리 585,null,null,24시간 이용가능,34.8654674,126.3127835,ME,환경부,환경부,1661-9408,2,20250515155245,20250514205750,20250514211840,,,50,단독,46,46910,A0,A002,N,,N,,N,,N,2017,전라남도
함평천지(서울) 휴게소,ME178024,01,06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),null,null,24시간 이용가능,35.1295648,126.4818537,ME,환경부,환경부,1661-9408,2,20250515155623,20250515151608,20250515154114,,,50,단독,46,46860,C0,C001,Y,,N,,N,,N,2017,전라남도
함평천지(서울) 휴게소,ME178024,02,06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),null,null,24시간 이용가능,35.1295648,126.4818537,ME,환경부,환경부,1661-9408,2,20250515155658,20250514150323,20250514152932,,,50,단독,46,46860,C0,C001,Y,,N,,N,,N,2017,전라남도
한국도로공사담양지사,ME178134,01,06,전라남도 담양군 대전면 중옥길 34,null,null,24시간 이용가능,35.2606176,126.8869001,ME,환경부,환경부,1661-9408,2,20250515155422,20250515143742,20250515151807,,,50,단독,46,46710,A0,A003,Y,,N,,N,,N,2017,전라남도
호텔아이엠,ME181503,01,06,전라남도 순천시 역전광장1길 4,null,null,24시간 이용가능,34.945398,127.50032,ME,환경부,환경부,1661-9408,2,20250515155530,20250514060406,20250514064724,,,50,단독,46,46150,E0,E003,Y,,N,,N,,N,2018,전라남도
팔마실내체육관,ME181504,01,06,전라남도 순천시 연향동 771,null,null,24시간 이용가능,34.934749,127.520024,ME,환경부,환경부,1661-9408,2,20250515155414,20250515132753,20250515141414,,,50,단독,46,46150,A0,A004,Y,,N,,N,,N,2018,전라남도
순천시 농산물도매시장,ME181505,01,06,전라남도 순천시 해룡면 성산리 180-1,null,null,24시간 이용가능,34.916364,127.539391,ME,환경부,환경부,1661-9408,2,20250515155322,20250515104707,20250515112759,,,50,단독,46,46150,E0,E001,Y,,N,,N,,N,2018,전라남도
다도해상국립공원 팔영산주차장,ME181506,01,06,전라남도 고흥군 점암면 성기리 능가사로 386-2,null,null,24시간 이용가능,34.6414075,127.413822,ME,환경부,환경부,1661-9408,2,20250515155317,20250513160539,20250513162659,,,50,단독,46,46770,D0,D001,Y,,N,,N,,N,2018,전라남도
다도해상국립공원 팔영산주차장,ME181506,02,06,전라남도 고흥군 점암면 성기리 능가사로 386-2,null,null,24시간 이용가능,34.6414075,127.413822,ME,환경부,환경부,1661-9408,2,20250515155547,20250514172217,20250514174757,,,50,단독,46,46770,D0,D001,Y,,N,,N,,N,2018,전라남도
두리관광펜션,ME181507,01,06,전라남도 영광군 염산면 두우리963번지,null,null,24시간 이용가능,35.236631,126.303189,ME,환경부,환경부,1661-9408,2,20250515155343,20250515150118,20250515150333,,,50,단독,46,46870,E0,E003,Y,,N,,N,,N,2018,전라남도
