statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
고창고인돌(목포) 휴게소,ME178025,01,06,전북특별자치도 고창군 고창읍 서해안고속도로 81 (벽송리),null,null,24시간 이용가능,35.4690375,126.6742688,ME,환경부,환경부,1661-9408,2,20250515155400,20250514022249,20250514030320,,,50,단독,52,52790,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
고창고인돌(목포) 휴게소,ME178025,02,06,전북특별자치도 고창군 고창읍 서해안고속도로 81 (벽송리),null,null,24시간 이용가능,35.4690375,126.6742688,ME,환경부,환경부,1661-9408,2,20250515155546,20250514171426,20250514175601,,,50,단독,52,52790,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
이서(순천) 휴게소,ME178038,01,06,전북특별자치도 완주군 이서면 호남고속도로 161 (은교리),null,null,24시간 이용가능,35.8034454,127.0240566,ME,환경부,환경부,1661-9408,2,20250515155556,20250513182715,20250513182852,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
이서(순천) 휴게소,ME178038,02,06,전북특별자치도 완주군 이서면 호남고속도로 161 (은교리),null,null,24시간 이용가능,35.8034454,127.0240566,ME,환경부,환경부,1661-9408,2,20250515155311,20250515141351,20250515142932,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
이서(천안) 휴게소,ME178039,01,06,전북특별자치도 완주군 이서면 호남고속도로 162 (은교리),null,null,24시간 이용가능,35.802184,127.0258792,ME,환경부,환경부,1661-9408,2,20250515155715,20250514135004,20250514143405,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
이서(천안) 휴게소,ME178039,02,06,전북특별자치도 완주군 이서면 호남고속도로 162 (은교리),null,null,24시간 이용가능,35.802184,127.0258792,ME,환경부,환경부,1661-9408,2,20250515155803,20250515132514,20250515134557,,,50,단독,52,52710,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
정읍녹두장군(천안) 휴게소,ME178040,01,06,전북특별자치도 정읍시 북면 하북1길 227-17 (남산리),null,null,24시간 이용가능,35.6005769,126.8646591,ME,환경부,환경부,1661-9408,3,20250515155628,20250515133955,20250515134606,20250515152521,,50,단독,52,52180,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
정읍녹두장군(순천) 휴게소,ME178041,01,06,전북특별자치도 정읍시 북면 정신로 135-61 (남산리),null,null,24시간 이용가능,35.6015871,126.8626805,ME,환경부,환경부,1661-9408,2,20250515155422,20250515140733,20250515144428,,,50,단독,52,52180,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
강천산(대구) 휴게소,ME178094,01,06,전북특별자치도 순창군 순창읍 88올림픽고속도로 22 (백산리),null,null,24시간 이용가능,35.3644118,127.1044692,ME,환경부,환경부,1661-9408,2,20250515155356,20250514181216,20250514183602,,,50,단독,52,52770,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
강천산(대구) 휴게소,ME178094,02,06,전북특별자치도 순창군 순창읍 88올림픽고속도로 22 (백산리),null,null,24시간 이용가능,35.3644118,127.1044692,ME,환경부,환경부,1661-9408,2,20250515155407,20250515104625,20250515111951,,,50,단독,52,52770,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
진안마이산(익산) 휴게소,ME178100,01,06,전북특별자치도 진안군 진안읍 익산장수고속도로 41 (단양리),null,null,24시간 이용가능,35.7782697,127.425744,ME,환경부,환경부,1661-9408,2,20250515155736,20250514110017,20250514110248,,,50,단독,52,52720,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
진안마이산(익산) 휴게소,ME178100,02,06,전북특별자치도 진안군 진안읍 익산장수고속도로 41 (단양리),null,null,24시간 이용가능,35.7782697,127.425744,ME,환경부,환경부,1661-9408,2,20250515155712,20250515135045,20250515142800,,,50,단독,52,52720,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
진안마이산(장수) 휴게소,ME178101,01,06,전북특별자치도 진안군 진안읍 익산장수고속도로 42 (단양리),null,null,24시간 이용가능,35.774925,127.4262837,ME,환경부,환경부,1661-9408,2,20250515155444,20250514154950,20250514163127,,,50,단독,52,52720,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
진안마이산(장수) 휴게소,ME178101,02,06,전북특별자치도 진안군 진안읍 익산장수고속도로 42 (단양리),null,null,24시간 이용가능,35.774925,127.4262837,ME,환경부,환경부,1661-9408,3,20250515155808,20250513095038,20250513100458,20250515153803,,50,단독,52,52720,C0,C001,Y,,N,,N,,N,2017,전북특별자치도
롯데마트 군산점,ME178149,01,06,전북특별자치도 군산시 수송로 185 (수송동),null,null,24시간 이용가능,35.9647788,126.7163555,ME,환경부,환경부,1661-9408,2,20250515155758,20250513191647,20250513195951,,,50,단독,52,52130,E0,E001,Y,,N,,N,,N,2017,전북특별자치도
롯데마트 군산점,ME178149,02,06,전북특별자치도 군산시 수송로 185 (수송동),null,null,24시간 이용가능,35.9647788,126.7163555,ME,환경부,환경부,1661-9408,2,20250515155803,20250515152043,20250515154418,,,50,단독,52,52130,E0,E001,Y,,N,,N,,N,2017,전북특별자치도
