statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
위미의례회관,ME174046,01,06,제주특별자치도 서귀포시 남원읍 중산간동로 6862,null,null,24시간 이용가능,33.289615,126.6576261,ME,환경부,환경부,1661-9408,2,20250515155742,20250515132755,20250515140840,,,50,단독,50,50130,A0,A004,N,,N,,N,,N,2017,제주특별자치도
중문 관광단지,ME174050,01,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20250515155553,20250515105441,20250515113046,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,제주특별자치도
중문 관광단지,ME174050,02,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20250515155556,20250515121914,20250515125935,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,제주특별자치도
중문 관광단지,ME174050,03,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20250515155556,20250514132943,20250514141219,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,제주특별자치도
중문 관광단지,ME174050,04,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20250515155559,20250515123542,20250515130938,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,제주특별자치도
중문 관광단지,ME174050,05,06,제주특별자치도 서귀포시 색달동 2889-1,중문색달해변 북측 증설주차장,null,24시간 이용가능,33.2461812,126.4143365,ME,환경부,환경부,1661-9408,2,20250515155611,20250515124001,20250515132401,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2017,제주특별자치도
표선 의례회관 앞 공영주차장,ME174061,01,06,제주특별자치도 서귀포시 표선면 표선리 2103,null,null,24시간 이용가능,33.3272826,126.8233934,ME,환경부,환경부,1661-9408,2,20250515155407,20250515134634,20250515135421,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,제주특별자치도
회수사거리 인근 공영주차장,ME174062,01,06,제주특별자치도 서귀포시 회수동 788-2,null,null,24시간 이용가능,33.2631165,126.4425962,ME,환경부,환경부,1661-9408,2,20250515155331,20250515111554,20250515111940,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2017,제주특별자치도
용암해수산업화지원센터,ME174064,01,06,제주특별자치도 제주시 구좌읍 일주동로 2706-40,null,null,24시간 이용가능,33.5425723,126.8125030,ME,환경부,환경부,1661-9408,2,20250515155707,20250514113451,20250514122116,,,50,단독,50,50110,A0,A004,Y,,N,,N,,N,2017,제주특별자치도
한국폴리텍대학 제주캠퍼스,ME174067,01,06,제주특별자치도 제주시 산천단 동3길 2, 북쪽주차장 입구,null,24시간 이용가능,33.4464702,126.5613493,ME,환경부,환경부,1661-9408,2,20250515155752,20250515095730,20250515103950,,,50,단독,50,50110,J0,J001,Y,,N,,N,,N,2017,제주특별자치도
제주시 상하수도본부,ME174077,01,06,제주특별자치도 제주시 조천읍 중산간동로 601,null,null,24시간 이용가능,33.4997499,126.6496365,ME,환경부,환경부,1661-9408,2,20250515155327,20250515134049,20250515142233,,,50,단독,50,50110,A0,A004,N,,N,,N,,N,2017,제주특별자치도
호텔시리우스,ME181538,01,06,제주특별자치도 제주시 연동2334-4,null,null,24시간 이용가능,33.493426,126.490957,ME,환경부,환경부,1661-9408,2,20250515155734,20250514165716,20250514172707,,,50,단독,50,50110,E0,E003,Y,,N,,N,,N,2018,제주특별자치도
㈜행운식품,ME181539,01,06,제주특별자치도 제주시 조천읍 함덕리 906번지,null,null,24시간 이용가능,33.536916,126.669926,ME,환경부,환경부,1661-9408,2,20250515155605,20250514083138,20250514085032,,,50,단독,50,50110,E0,E006,Y,,N,,N,,N,2018,제주특별자치도
봄그리고가을리조트,ME181540,01,06,제주특별자치도 서귀포시 성산읍 해맞이해안로2660,null,null,24시간 이용가능,33.4746716,126.9111064,ME,환경부,환경부,1661-9408,2,20250515155415,20250515133739,20250515140518,,,50,단독,50,50130,E0,E003,Y,,N,,N,,N,2018,제주특별자치도
클럽다인리조트,ME181541,01,06,제주특별자치도 제주시 애월읍 애월해안로400-9,null,null,24시간 이용가능,33.4714854,126.3508918,ME,환경부,환경부,1661-9408,2,20250515155616,20250515072626,20250515075722,,,50,단독,50,50110,E0,E003,Y,,N,,N,,N,2018,제주특별자치도
제주공항,ME181544,01,06,제주특별자치도 제주시 용담2동 2002,null,null,24시간 이용가능,33.5062950,126.4941925,ME,환경부,환경부,1661-9408,2,20250515155640,20250515074835,20250515082500,,,50,단독,50,50110,A0,A003,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,01,06,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155631,20250515114054,20250515114805,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,02,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155517,20250426063148,20250426071254,,,100,동시,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,03,06,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155411,20250514111207,20250514115122,,,50,단독,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,04,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155614,20250514114322,20250514122847,,,100,동시,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,52,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155520,20250507083455,20250507091759,,,100,동시,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
성산항 공영주차장,ME183101,54,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",null,null,24시간 이용가능,33.472340,126.932315,ME,환경부,환경부,1661-9408,2,20250515155612,20250514130423,20250514134244,,,100,동시,50,50130,B0,B001,Y,,N,,N,,N,2018,제주특별자치도
대정문화체육센터,ME183102,01,06,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",null,null,24시간 이용가능,33.2640100,126.2362478,ME,환경부,환경부,1661-9408,2,20250515155725,20250514160157,20250514162827,,,50,단독,50,50130,A0,A004,Y,,N,,N,,N,2018,제주특별자치도
대정문화체육센터,ME183102,02,04,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",null,null,24시간 이용가능,33.2640100,126.2362478,ME,환경부,환경부,1661-9408,2,20250515155402,20250513162617,20250513163103,,,100,동시,50,50130,A0,A004,Y,,N,,N,,N,2018,제주특별자치도
대정문화체육센터,ME183102,52,04,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",null,null,24시간 이용가능,33.2640100,126.2362478,ME,환경부,환경부,1661-9408,3,20250515155755,20250515103924,20250515112225,20250515153749,,100,동시,50,50130,A0,A004,Y,,N,,N,,N,2018,제주특별자치도
남원읍동부보건소,ME184122,01,06,제주특별자치도 서귀포시 남원읍 태위로 527,", 본관 주차장",null,24시간 이용가능,33.275783,126.703417,ME,환경부,환경부,1661-9408,2,20250515155516,20250514140109,20250514142340,,,50,단독,50,50130,A0,A004,Y,,N,,N,,N,2018,제주특별자치도
돈내코야영장,ME184124,01,06,제주특별자치도 서귀포시 돈내코로 114,", 본관주차장",null,24시간 이용가능,33.300321,126.584802,ME,환경부,환경부,1661-9408,2,20250515155506,20250515142859,20250515150808,,,50,단독,50,50130,D0,D007,Y,,N,,N,,N,2018,제주특별자치도
