statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
보은군청앞 스포츠사업단 대형주차장,ME174118,01,06,충청북도 보은군 보은읍 성주리 288-6, 스포츠 사업단 대형주차장 해병대 전우회 건물옆,null,24시간 이용가능,36.4910864,127.7304676,ME,환경부,환경부,1661-9408,2,20250515161329,20250513115431,20250513122701,,,50,단독,43,43720,B0,B004,Y,,N,,N,,N,2017,충청북도
금강(부산) 휴게소,ME178012,01,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,24시간 이용가능,36.2791549,127.6736776,ME,환경부,환경부,1661-9408,3,20250515161505,20250515142235,20250515144350,20250515161503,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,충청북도
금강(부산) 휴게소,ME178012,02,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,24시간 이용가능,36.2791549,127.6736776,ME,환경부,환경부,1661-9408,3,20250515161330,20250515132548,20250515134833,20250515160828,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,충청북도
금강(부산) 휴게소,ME178012,03,06,충청북도 옥천군 동이면 금강로 596 (조령리),null,null,24시간 이용가능,36.2791549,127.6736776,ME,환경부,환경부,1661-9408,2,20250515161220,20250515110534,20250515112900,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,충청북도
옥산(부산) 휴게소,ME178014,01,06,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리),null,null,24시간 이용가능,36.6567726,127.3703995,ME,환경부,환경부,1661-9408,2,20250515161412,20250515153954,20250515155855,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도
옥천만남 휴게소,ME178016,01,06,충청북도 옥천군 옥천읍 중앙로 135 (삼양리),null,null,24시간 이용가능,36.3079099,127.5731265,ME,환경부,환경부,1661-9408,2,20250515161303,20250514121329,20250514125359,,,50,단독,43,43730,C0,C001,Y,,N,,N,,N,2017,충청북도
음성(남이) 휴게소,ME178017,01,06,충청북도 음성군 삼성면 용성리 산 44,null,null,24시간 이용가능,37.0186894,127.4809059,ME,환경부,환경부,1661-9408,2,20250515161019,20250515073746,20250515075336,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
음성(남이) 휴게소,ME178017,02,06,충청북도 음성군 삼성면 용성리 산 44,null,null,24시간 이용가능,37.0186894,127.4809059,ME,환경부,환경부,1661-9408,2,20250515161032,20250515062019,20250515065319,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
죽암(서울) 휴게소,ME178019,01,06,충청북도 청주시 서원구 현도면 경부고속도로 290,null,null,24시간 이용가능,36.4957964,127.4308677,ME,환경부,환경부,1661-9408,2,20250515161357,20250515093532,20250515101838,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도
죽암(서울) 휴게소,ME178019,02,06,충청북도 청주시 서원구 현도면 경부고속도로 290,null,null,24시간 이용가능,36.4957964,127.4308677,ME,환경부,환경부,1661-9408,2,20250515161135,20250512102551,20250512102752,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도
청주(서울) 휴게소,ME178020,01,06,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리),null,null,24시간 이용가능,36.7162491,127.3487936,ME,환경부,환경부,1661-9408,2,20250515161015,20250514200219,20250514200449,,,50,단독,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도
황간(서울) 휴게소,ME178022,01,06,충청북도 영동군 황간면 회포1길 65 (회포리),null,null,24시간 이용가능,36.2485222,127.8546968,ME,환경부,환경부,1661-9408,2,20250515161259,20250514120904,20250514125115,,,50,단독,43,43740,C0,C001,Y,,N,,N,,N,2017,충청북도
황간(서울) 휴게소,ME178022,02,06,충청북도 영동군 황간면 회포1길 65 (회포리),null,null,24시간 이용가능,36.2485222,127.8546968,ME,환경부,환경부,1661-9408,2,20250515161455,20250515100645,20250515100950,,,50,단독,43,43740,C0,C001,Y,,N,,N,,N,2017,충청북도
음성(하남) 휴게소,ME178045,01,06,충청북도 음성군 삼성면 중부고속도로 52 (양덕리),null,null,24시간 이용가능,37.0227527,127.4844255,ME,환경부,환경부,1661-9408,2,20250515161114,20250515112028,20250515120334,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
음성(하남) 휴게소,ME178045,02,06,충청북도 음성군 삼성면 중부고속도로 52 (양덕리),null,null,24시간 이용가능,37.0227527,127.4844255,ME,환경부,환경부,1661-9408,2,20250515161410,20250512091318,20250512094556,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
괴산(양평) 휴게소,ME178064,01,06,충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리),null,null,24시간 이용가능,36.8315471,127.9599952,ME,환경부,환경부,1661-9408,2,20250515161444,20250515130025,20250515134125,,,50,단독,43,43760,C0,C001,Y,,N,,N,,N,2017,충청북도
괴산(양평) 휴게소,ME178064,02,06,충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리),null,null,24시간 이용가능,36.8315471,127.9599952,ME,환경부,환경부,1661-9408,2,20250515161334,20250515130340,20250515133215,,,50,단독,43,43760,C0,C001,Y,,N,,N,,N,2017,충청북도
충주(창원) 휴게소,ME178069,01,06,충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리),null,null,24시간 이용가능,37.0219027,127.8379417,ME,환경부,환경부,1661-9408,2,20250515161233,20250515132645,20250515140010,,,50,단독,43,43130,C0,C001,Y,,N,,N,,N,2017,충청북도
충주(양평) 휴게소,ME178070,01,06,충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리),null,null,24시간 이용가능,37.0235629,127.8390638,ME,환경부,환경부,1661-9408,2,20250515161050,20250515013100,20250515121246,,,50,단독,43,43130,C0,C001,Y,,N,,N,,N,2017,충청북도
단양팔경(부산) 휴게소,ME178075,01,06,충청북도 단양군 적성면 기동2길 32-37 (기동리),null,null,24시간 이용가능,36.9946821,128.2885772,ME,환경부,환경부,1661-9408,9,20250515154810,20250515095448,20250515100643,,,50,단독,43,43800,C0,C001,Y,,N,,N,,N,2017,충청북도
단양팔경(춘천) 휴게소,ME178076,01,06,충청북도 단양군 단성면 하방3길 100 (하방리),null,null,24시간 이용가능,36.9434738,128.3235426,ME,환경부,환경부,1661-9408,3,20250515161408,20250515103243,20250515111129,20250515155904,,50,단독,43,43800,C0,C001,Y,,N,,N,,N,2017,충청북도
금왕(제천) 휴게소,ME178111,01,06,충청북도 음성군 금왕읍 평택제천고속도로 70 (용계리),null,null,24시간 이용가능,36.9688428,127.5902964,ME,환경부,환경부,1661-9408,5,20250515161153,20250515140818,20250515141830,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
금왕(제천) 휴게소,ME178111,02,06,충청북도 음성군 금왕읍 평택제천고속도로 70 (용계리),null,null,24시간 이용가능,36.9688428,127.5902964,ME,환경부,환경부,1661-9408,2,20250515161309,20250515152642,20250515153526,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
금왕(평택) 휴게소,ME178112,01,06,충청북도 음성군 금왕읍 평택제천고속도로 69 (용계리),null,null,24시간 이용가능,36.9706659,127.5898638,ME,환경부,환경부,1661-9408,3,20250515161509,20250515141537,20250515145553,20250515160502,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
금왕(평택) 휴게소,ME178112,02,06,충청북도 음성군 금왕읍 평택제천고속도로 69 (용계리),null,null,24시간 이용가능,36.9706659,127.5898638,ME,환경부,환경부,1661-9408,2,20250515161010,20250514192624,20250514195924,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
금왕(평택) 휴게소,ME178112,03,06,충청북도 음성군 금왕읍 평택제천고속도로 69 (용계리),null,null,24시간 이용가능,36.9706659,127.5898638,ME,환경부,환경부,1661-9408,2,20250515161022,20250515155641,20250515161021,,,50,단독,43,43770,C0,C001,Y,,N,,N,,N,2017,충청북도
동우주유소,ME181425,01,06,충청북도 진천군 진광로487,null,null,24시간 이용가능,36.9062681,127.4378852,ME,환경부,환경부,1661-9408,2,20250515161224,20250513191945,20250513194722,,,50,단독,43,43750,E0,E007,Y,,N,,N,,N,2018,충청북도
푸르미스포츠센터,ME181426,01,06,충청북도 청주시 흥덕구 휴암동 338,null,null,24시간 이용가능,36.6218494,127.4038218,ME,환경부,환경부,1661-9408,2,20250515161207,20250508185104,20250508193425,,,50,단독,43,43110,A0,A004,Y,,N,,N,,N,2018,충청북도
푸르미스포츠센터,ME181426,11,06,충청북도 청주시 흥덕구 휴암동 338,null,null,24시간 이용가능,36.6218494,127.4038218,ME,환경부,환경부,1661-9408,2,20250515161200,20250515074655,20250515080901,,,50,단독,43,43110,A0,A004,Y,,N,,N,,N,2018,충청북도
청주분평동주민센터,ME181427,01,06,충청북도 청주시 서원구 분평동 1252,null,null,24시간 이용가능,36.6088391,127.4889910,ME,환경부,환경부,1661-9408,2,20250515161158,20250515151030,20250515153902,,,50,단독,43,43110,A0,A004,Y,,N,,N,,N,2018,충청북도
속리산국립공원사무소,ME181428,01,06,충청북도 보은군 속리산면 법주사로 84,null,null,24시간 이용가능,36.5173,127.817459,ME,환경부,환경부,1661-9408,2,20250515161214,20250515135512,20250515143831,,,50,단독,43,43720,A0,A003,Y,,N,,N,,N,2018,충청북도
속리산국립공원사무소,ME181428,02,06,충청북도 보은군 속리산면 법주사로 84,null,null,24시간 이용가능,36.5173,127.817459,ME,환경부,환경부,1661-9408,2,20250515161300,20250515094218,20250515102540,,,50,단독,43,43720,A0,A003,Y,,N,,N,,N,2018,충청북도
속리산국립공원사무소 쌍곡분소,ME181429,01,06,충청북도 괴산군 칠성면 쌍곡로 209,null,null,24시간 이용가능,36.764339,127.888316,ME,환경부,환경부,1661-9408,2,20250515161256,20250515121911,20250515122344,,,50,단독,43,43760,A0,A003,Y,,N,,N,,N,2018,충청북도
속리산국립공원사무소 쌍곡분소,ME181429,02,06,충청북도 괴산군 칠성면 쌍곡로 209,null,null,24시간 이용가능,36.764339,127.888316,ME,환경부,환경부,1661-9408,2,20250515161338,20250515121002,20250515121556,,,50,단독,43,43760,A0,A003,Y,,N,,N,,N,2018,충청북도
월악산국립공원사무소 송계분소,ME181430,01,06,충청북도 제천시 한수면 미륵송계로 1647,null,null,24시간 이용가능,36.887027,128.078541,ME,환경부,환경부,1661-9408,2,20250515161338,20250515161103,20250515161310,,,50,단독,43,43150,A0,A003,Y,,N,,N,,N,2018,충청북도
월악산국립공원사무소 송계분소,ME181430,03,06,충청북도 제천시 한수면 미륵송계로 1647,null,null,24시간 이용가능,36.887027,128.078541,ME,환경부,환경부,1661-9408,3,20250515161438,20250515115415,20250515123736,20250515161436,,50,단독,43,43150,A0,A003,Y,,N,,N,,N,2018,충청북도
월악산국립공원사무소 닷돈재야영장,ME181431,01,06,충청북도 제천시 한수면 송계리 70-2번지？,null,null,24시간 이용가능,36.8434277,128.0939978,ME,환경부,환경부,1661-9408,2,20250515161305,20250507103454,20250507111816,,,50,단독,43,43150,D0,D001,Y,,N,,N,,N,2018,충청북도
월악산국립공원사무소 단양분소,ME181432,01,06,충청북도 단양군 단성면 가산리776,null,null,24시간 이용가능,36.8733692,128.2927702,ME,환경부,환경부,1661-9408,2,20250515161048,20250505111534,20250505113855,,,50,단독,43,43800,D0,D001,Y,,N,,N,,N,2018,충청북도
초평면사무소,ME183179,01,06,충청북도 진천군 초평면 초동로 45-6,null,null,24시간 이용가능,36.8457151,127.5261818,ME,환경부,환경부,1661-9408,2,20250515161150,20250512143705,20250512151056,,,50,단독,43,43750,A0,A002,Y,,N,,N,,N,2018,충청북도
초평면사무소,ME183179,02,04,충청북도 진천군 초평면 초동로 45-6,null,null,24시간 이용가능,36.8457151,127.5261818,ME,환경부,환경부,1661-9408,2,20250515161156,20250513084409,20250513091905,,,100,동시,43,43750,A0,A002,Y,,N,,N,,N,2018,충청북도
초평면사무소,ME183179,52,04,충청북도 진천군 초평면 초동로 45-6,null,null,24시간 이용가능,36.8457151,127.5261818,ME,환경부,환경부,1661-9408,2,20250515161148,20250513124118,20250513130212,,,100,동시,43,43750,A0,A002,Y,,N,,N,,N,2018,충청북도
백곡면사무소,ME183180,01,06,"충청북도 진천군 백곡면 장터길 15-10, 입구 우측",null,null,24시간 이용가능,36.8838063,127.3771268,ME,환경부,환경부,1661-9408,2,20250515161049,20250513170426,20250513174731,,,50,단독,43,43750,A0,A002,Y,,N,,N,,N,2018,충청북도
