statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
서하 보건지소(함양),PC001208,경상남도 함양군 서하면 송계앞길 7,,지상 주차장,24시간 이용가능,35.647494728,127.69709852,PC,파킹클라우드,아이파킹,1533-5783,"2,4","50.0,7.0",단독,2,2,0.0,1.0,2025-05-12 18:41:30,2025-05-10 05:31:28,2025-05-10 06:15:18,,48,48870,I0,I003,Y,,N,,N,,N,2025,경상남도,0.6166364486836039,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-0.924954673025406,1.3777119936323718
함양 서하면 사무소,HY000263,경상남도 함양군 서하면 함양남서로 3937,서하면사무소 주차장 안쪽,경상남도 함양군 서하면 함양남서로 3937 서하면사무소 주차장 안쪽,24시간 이용가능,35.647508,127.695504,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:11:04,2025-05-14 17:56:49,2025-05-15 09:09:53,,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,0.5710381540273565,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-0.8565572310410348,0.946109435616743
서상시장,KP005111,경상남도 함양군 서상면 칠형정뒷길 16,,,24시간 이용가능,35.6798,127.688,KP,한국전력공사,한국전력,1899-2100,4,100.0,단독,1,1,0.0,1.0,2025-05-15 14:03:07,2025-05-15 13:47:02,2025-05-15 14:01:45,,48,48870,B0,B001,Y,,N,,N,,N,2022,경상남도,3.0831219432217396,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-4.62468291483261,-2.322016248174832
함양 부전계곡 주차장,HY000256,경상남도 함양군 서상면 부전계곡로 314-66,공영주차장,경상남도 함양군 서상면 부전계곡로 314-66 공영주차장,24시간 이용가능,35.644928,127.66134,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,2,2,0.0,1.0,2025-05-05 17:44:02,2025-05-05 09:55:38,2025-05-05 17:43:19,,48,48870,B0,B001,N,,N,,N,,N,2023,경상남도,3.095022916078924,0,0,0,300,0.0033333333222222,0.0,1.0,0.8,0.0026666666577777,0.0,0.0,-4.6425343741183855,-2.839867707460608
함양 서상면사무소,HY000264,경상남도 함양군 서상면 서상로 260,서상면사무소 주차장,경상남도 함양군 서상면 서상로 260 서상면사무소,24시간 이용가능,35.679042,127.687862,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,0,1,1.0,1.0,2025-05-15 11:29:03,2025-05-15 11:28:57,2025-05-14 10:53:01,2025-05-15 11:28:57,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,3.0027023598592306,0,0,0,300,0.0033333333222222,0.0,1.0,0.0,0.0026666666577777,0.0,0.0,-4.5040535397888455,-3.501386873131068
천안삼거리(서울) 휴게소,ME21A309,충청남도 천안시 동남구 구성동 153-77,,,24시간 이용가능,36.7876902,127.1733336,ME,환경부,환경부,1661-9408,4,100.0,단독,2,3,0.3333333333333333,1.0,2025-05-15 16:14:15,2025-05-15 15:31:34,2025-05-15 16:08:18,2025-05-15 15:41:43,44,44130,C0,C001,Y,,N,,N,,N,2021,충청남도,0.5467368066280618,1,0,0,300,0.0033333333222222,0.5,1.0,0.5333333333333334,0.0026666666577777,0.0,0.0,-0.8201052099420927,1.2158947900490185
천안삼거리(서울) 휴게소,ME178011,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,,,24시간 이용가능,36.7882107,127.1735101,ME,환경부,환경부,1661-9408,6,50.0,단독,1,3,0.6666666666666667,0.6666666666666666,2025-05-15 16:15:10,2025-05-15 15:33:25,2025-05-15 15:41:35,2025-05-15 15:56:34,44,44130,C0,C001,Y,,N,,N,,N,2017,충청남도,0.5089158568325979,1,0,0,300,0.0033333333222222,0.5,0.6666666666666666,0.2666666666666666,0.0026666666577777,0.0,0.0,-0.7633737852488969,0.672626214742214
청수파출소,ME22D1F5,충청남도 천안시 동남구 청수14로 103, 충청남도 천안시 동남구 청수14로 103,,24시간 이용가능,36.7862377,127.1571478,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 16:15:34,2025-05-15 14:55:22,2025-05-15 15:38:38,,44,44130,I0,I004,Y,,N,,N,,N,2022,충청남도,1.2986807543904342,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-1.9480211315856513,0.3546455350721265
천안시종합복지사회복지관,ME19Y289,충청남도 천안시 동남구 천안대로 361,,,24시간 이용가능 / 토~일 미개방,36.7805357,127.1650371,ME,환경부,환경부,1661-9408,4,100.0,단독,2,2,0.0,1.0,2025-05-15 16:11:38,2025-05-15 14:40:41,2025-05-15 15:20:41,,44,44130,I0,I006,Y,,N,,N,,N,2019,충청남도,1.3276471225979436,1,0,0,300,0.0033333333222222,0.5,1.0,0.8,0.0026666666577777,0.0,0.0,-1.9914706838969152,0.3111959827608623
천안박물관,ME183155,충청남도 천안시 동남구 삼룡동 260-3,,,24시간 이용가능,36.786312,127.164105,ME,환경부,환경부,1661-9408,"4,6","100.0,50.0","단독,동시",0,3,1.0,0.0,2024-12-16 17:18:10,2024-12-10 15:37:11,2024-12-10 15:56:36,2024-12-10 15:37:49,44,44130,A0,A004,Y,,N,,N,,N,2018,충청남도,0.8034470919219282,1,0,0,300,0.0033333333222222,0.5,0.0,0.0,0.0026666666577777,0.0,0.0,-1.2051706378828924,-0.7025039712251145
