별점,리뷰,날짜
4,"간,천엽먹고 싶어서 찾았어요..싱싱하고 잡내없이 맛있었어요.
양,대창전골 2인분 시켰구요.
양은 너무 질겨서ㅡㅡ턱이턱이 마취되는 느낌요ㅜㅜ
여기는 김치가 늘 맛나요.배추김치!
둘이서 전골3인분해야 적당히 먹을수 있을듯해요.",3년 전
3,2명이 대창전골 먹다가 너무 질겨서 치아가 아플정도입니다. 다 씹지도 못하고 중간에 억지로 삼키먼서 먹었네요. 치아가 약한 어린이 / 어르신들은 절대 주문하지 마세요.,6달 전
5,"곱창전골 대창전골 모두 맛있음

다 먹고 밥볶아먹으면 더 맛있음
다만 옷에 냄새가 좀 배일 수 있으나 맛은 보장함. 밑반찬은 간소함. 양도 적당",6년 전
1,곱창전골 시켰는데 눈에 보이는것들은 대창만 가득. 여쭤보니 곱창전골은 모듬식이라 대창이 들어있다 얼버무리시며 자리 피하심. 그럼 메뉴판에 곱창전골이라 적어놓지를 마시던지요. 곱창 전골에 곱창은 다 뜯겨진(?) 조각 난 곱창 몇개 들어있고 나머진 대창ㅋㅋㅋㅋ  느끼해 죽을뻔ㅋㅋㅋㅋ,5년 전
5,"곱창전골이 굉장히 맛있었어요. 라면사리 추가해먹으면 더 맛있음
전골도 다 끓여나오고 사리추가해도 다 삶아나와서 바로먹을수있음",6년 전
4,"자세히 알아보지도 않고 곱창 전골에 끌려 여행 1일차 저녁으로 방문했다. 별 다를 것 없어 보이는 곱창 전골이었는데 1인분에 만원이라는 나쁘지 않은 가격에 진하고 칼칼한 국물 맛에 반해버렸다.

시금치와 소곱창이라는 의외의 조합도 신선했다. 다만 곱창의 양이 조금 부족하게 느껴지는 게 아쉬웠지만, 아쉬움을 볶음밥으로 달랬으니 괜찮았다.

곱창전골을 먹고 다음날 배낚시를 떠났는데 고성 곱창에서 저녁을 먹었다 하니 외지인이 그 집을 어떻게 알고 찾아갔느냐고 놀란건 덤이다.",6년 전
4,"곱창전골. 살짝 느끼하긴했지만  전 비오고 으슬으슬 추운날에. 걸죽한 국물이 나쁘지 않았어요.
재방문의사 있어요.
간은 좀 센편이고. 양념장을 찍을 필요가 없을 정도로. 볶음밥은. 쏘쏘
양은 많지 않은 편이에요.",7년 전
2,직원분의 서비스는 좋으나 맛는 저한테 맞기 않았습니다,5년 전
4,"아주 오래전 연탄불에 구워먹었던 기억으로 갔는데.. 음... 양념맛으로 냄새가 거의 나지 않으면서 맛있게 먹었어요.
일단 주차장이 따로 있어서 더 좋았어요..",2년 전
4,멀리까지 여행가서 곱창전골을 먹게 될줄은 몰랐지만 맛집으로 알려져있기에 한번 찾아가봤습니다. 전골의 맛 자체는 나무랄데가 없었고 사장님과 직원분들도 친근하게 말걸어주시는 분위기가 좋았습니다. 기분좋게 술한잔 하기 좋은 식당이었습니다.,6년 전
5,맛있는데요 곱창전골에 곱창양이 좀 많았으면 더 좋았을거 같네요.,1년 전
3,"1. 제비추리
100g(예상)에 2만원. 이걸로 배 채우기엔 단가가 꽤 나간다. 하지만 맛은 좋음

2. 양대창
숯을 빼고 돌?을 이용해 굽는 시스템. 단점: 오래걸림. 누구나 아는 양대창맛

3. 곱창전골
누구나 아는 곱창전골맛. 라면사리 넣어 드세요

4. 볶음밥
전골에 밥을 볶아주는데 이게 제일 괜찮았음

총평: 접대하기에 괜찮은 집. 가격대가 좀 있지만 맛은 괜찮은 집",5년 전
5,서울에서도 대창전골 자주 먹으러 다니는 편임에도 세척을 잘해서 구이도 전골도 비린내 하나 없이 맛있게 먹었습니다. 전골 추천,3년 전
2,"싼맛에 볶음밥 볶아먹기 좋은 양념이예요.
서울부터 기대하고 갔는데 닭볶음탕 맛나고, 곱창 너무 작고 몇개 들지도 않고 차라리 돈 더받고 더 넣어주지. 영 아닙니다.",6년 전
