별점,리뷰,날짜
3,"통영 곤리도횟집에서 물회를 시켜 먹었는데, 붉은 물회에 앵두가 들어 있어서 색다른 색감을 느켰지만, 앵두를 씹었을 때에 앵두 씨가 씹히는 바람에 마치 돌을 씹는 느깜이 들었다. 그리고 다정한 주인아주머니 말처럼 통영과 경남의 음식은 맵고  짠게 특색이라고 말한다.",3년 전
4,오래된 집이라 외관보다 실내는 온통 벽에 낙서투성이고 시골스러워요. 싱싱한 굴을 넣은 미역국이 맛있었고 생선구이 괜찮았어요. 옆테이블 손님의 매운탕이 더 맛있게 보였어요.,1년 전
5,"밤 늦게 식당찾아 헤매다 간 집.
근데 맛있음~♡  회도 달고 밑반찬도 왜이리 맛나던지 그릇까지 핣아 먹을듯 ㅜㅜ
모듬회 먹었는데 골고루 맛 볼수 있어 좋았다",4년 전
3,"통영곤리도 방파제 낙시터는
구글에 없는 곳 입니까?
고등어 낙시에 좋은곳 입니다
통영 곤도리도 낙시터 입니다",7년 전
4,곤리도 횟집 통영 마니라리조트에서 가까운 횟집,6년 전
4,맜있고 친절 깔끔. 사이드로 나오는 매운탕이 좋아요^^,6년 전
5,특별할건 없지만 부족함도 없는 집 잘먹었어요,4년 전
5,"멸치회무침맛있어요
멍게 비빔밥도요",4년 전
5,회덮밥 맛있고 맛깔스런 밑반찬 좋았어요,4년 전
5,맛있게 잘먹었어용~,7년 전
1,회도 엉망 서비스도 별로 ㅜㅜ,4년 전
1,완전 불친절 가지마세요,7년 전
5,맛있습니다,6년 전
1,와우 별한개.,4년 전
2,별로에요,4년 전
2,괜찮은편임,6년 전
2,신선한 생선을 제공하는 전통 레스토랑 : 구운 요리 + 매운 생선 국물 냄비를 선택했습니다. 좋았지만 한국에서의 체류 중 최고는 아니었습니다.,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
1,리뷰 없음,4년 전
4,리뷰 없음,5년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
2,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,7년 전
1,리뷰 없음,7년 전
3,리뷰 없음,9년 전
