별점,리뷰,날짜
5,멍게비빔밥을 먹었는데 반찬으로 전어회도 나오고 대체로 정갈하고 맛있습니다. 복국을 전문으로 하니 다음에는 복국을 먹으러 와야겠다는 생각이 들더군요. 통영항에서 점심 하기 좋은 곳입니다.,6년 전
4,"해장에 복지리만한 음식이 또 있을까. 해장이 아니더라도 이렇게 개운한 음식이 얼마나 될까. 야들야들하고 담백한 복 살, 시원한 국물, 나쁘지 않은 밑반찬. 여러모로 만족스럽다. 통영에 저녁에 도착해 눈에 보이는 아무 식당이나 찾아 들어갔는데 운이 좋았다.",3년 전
5,가서 어떤 복국을 먹을까 고민하실껍니다. 황복으로 해서 매운탕 말고 지리로 해서 드세요. 뚝배기로 주시는 그 탕이 더 맛이 좋아요! 매운탕은 김치국 떠먹는 맛이라 의문이 들 수 있는데 지리는 정말 깊은 맛이 납니다. 지리로 드세요. 꼭! 지리로 드세요!!,5년 전
5,깔끔하고 맛난 음식. 특히 복어탕이 맛 있어요.주인 아줌마 친절해요. 아주 좋아요 ㅎ,7년 전
3,"특이한 비주얼
살짝 비린맛이 남아있는
밑반찬 젓갈류가  꿀맛
밥은 좀 찐듯한",6년 전
5,시원한 복국 그리고 사장님이 친절하고 넉넉해요.,1년 전
2,기대를 가지고 복국 소개받아 가보고자합니다.,10년 전
3,회와 매운탕  베스터.,6년 전
5,친절 괜찮은 맛집,7년 전
4,조아요,5년 전
5,리뷰 없음,1년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,6년 전
2,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,7년 전
