별점,리뷰,날짜
5,"역대급 고등어조림을 만났습니다
역시 최고의 레시피는
좋은 식자료였나봐요

욕지산 생물고등어로 만든 조림은 진짜
보드라운 살결과 기름진 감칠맛이 예술이네요
무도 많이 들어갔고 양념장도 내공 가득!
밥도둑 인정입니다

고등어회야 뭐 말할것도 없이 훌륭하죠
덕분에 낮술&과식 했습니다
반찬들도 정갈~ 친절했습니다 추천해요",1달 전
4,"고등어조림, 고등어 회 모두 맛있음. 욕지도의 고등어회는 전혀 비리지 않고 꼬소한 맛을 그대로 유지한다. 겁이 많아 금방 죽어버린다는 고등어, 그 놈을 바로 먹을 수 있는 신선함이 특별하다. 고등어회를 시키면 뼈조림이 제공되어 아쉬움을 조금 달래준다. 하지만 조림은 조림. 둘 다 추천. 욕지도의 옛 노상 포장마차들이 거의 다 사라진 시점에 옛 고등어회의 기억을 달래주는 곳이기도.",8달 전
5,"욕지도 고등어 유명하죠. 이집 고등어회, 조림 잘합니다. 가격도 섬치고 괜찮고 음식 정갈하고 오픈 주방에 깔끔해보입니다. 저는 개인적으로 조림이 히트였습니다. 양도 많구요 적당히 달큰한 맛. 회도 많이 비리지않으니 맛보시길 추천!",9달 전
5,"이집 고등어회는 조금 특별해요
고등어회 위에 살짝 뿌려주시는게 있고 전용 소스장이 따로있더라구요 !
회의 양도 많고 고등어회에는 조림이, 모듬회에는 매운탕이 식사로 나오는데 조림은 약간 달달한맛이고 매운탕은 최고까지는 아니지만 먹을만합니다 !
잘먹었습니다 🙂…",8달 전
5,욕지도 여행가서 처음으로 들린 가게에요. 고등어회 너무 싱싱하고 맛있었습니다. 완전 추천드려요!! 맛집임,10달 전
3,"욕지도에서 고등어회를 먹을수 있는곳입니다
처음먹어보는 회라  맛있는지는 모르겠지만
다른회보다는 고소합니다.
가격은 좀 비싸지만 살아있는 고등어를 먹을수 있어 좋았습니다",5년 전
5,"일행 8명이 고등어회 먹고왔어요
대자 8만원 2개 소주 공깁밥 8
합계 188,000원
회가 싱싱하고 데코도 아주 일품
욕지도 가시면 적극추천합니다.
각종 방송사 및 송가인도
방문사진있어요",3년 전
3,"고등회는 비리지 않고 괜찮았으나, 사장님과 직원들 손님대응이 미흡하고, 회값이 안싼데 회와 고등어 뼈조림이 끝이라 실망",3년 전
5,너무  맛있어요ㅜㅜ 꼭 가세요!!,4달 전
5,"95년도 전통파 욕지도 건달집 다녀왔습니다. 얇게 썬 고등어회에 특제 간장소스, 고추 얇게해서 먹으면 기절입니다. 진짜 혼쭐났습니다. 소주를 호로록 불러버렸습니다. 여기입니다. 진짜에요.",3년 전
4,고등어회가 비리지 않고 맛있네요. 저는 모듬회 보다 좋았습니다.,3년 전
5,깔끔하며 맛있는 식당 음식도 빠르게 나오고요 갈치젓갈 빼면 반찬도 맛있습니다,3년 전
5,"맛있어요 고등어회 첨먹어보는데 고소하고 쫄깃합니다.
고등어 조림은 제가 태어나서 조림이 이렇게맛있는거였나 싶을정도였어여.또 생각납니다ㅜㅜ",2년 전
5,"고등어 요리 및 일반 모듬회, 그리고 각종 식사류를 판다. 나는 고등어 조림을 먹었는데 양념 맛이 진짜 신기하면서도 맛있었다. 고등어 회 비주얼도 좋아보였는데 전날 먹어서 굳이 먹진 않았다. 다만 점심시간이었는데 손님이 반 넘게 들어차니 주인내외분만으로는 좀 벅차 보였다. 섬이라는 특성 상 사람 쓰기가 힘들어서 어쩔 수 없는 부분인 듯...",2년 전
4,"고등어 회 비린맛을 잡는 노하우가 훌륭했던곳
맛있게 잘먹음",3년 전
5,고등어회가 아주 신선하고 감칠맛납니다. 고등어뼈조림을 같이 주시는데 생선조림 안 먹는 남편이 국물까지 퍼 먹는 것을 보니 장소 선택한 제가 아주 흐뭇하더라고요. 참고로 현지분들이 오셔서 전부 고등어조림을 드시더라고요.,3년 전
5,"고등어 회는 제주보단 남해라더라..라는 말을 듣고 처음 접한 욕지도 고등어. 그 바로잡은 싱싱함에 비린맛도 없고 고등어의 기름짐이 입을 풍성하게했다. 밑반찬, 조림, 회 손질도 좋았다.
욕지도 방문시 재방문의사 100%",3년 전
4,"욕지도 여행가서 출렁다리까지 걸어서 다녀온 후 늘푸른 횟집에서 고등어회 정식을 먹었습니다. 비린내나 그런 잡내는 전혀 없었으나 회를 너무 얇게 썰어 별다른 식감을 못느꼈네요. 복어회는 얇게, 방어회는 두텁게 썰어야 맛이 있는데!",7년 전
5,"직원분들도 너무 상냥하시고 회도 너무 맛있었어요!!!
고등어회 처음 먹었는데 하나도 안비리고 나오는 반찬도 하나같이 다 맛있었어요. 고등어 조림도 👍…",3년 전
4,재료가 신선해서 인지 고등어 조림이 너~무 맛나요..이모님들이 반찬더주시는것 싫어하셔서 눈치보일정도로 밑반찬도 맛납니다,1년 전
1,고등어회 시키고 1/4도 못먹었어요 제주도에선 안비리고 고소하고 맛있었는데 여긴 너무 비리고 느끼해서 못먹겠더라구요 그리고 남자사장님 비상식적으로 불친절합니다 불친절한 정도가 아니라 그 이상입니다 맛없어서 음식 다 못먹고 남겼더니 시비를거네요 참고로 계산 안한다고 한것도 절대 아니고 불평 한마디 입밖으로 내뱉지않았습니다,4년 전
5,"고등어회 진짜 최고 맛있어용!
다른데서 안먹어봤지만 다른데를 찾고 싶지 않을 정도로 맛있어용^^ 또 갈거예용",3년 전
4,무난히 괜찮았어요ㅎㅎ,4달 전
4,스끼는 별로 없지만 회가 싱싱해서 좋았습니다,3년 전
5,"고등어를 별로  안 좋아해서   전갱이 회를 먹었는데  진짜  맛있어요.
강추",2년 전
4,깨끄하고 섬의 정취가 느껴지는 횟집 이지만. 가격이 좀 비싼듯 하고 주인의 친절함이 돋보이지만 맛은 두드러지않음.,6년 전
5,"고등어 회  비릿한맛 1도 없이 먹을수있는곳
조림은 어찌나 맛있든지ㅎㅎㅎ
완전 맛있어요 ~",3년 전
3,고등어회 맛있게 먹었어요 감사합니다,1년 전
5,고등어회가 진짜 맛있어요 욕지도 가시면 꼭드셔보세요,3년 전
5,조아라하는 고등어 회로 잡솨바~~~,6년 전
5,"욕지도에 가면 항상 들러서 먹는 고등어횟집
항상 만족하는 식당입니다^^",2년 전
5,옆의 유명한 고등어 맛집보다 더 맛있고 친절하십니다.,3년 전
4,고등어회가  맛이 좋아요,2년 전
2,너무 비싸네요. 제주도 보다 서비스 및 제품의 질도 낯은데 가격은 더 비쌈.,3년 전
5,다른곳을 안가봐서 가격차이는 잘 모르겠습니다. 전체적인 서비스와 고등어회가 만족스러웠습니다,7년 전
4,맛있어요  양은  좀작아요 조림도 좋아요,3년 전
5,고등어 찜이 맛있어요.,2년 전
5,물회 정말 맛있습니다. 밑 반찬도 맛 있고요.,5년 전
4,고등어 신선하고 전반적으로 음식이 맛있음,3년 전
1,"불친절...
아저씨는 왜케 인상을쓰고 신경질을부리는지..
무서워서 먹겠나싶음",2년 전
5,"굿
매운탕,고등어회 좋네요",3년 전
3,"깨끗합니다.
한여름 방문이 아니라면 포차에서 낭만을 선택하기로 합니다.",3년 전
5,단가에 비해서 양이 부족함  회는 싱싱하고 좋음^^,3년 전
5,"고등어조림 맛있습니다.
밥도둑이에요",5년 전
5,통영 최고의 고등어 횟집입니다~^^,3년 전
2,왜 다맛있는거야,3년 전
5,"깔끔한 고등어회
청결한 음식^^♡♡",6년 전
4,고등어회 맛나네요ㅎ 송~가인도 먹고 간^^,4년 전
5,잼난분이 계시네요 레드벨벳 조이가 있는곳 ㅋ,7년 전
5,음식도 다 맛있고 친절합니다.,3년 전
4,"간단하게물회를먹었다
참맛있엇다",3년 전
5,"고등어 회가
일품 이었습니다",3년 전
4,지역민들이 줄서서 먹는집..깔끔하게 나옵니다.,2년 전
4,먹어본 고등어회중 최고의 맛~,6년 전
5,인생고등어조림,6년 전
5,육지도에 간다면 가보면 좋을듯하다,4년 전
5,조림 양념이 맛있습니다!,5년 전
5,맛도좋고너무좋왔습니다,3년 전
5,깔끔하고 고등어회로 유명함,7년 전
5,너무맛있는집  강력추천합니다,6년 전
3,가격대비 비싼것같다.,2년 전
4,고등어조림 굿~~,3년 전
