별점,리뷰,날짜
5,"고기가 너무 좋습니다.
진짜 맛있어요",2년 전
1,"가격에비해 사이드메뉴는 완전히 바닥수준!
두번은 찾지않을곳!
ㆍ스폐셜메뉴 2인분-66,000에
ㆍ육회-25,000원?
그외..쇠주? 음료...",4년 전
5,점심특선을 먹었는데 반찬도 깔끔하고 특히 마늘하고 특제소스에 절인 소고기 구이가 일품입니다. 강추 드립니다.,5년 전
3,"고기 질은 전체적으로 나쁘지 않습니다.
같이나오는 찬 수가 적습니다.
그리고 조금 싱거운 편이고, 묵은지는 너무 익힌건지.. 곰삭은 향이 좀...ㅎㅎ
참조하세요.",5년 전
2,"특수부위라는데 깜짝놀랏다는!
160g33000원.가격에 이정도면 이건아니징",4년 전
2,고기 맛이 예전 샅지 않았어요.. 추가 고기는 기다리다 불 꺼지기 전에 확인하고 받아서 약한불에  수육처럼 먹었내요,4년 전
3,"맛은 좋은데...양념갈비 양이...쫌 이상해요.
아무리 뼈가 포함되어 있다지만..",4년 전
5,"소고기스페샬 고기육즙이살아있네요
돼지갈비도 맛있고요",6년 전
3,음식은 한우가격생각하면 적당. 대신 아기의자가없어서 불편해요 놀이방은 있습니다,6년 전
5,"좋은 고기에 저렴한가격등 아주 좋아요
통영가면 다시 가고 싶은 곳 추천",5년 전
1,"맛이 없고 비싸기만함. 스페샬은 어느부위냐고 물으니...모름... 3인분에 97,000원",6년 전
5,통영 대표 고기집답게 고기맛이 정말 끝내주는 맛집입니다,7년 전
4,소고기는 여기. 부드럽고 맛남,1년 전
4,사적 모임 장소로 좋아요.,2년 전
4,한우숫불고기.갈비탕.육회비빕밥.돼지갈비.등을 파는곳 입니다.,7년 전
4,점심특선 맛있어요,6년 전
5,맛잇엇읍니다.친절햇읍니다,5년 전
5,너무 맛있어요!,5년 전
5,맛있네요,5년 전
5,"맛을 알려고하면
필히  들려야할 집",4년 전
4,고기가 맛있었다.,6년 전
5,역시  맛납니다,5년 전
1,넘 불친절해요,3년 전
1,맛  더럽다 가지마라,6년 전
3,ㅋㅋ,6년 전
4,맛잇어요,6년 전
4,좋아요,4년 전
5,음식이 맛나,8년 전
5,맛나요,6년 전
4,👍🏻👍🏻아주 좋아요…,7년 전
5,리뷰 없음,6년 전
4,리뷰 없음,10달 전
3,리뷰 없음,1년 전
3,리뷰 없음,2주 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
2,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
3,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
1,리뷰 없음,6년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
2,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
1,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,7년 전
5,리뷰 없음,7년 전
4,리뷰 없음,7년 전
4,리뷰 없음,7년 전
3,리뷰 없음,7년 전
1,리뷰 없음,7년 전
3,리뷰 없음,7년 전
3,리뷰 없음,7년 전
3,리뷰 없음,7년 전
3,리뷰 없음,8년 전
