별점,리뷰,날짜
5,"단일 메뉴. 뚝배기는 작아보이는데 알차게 들어가 있어요. 국물도 시원하니 맛나요.
술 안 먹었는데 해장되는 느낌.",2년 전
5,"오랜만에 찾은 미주 뚝배기!
바뀌진 않지만 물리지 않는 반찬!
작은 뚝배기에 한가득 숨은 해물!
역시 국물은 시원합니다.",1년 전
4,주차는 여객선 터미널에 하시고 걸어가시면됩니다..맛있엇어요...푸짐하고 밑반찬도 집에서먹는 친숙한음식ㅋ 참고로 가게는 2층에 있으니 잘찾으셔야합니다,6년 전
1,"통영도착해서 처음으로 먹은 식사입니다
왜맛집인지 모르겠네요
조개해감을 안하는것같습니다
멸치볶음으로 밥먹었습니다",5달 전
3,가격 저렴하고 숙소에서 3분거리라 가봤는데..다음번엔   몇천원 더 주고 해산물 여러가지 들어있는 곳으로 가겠음 미더덕만 많음.....ㅋㅋ소라2개 꽃게작은거 3조각 바지락조음과 가리비4개 끝... 자극적이지않아서 아침에 부담없이 먹긴 좋디만...내용물이 조금 부실한듯..,4년 전
1,해물은 다 싱싱하지않네요. 냉동인가봐요.1인분은 팔지도 않구요. 기본 2인... 사진에서 보는게 2인분 양입니다. 혼자서는 맛볼수도 없습니다. 해물종류는 냉동꽃게 반마리 오만둥이 가리비 딱새우2개 뿔소라2개 굴 홍합 바지락 큰조개가 들어가네요. 해물종류는 시장사정에따라 다르다고하니 참고하시면 되고요. 맛집으로  찾아가서 기다리면서 먹을맛은 아니네요. 위치 찾기도  힘들어서 두바퀴 돌았어요. 이층에 있으니 참고하세요.,6년 전
4,해물 좋아하는 1인인데 국물맛 끝내주네요. 다른데에 비하면 가격도 적당합니다. 다음에 또 찾아올 집!,7년 전
2,"내용물이 많지 않네요. 3인분 시켰는데, 양이 너무 적습니다.
양이 진짜 너무너무너무 적습니다. 3인분을 한 그릇에 줘서
사실 먹기도 불편하고, 그릇도 2인분짜리랑 많은 차이가 나지 않았습니다.
1인분에 11000원인데, 해물도 많지 않고 미더덕만 엄청 많습니다.
가리비는 2개밖에 없어서 한명은 못먹었네요..
국물은 시원하긴 했으나 뭔가.. 밍밍한 느낌?
네이버 리뷰 보고갔는데, 솔직히 기대 이하였습니다.
다음에는 절대 다시 안갈 것 같네요.
대략적인 개인평가는 친구1은 3.8점, 친구2는 3.5점, 저는 1.5점입니다.",6년 전
5,해물이랑 된장 베이스 다보니 잘못하면 비릴수 있는데 너무 맛있게 잘먹고 왓습니다!! 해물양도 많고 칼칼한 맛에 소주 한잔이 절로 생각나는 맛이엇습니다,2년 전
3,"최소 2인분 주문이며 2인분 당 작은 뚝배기 1개 / 3인분 당 큰뚝배기 1개 이렇게 서빙됩니다.
2인분에 서빙된 양이 보기보다 너무 작아서... 처음보기에 당황스럽긴했는데 먹다보니 또 국물이 적당히 짭짤해서 밥 까지 다 먹으면 배는 부릅니다.
다만 뭔가 맛있게 잘 먹었다는 생각들 정도로 만족스러운 식사는 아니었습니다.",4년 전
4,"주변 가게 대비 괜찮음.
미더덕과 굴의 시원함이 제대로다.
처음에 먹는 국물맛과 마지막에 먹는 국물맛이 다르니 잘 음미해보길~~
백종원 3대천왕에 나온 가게가 휴무라 급하게 찾아온 곳인데 의외로 괜찮은거 같다. 그리구 밑반찬이 딱 내입맛~!
살짝만 서쪽으로 향하면 맛있어지는건 내 기분탓?
2층이라 입구를 찾기는 쉽지 않으니 잘 찾아보길~",8년 전
4,맛있습니다 국물이 대박이네요 사진은 3인분인데 안에 조개들양은 남자두명이먹을만한 양이었네요 양이 아쉽습니다,6년 전
1,"루지 타고 닭꼬치아저씨께서 추천해주셨는데 지인이 운영하는곳인지....
뚝배기가 해산물 비린맛이 정말 심하게 납니다
조개도 비리고 해산물 자체 비립니다
해산물 좋아하는데 진짜 너무 실망스럽습니다
저희가 1개만 시킨게 아니라 총 7그릇 시켰는데
다 똑같았어요
진짜 맛없어요 네이버 블로그 믿지마세요",5년 전
2,"블로그빨...
맛은 왜 인기있는줄모르겠고...
7000원정도하면 아깝지않을것같아요
손님이 아무리없어도 에어컨안틀고 선풍기만 가동...

직원분은 너무 상냥하고 친절해요",4년 전
5,"맛은 좋은데
해물이 푸짐하게 많은것은 아닙니다",1년 전
3,"한가지 메뉴,단일 해물뚝배기 11,000원
홍합,조게,가리비,게,소라가 들어간
푸짐함,맛은 그럭저럭,나물,깻잎등
반찬은 6가지로 맛남.",7년 전
3,"단일메뉴라 기대가 컷던만큼 평범함에 조금 실망했나봐요
후기에서 봤던 알도 보이지않고해서 조금 부실하다 생각했어요",6년 전
4,2인분에 한뚝배기입니다. 국물이 많이 맵지않고 깔끔해서 해장에 좋습니다,7년 전
4,통영 해물뚝배기 맛집입니다. 오후2~3시면  재료 소진으로 영업종료합니다. 기본2인 주문이고요. 주차시설은 없습니다. 건너편에 유료주차장있습니다,8년 전
5,"배부르게 잘먹었습니다! 국물이 시원하구 해산물도
싱싱하고 많이 들어있어요♡",4년 전
