별점,리뷰,날짜
5,수산도시 통영에서 맛 보는 건강한 한정식 전문식당.,2년 전
4,구정날도 하시다니 감사했어요.음식도 맛있었고 밑반찬들도 입에 맞았어요.더덕구이랑 제육 먹었어요.쌈도 다양하게 있어서 잘 먹었어요~,4년 전
5,단체 손님 접대에 좋습니다. 용화사 제일 가까이 위치한 주차장 보유한 한정식당입니다. 등산객 단체 손님이나 40인 이상 손님 접대에도 사장님의 노련함과 종업원들의 배려가 돋보입니다.,5년 전
4,"음식 맛있어요
정식으로 먹었어요
주차장이 넓어요
분위기가 좋았어요",2년 전
3,용화사 들어가기 전의 유일한 큰 식당. 음식은 맛있습니다. 그런데 사장님과 직원들은 너무 불친절하네요. 이점이 매우 아쉽습니다.,6년 전
4,정성과 맛이 보입니다..,2년 전
4,반찬이 넘맛있고  종류도  많고  맛있어요,2년 전
4,"용화사 갔다가 바로앞  식당 이었는데 잉어먹이 도 주고
맛도 생각보다도 훨씬 맛있었습니다",5년 전
3,"건강에  도움되는 반찬이 나오구요
주차도 잘 되있어요",6년 전
2,반찬 가짓수는 많이 나오지만 딱히 맛있는 반찬이 없고 메인요리도 별로입니다,6년 전
4,많은 분 함께 식사하기 무난합니다. 주차공간도 좋습니다,6년 전
4,"비싼편이긴 하지만 찌개도 각 1그릇따로나오고, 깔끔해서 손님들오면 횟집아니면 여기 가는편입니다.",4년 전
4,반찬이 잘 어우러져 차려졌고 특히 더덕구이돼지고기가 일품이다,3년 전
4,맛있는 음식! 단체회식때만 가서 개인적으로 가면 음식이 어떨지...,7년 전
1,"자연채한정식 은 정말 음식이 지난것이며 특히 밑반찬은 맛없음 찾아가면급실망  가격 이맛에비해
높음 실망하싥것임",6년 전
4,다소 맛있지만~이곳에 관광으로왔다면 굳이 올필요는 없음,6년 전
4,"정식기본 나물 반찬이 12가지...
약간 짠편...",2년 전
5,두번째  방문인데 정말 맛나게 먹고왔어요^^,5년 전
3,8명 이상 먹어야 정식을 제대로 먹을 수 있음,5년 전
5,"와 우 !
찐자  맛있게 먹고 왔어요",5년 전
4,처음먹어본 전주비빔밥이 였지만 정말 맛있었다,6년 전
1,음식에서 벌레가 나오는 마법을 눈으로 확인할수 있습니다.,6년 전
5,나오는 음식도 맛있는데 밑반찬이 더 맛있음,6년 전
5,고기가 부드럽고 맛있었어요,4년 전
5,"사진상 음식과 제공되는 음식이 틀림
특히 버섯전골",8달 전
2,푸짐한 반찬과 맛있는 게장‥쵝오임^^,6년 전
4,진짜 너무 맛있던곳이였네요.,5년 전
5,미륵산 용화사 쪽이구요~ 정식드시러 오세요~,6년 전
5,가격대비 별로였어요,6년 전
2,비싼가격에 싸구려 기사식당 맛,5년 전
1,버섯소고기전골맛있음,6년 전
5,가격대비 양이 작다,7년 전
4,자연그대로의 그맛~~^^♡,2년 전
5,반찬이 잘나와서 먹을만하다,5년 전
5,비빔밥에서 물티슈 나옴.,6년 전
1,매우 좋은 한식입니다,3년 전
5,맛있어요,5년 전
5,다시 안오고 싶음,4년 전
1,별로,6년 전
2,통영의 맛집,4년 전
4,좋았음,2년 전
4,맛있어요,8년 전
4,한끼식사,6년 전
3,그저그럼,6년 전
4,맛있어요!!,7년 전
3,"나쁘지는 않지만 갈 가치가 없음
짠맛도 강하니 꼭 준비하세요",5년 전
4,"너무 깨끗해 보이지 않았고, 음식이 실망스러웠습니다.",6년 전
3,좋은 !!!,4년 전
2,소소,4년 전
5,리뷰 없음,5년 전
5,리뷰 없음,1달 전
5,리뷰 없음,6년 전
3,리뷰 없음,11달 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3달 전
3,리뷰 없음,9년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,4년 전
2,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
2,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
3,리뷰 없음,5년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
1,리뷰 없음,6년 전
1,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
1,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,7년 전
4,리뷰 없음,7년 전
4,리뷰 없음,7년 전
2,리뷰 없음,7년 전
