별점,리뷰,날짜
3,간만에 해장하러 갔는데 예전 맛이 아니네요. 숙취가 심해서 국물이랑 밥은 깨끗이 비웠지만 반찬은 영 손이 안가고. 사장님인지 모르겠지만 친절합니다. 단지...,1년 전
5,"다른것은 비슷하고 메뉴에 추어탕이 있네요
별미",4년 전
4,구수한 맛이네요 잘먹어습니다~^^,3년 전
1,"맛이너무없네요.예전맛이 전혀없고
불친절하고~",4년 전
1,"묵은지감자탕 최악이었다 김치가 썩은줄알았음
정말 맛없었다",3년 전
4,"체인점이라 맛은 비슷
친절하심",2년 전
4,"감자탕
해장국이 통영에서는
제일 먹을만한
뼈다귀해장국집",7년 전
5,감자탕은 여기서만 먹어요^^,4년 전
4,구수하고 맛있네요,3년 전
5,"좋아요, 맛있어요",3년 전
1,한번 가본걸로 끝!!,4년 전
2,먹을만했어요.,4년 전
1,그냥 뼈다귀 식당,4년 전
4,괜찮아요,6년 전
2,맛없....ㅠ,4년 전
1,맛없음,3년 전
3,리뷰 없음,2년 전
5,리뷰 없음,1년 전
3,리뷰 없음,3년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,6년 전
4,리뷰 없음,7년 전
