별점,리뷰,날짜
4,"추어탕 잡내 없이 적당히 잘함.
반찬 셀프인데 맛있게 잘 만들어 놓음.
가성비가 좋은편은 아님.",1년 전
4,추어탕은 맛있지만 통영 거의 전체에서 느껴지는 퉁명스러움과 불친절은 여기도 해당되는듯,6년 전
3,일 하기싫어하는 직원때문에 맛이 절로 없어지는 마법,5달 전
4,믿고 찾아서 맛있게 먹을 수 있는 소문난 맛집,4년 전
5,"추어탕 맛있습니다
서빙 아줌마 불친절은 아닌데 퉁명스럽네요...
느끼기에따라 틀릴듯...
일반 식당이라 별다른 특이사항 없음",2년 전
3,음식맛이 상급이며 친절한 스비서가 인상적이었다,11달 전
4,"누구나 아는 추어탕맛
맛있음
요기 콩나물무침이 참 맛있음. 내 입에는 딱 좋음
추어탕에 콩나물무침 올려서 먹으면 꿀맛",3년 전
5,통영가면  들려는 추어탕집 맛집입니다,6년 전
5,추어탕이 아주 진국이고 튀김도 아주 푸짐합니다.  땡초와 들깨듬뿍 넣으면 더 구수함,2년 전
5,"혼밥 하기도 좋고 맛있어요
집에 가는 길 포장도 해서  집에 있는 가족들도 좋아하네요",3년 전
5,추어탕이 맛이기가막하고 무한리필 반찬이 4가지  혜자맛집,1년 전
2,"반찬 셀프래서 대접받지못한
기분 음식값이 싼것도 아니면서,,",1년 전
5,국물이 시원하고  담백하고 비랜내도 안나고  횐상적인 요리입니다  와서 드셔봐야 압니다,4년 전
2,개인적으로  들깨를 안좋아해서그런지 내입맛엔  벼로 였어요 들깨가 많이들어가서  추어탕 맛이 안나고 텁텁 하다 해야할지 암튼 별 로 였어요,5년 전
5,경상도식추어탕 뼈채갈아서 끊여 구수하고 맛있습니다. 식당도 깨끗하고 좋아요.,5년 전
5,맛좋음 통영 추어탕 중에 가장 맛난집이라 생각함 역사도 길음 예전에 있던 자리에서 건물주가 통수쳐서 일로왔다고 들음 유일하게 반찬도 안남기는집 또한 맛이 비린내가 없고 깔끔함 별점 태러 하는건 거의 외지인들이 주는것임 서비스땜에 ㅎㅎ 경상도 어딜가도 다 비슷함,6년 전
4,추어탕에서 뼈가 큰게 나왔어용~ 그래도 맛은 나름 괜찮은듯...,2년 전
4,"언제나 변치않고 맜있는 추어탕집으로 내가항상 즐겨찾는
집입니다.",5년 전
5,아주 맛있어요 너무,1년 전
4,"추어탕, 감자만두 맛있게 먹었어요.",1년 전
4,"적당한 가격과 맛이 좋은 편이고 주차는 좀 불편합니다. 위치는 찾기는 쉬운
편",6년 전
5,추어탕 맛있고 주인이 친절합니다.,10달 전
5,주문을 잘못알아듣는경우가 종종 있으나 추어탕 맛은 괜찬아요,7년 전
4,냄새도 안나고 맛도좋았습니다. 주인아져씨 친절하십니다.,5년 전
4,반찬이 너무 많있구요. 보양식다운  하끼든든합니다,5년 전
3,"그냥추어탕집..
실망도 좋지도않은 평범한집..
추어튀김은 비추...
그냥깻잎 튀김인줄....",6년 전
5,추어탕은 당연 맛나구요. 사장님이 아~~주 친절하시답니다^^,4년 전
4,간단한 추어탕 중식으로 맛있고 좋아요,5년 전
5,추어탕 맛있어요. 튀김도 맛있고요.,7년 전
4,"순전히 개인적인 생각이지만, 추어탕 맛있습니다^^* 먹을만 합니다.",7년 전
4,"서민의 한끼 건강식으로는 최고의 밥상! ""조바우기마솥추어탕""!",3년 전
5,직원들친절.. 추어탕 맛있음.. 들깨가루는 꼭 넣어서 먹어야함,5년 전
2,개인취향은 아니나  같이 먹은 사람들은 맛있다 함,6년 전
5,"친절.서비스.맛있는음식~^^
감사합니다",3년 전
5,추어탕도 맛있고 밑반찬도 좋아요,5년 전
4,"적당한 맛, 무난하고 한끼 식사로 좋은 곳....",2년 전
4,항상 잘먹고있어요 친절하고,6년 전
5,1인분 포장 가능 아쥬 그냥 좋아유,4년 전
5,"맛있고
깔끔하고
친절하네요",4년 전
5,추어탕도 맛있고 특히 튀김이 맛있음,5년 전
5,음식도 빨리나오고 맛있어요,4년 전
4,먹으러가면 사장님이 나를 왜이렇게 유심히 처다보는지,4년 전
3,특별하게 맛난것도 아니지만 보통 추어탕 맛집,4년 전
5,참게메기매운탕 아주 맛있음. 참게 알 꽉참,4년 전
5,안전하고 맛있어요 강추,4년 전
5,가격대비 맛있어요.,5년 전
4,단배하고 맛있어요,5년 전
4,추어탕이 맛있어요,2년 전
1,맛변했네요 별로입니다,4년 전
5,맛있어요 맛집임,3년 전
4,맛있어요!  강추,4년 전
4,추어탕이 일품이네요,2년 전
5,추어탕 맛있어요~~^^,4년 전
5,추어탕 갈아만들어서 좋아요,5년 전
5,반찬은 깔끔 맛은 기본 친철은 덤,6년 전
5,맛!!!! 괜찮습니다!!! 그리고 추어튀김!오오오!!~~,5년 전
5,맛있었어요~,3년 전
5,누구나 식사를 줄길수있는 장소임,6년 전
3,간단한 한끼. 어쩌다 생각나면 가는 곳.,2년 전
4,진하면서 맛있어요.,3년 전
5,맛있게 잘 먹었습니다.,4년 전
4,맛있어요ㅎㅎ,5년 전
4,"맛이갠차나요,한번씩먹을만함",4년 전
4,맛있어요~,6년 전
5,맛있게 먹었어요.,5년 전
5,통영서 젤맛있는 추어탕집,4년 전
4,추어탕.맛잇어요.밑반찬도.깔금하고,4년 전
4,추어탕과 튀김이 맛남,5년 전
3,보통의  동네 음식점,3년 전
5,추어탕이 매우맛이있음,3년 전
3,소주4000원,8년 전
5,끝내주는 추어탕^^,6년 전
4,나름 먹을만함,5년 전
1,개인적으로 별로임,7년 전
5,좋아용^^,7달 전
3,적당해요,4년 전
5,꼬소한 추어탕,2년 전
3,평범했습니다,6년 전
3,보통이에요,5년 전
5,깔끔하고 맛잇음,2년 전
4,맛 좋음,5년 전
4,괜찮다~,7년 전
4,추어탕은 여기,4년 전
5,"맛,친절,..",5년 전
4,맛있는 집,6년 전
5,맛납니다,5년 전
3,맛있어요,4년 전
5,맛있어요,5년 전
5,리뷰 없음,2달 전
3,리뷰 없음,2달 전
5,리뷰 없음,7달 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
4,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
4,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
4,리뷰 없음,1주 전
5,리뷰 없음,2주 전
5,리뷰 없음,3달 전
2,리뷰 없음,1년 전
