별점,리뷰,날짜
5,"진짜 너무너무 맛있었어서 통영 갈때마다 꼭 찾아갑니다. 장어구이 통통하고 담백! 그리고 여기는 소스가 대박입니다..계속 들어가요.
뒤집어주셔서 너무 편한것도 장점.
에피타이저로 나오는 전도 요리급입니다. 또 가야지..",1년 전
5,"최고였습니다.
장어 상태가 매우 좋고 소스가 정말 맛있네요.
주인분도 친절하시고 모두에게 추천하고 싶은 식당입니다.",5년 전
5,"장어구이 장어탕 둘다 정말 굳입니다
통영사람이지만 장어탕은 통영스타일의
깔끔 시원한 국물맛에  장어살은
주문 받자말자  산장어 바로 손질해서 그런지
어찌나 부드러운지  ㅎㅎ    장어구이는
여느집과 다르게 연기도 안나고 부드럽고
고소하고 너무너무 맛있었습니다 ㅎㅎㅎ
무조건 추천이요 ~",3년 전
5,"그짓말 쪼금 보태서 이런 바다짱어 첨 먹었어요.
어제 먹은게 아직도 생각이 나네요.ㅎㅎ
사장님 사모님 모두 넘 정이 넘칩니다.",5년 전
5,맛이 아주 깔끔하고 맛있습니다 매장도 아주 청결하니 재방문의사있습니다 통영여행시 방문추천드립니다,2년 전
5,주인아저씨의 친절과 배려덕분에 어르신들 몸보신을 시켜드려서 정말 행복했습니다,3년 전
5,사장님이 친절하시네요,6년 전
4,고기가아주맞있어요,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
