별점,리뷰,날짜
4,"삼계탕 안에 들어가 있는 닭 살도 괜찮고 양도 푸짐한게 정말 맛있었음 닭 속에 밥 양도 많은데다가 국물도 진해서 김치랑 먹기 너무 좋았음 밑반찬으로는 부추김치, 깍두기, 배추김치, 멸치볶음, 양파, 고추, 양배추샐러드, 똥집(?) 등이 나오는데 여기는 김치 맛집이었음 너무 달지도 않고 적당히 매운 정도가 삼계탕이랑 같이 먹기 정말 좋았음 따로 서비스로 나오는 인삼주도 처음 먹어봤는데 향이 속부터 퍼져 올라오는게 삼계탕 국물이랑 먹기에 좋은 듯함 근처 방문시 한 번쯤 먹어보시길 추천드림",5년 전
4,"월요일  저녁에 방문 하였습니다
삼계탕 시즌은 아니지만 맛도 있고 사장님께서 친절 하시네요~",4년 전
4,"1. 통영에서는 나름 오래 된 삼계탕 집입니다
2. 인삼주와 같이 옻닭을
3. 종업원님들께서 친절하고 좋습니다
4. 우와~ 할 정도는 아니지만 괜찮은 집입니다",2년 전
2,반찬 김치는 무우를 너무오래 소금에 절인듯 짠맛이 강하고 김치는 곰곰한 맛이난다. 닭은 한종류가 아닌듯 뼈가 색깔이 다르고 토막난 삼계탕은 처음 먹어본다. 문제는 이보다 더 못한 곳이 많다는게 문제다.,7년 전
5,정말 맛있어요 다른삼계탕 집은 절대로안가요  2층이라는게 단점아닌단점 맛있습니다,1년 전
4,옻닭삼계탕의 국물맛이 진해요..다음부턴 일반 삼계탕은 못먹을 정도로 맛있어요.,5년 전
1,전통이 있는집인데  옛날같은  맛은안나고 양이 넘  작았다. 실망,5년 전
4,먹을만했습니다. 인삼주는 조금 취향은아니네요.,4년 전
4,먹어본 결과 어느 집 보다 잘해요 진심,3년 전
3,신메뉴 해물칼국수 맛있어요,5년 전
3,맛은 쏘소하나 너무 늣게 나와서 기다린다 힘들엇어요,5년 전
5,통영에서 삼계탕 은 제일좋은곳,5년 전
5,옛날삼계탕맛이 나는삼계탕집!,6년 전
5,삼계탕이 아주 맛있습니다,1년 전
5,조아조아ㅡ인삼술도한잔줍니다,6년 전
5,인삼주가  끝내줘요,7년 전
5,그냥 좋았어요  음식도,4년 전
4,여름 앞두고 건강한 삼계탕 한 그릇,1년 전
5,맛있어요,5년 전
4,주차공간많족,4년 전
5,토속적인분위기,1년 전
4,서빙불친절,4년 전
2,맛있음,6년 전
4,2025년 1월 25일 방문.삼계탕을 먹었습니다. 감동적인 맛을 느꼈습니다.다음 생에도 꼭 먹고 싶습니다.,6년 전
5,인삼주를 넣은 인삼삼계탕!,1달 전
4,좋은 식당,6년 전
5,리뷰 없음,10년 전
5,리뷰 없음,1년 전
4,리뷰 없음,2년 전
4,리뷰 없음,3년 전
3,리뷰 없음,2년 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
1,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,8년 전
