별점,리뷰,날짜
5,팁: 도가니가 뜨겁게 나오는데 국물부터 먼저 공략을 한 뒤 따뜻해진 도가니를 먹으면 쫜득쫜득한 식감까지 얻을 수 있어요,5달 전
1,위생 작살 통영 푸주옥만 네이버에 쳐봐도 답나옴,2달 전
4,진하고 부드럽고 맛있어요 가격은 비싼편입니다,5년 전
5,도가니탕이 2만원인데 양이 어마어마해서 서울이면 최소 3만원 받는다고 봐,3년 전
3,"국물맛이 일품이라 한번씩 찾는 곳이지만 직원분의 다소 부족한 배려심에 매번 서운하게 계산하고 나오는것 같네요.. 곰탕집에 걸맞게 육수 추가는 속 시원히 해주시는 편이 앞으로의 영업에 도움이 되실것 같습니다.
2인이 가서 꼬리수육 7만원짜리에 육수추가를 곰탕 한그릇만큼도 못받는것은 참으로 아쉽습니다🥺…",3년 전
1,"설렁탕이 뚝배기에 안나오고 냉면그릇 같은곳에 나오기 때문에 금방식어서 끝까지 뜨끈하게 먹을수 없어 아쉬웠어요.
도가니탕은 뚝배기에 나왔으나 가격대비 국물 맛이 기대이하였습니다~ 또 주문 누락되서 늦게 들어온 3 테이블보다 음식이 늦게 나왔는데도 사과한말씀 안하셔서 기분이 별로였어요!",4년 전
5,"맛있어요.이순신공원 갔다가 내려오는 길에
들렸는데 아기도 너무 맛있게 먹네요
직원분도 친절하세요
포장도 했는데 양 진짜 많네요",5년 전
1,"2만3천원짜리
꼬리곰탕 2개시켜먹었습니다(처음간곳도아님)
근데 고기가 퍼석해서 먹지도 못할정도로
냄세까지 났습니다.
가격도 올라서 이만몇천원에
한그릇 팔면서 고기를 그른고기를 주다니요
이모한테 말씀드렸습니다
봉지 하나 달라고 봉지에 고기 먹지않고
집에 개져야 되겠다고
역시 주인이 지키고 돌리고 하지않는곳은
절대로 가지 않겠습니다
푸주옥 단골로써 진짜 실망입니다",3년 전
4,"한방꼬리곰탕 먹었습니다.
가격은 비싸다고 생각합니다만
진한국물의맛은 보장되는거같습니다.
통영에 살고있어서 그런지 직원이 싸가지가 없다는건 모르게습니다.",5년 전
4,365일 가마솥불이 꺼지지 않아요. 찐한국물의 꼬리곰탕 압권입니다. 통영 해산물도 좋지만 가마솥의 위력을 느껴보세요. 후회하지 않을것 입니다,6년 전
3,도가니탕 설렁탕 꼬리곰탕을 맛있게하고 무우김치 배추김치가 짱맛있어요. 근데 가격이 비싼게 흠이예요,6년 전
2,굳이 찾아먹고 싶은 맛은 아님,5달 전
5,맛이라는게 주관적이긴 하지만.. 제 입에는 정말 잘 맞았어요. 찐~한 설렁탕 국물! 완전 진국이에요ㅠㅠㅠㅠㅠ 포장해올걸 후회됩니다,5년 전
4,"우리가 아는 설렁탕 꼬리곰탕 도가니탕의 정석입니다.
설렁탕 1만원, 꼬리 도가니는 1만9천원선
고소하고 뜨끈한 우유빛깔 탕 한그릇!",6년 전
3,도가니 수육이 썩 괜찮습니다. 쫀득쫀득 쩍쩍 달라붙는게 맛이 좋네요. 도가니탕은 느끼해요~,5년 전
4,꼬리곰탕 1인분에 19천원입니다 가격이 좀 있지만 음식도 빨리나오고 맛있습니다,6년 전
3,맛은 좋았습니다..가격이 좀 쎈편이라서 서민이 먹기는 약간..그렇다고 이집 가격이 바싸다는건아니고..,6년 전
5,맛좋고~푸짐하고~정성이 많이들어간것같은 국물 좋아요^^,4년 전
5,꼬리곰탕이 진짜 진하고 맛있어요 추천할만합니다 건강해지는맛,4년 전
4,"맛있다. 출장갈때마다 찾는곳.
김치가 특히 맛있는것같다.",5년 전
1,주인바뀌되에맛도형편없고가격도비싸고.서비서도엉마미네요,2년 전
4,수입고기로 만든 곰탕집이지만 아주맛있고 친절해요,7년 전
5,꼬리곰탕 좋아요 김치 3종 맛있습니다.,4년 전
2,"소무릅 곰탕 전문집 입니다
취향에따라 다르겠지만 오래동안 끌였다하며 양도 충분합니다",7년 전
5,13년전  울애기 첫째때 부터먹었던 맛 그대로 쭉~~~~이네요,4년 전
4,오랜  전통과 맛집으로  널리 입소문난 통영의 대표음식점,2년 전
3,지난번보다 가격이많이 올랐으무 그리고 고기양이적음!!,5년 전
1,가격은 최~~~고급인데 맛!이나 스비스는 ㅗ ㅜ ㅑ,6년 전
4,진한 설렁탕에 맛있는 깍두기가 어우러져 점심 맛있게 먹었습니다,5년 전
1,도가니탕 양도 줄고 직원한분 싸가지 완전없네요ㅋㅋ 거기는 직원이 왕인듯^^,5년 전
4,양도많고 맛도있음 가격은 높다?,5년 전
5,"통영에서 맨날 해산물 먹다 질려 .. 설렁탕 생각나면 여기!
평타칩니다.",2년 전
4,저녁먹고ㆍ소주한잔하기좋은곳입니다,3년 전
5,도가니 푸짐하고 화장실도 깨끗하고 가게도 깨끗했음,4년 전
5,꼬리곰탕.20년내공의맛을경험해보세요.강추합니다~,6년 전
4,맛이 예전보다 좀 옅어진듯. 그래도 맛있는 편.,6년 전
5,국물이 진하고 고소한맛이 좋아요,5년 전
5,맛있는 집이라 소개받아서  갔어요,5년 전
1,가격 상당히 비싸고 양도 적고 맛도 없음,6년 전
3,"가격 너무 많이 올렸어요! 2,000원인상",4년 전
4,"언제가든지 만족감울 주네예~~~^^
대신 쬐금 비싼가격",3년 전
5,국물 끝짱남 ㅋㅋ 여자인 내가 한그릇 다 먹는곳,5년 전
5,친절하고 맛도 좋았어요,5년 전
3,핵심이  빠진맛. 빠르고  잘되어있는  시스템,5년 전
4,"맛,양,질등이 만족스러웠습니다",6년 전
4,맛집이예요..가격은 좀해요 .,4년 전
3,비싸다는 느낌,1년 전
3,냄새가 조금 남. 날이 더우니 이해함.,3년 전
5,설렁탕 밌있어요,3년 전
5,국밥 집인데 개맛있음,6년 전
3,가격이 너무 비싸요.,4년 전
5,자주가는곳임..,5년 전
2,수입뼈라서 별로였소,4년 전
5,국물진짜 찐해요,7년 전
1,맛대가리없음 비쌈,3년 전
5,맛 있어요,4년 전
4,맛있어요.,5년 전
5,도가니가 맛있음,4년 전
5,"도가니탕, 설렁탕 맛집입니다.",3년 전
1,너무 비싸다.,3년 전
2,별로,5년 전
5,국물진국입니다.,6년 전
1,맛이약해졌어요,4년 전
3,소꼬리곰탕. 도가니수육,9년 전
3,맛은 있음,3년 전
1,너무 비싸,5년 전
1,그냥 뭐 설렁탕,5년 전
5,맛 쥐기지에,5년 전
4,좋아요,6년 전
5,꼬리곰탕졸맛,5년 전
4,맛있어요,6년 전
2,설렁탕전문,7년 전
1,맛없음,3년 전
5,리뷰 없음,7년 전
1,리뷰 없음,2년 전
5,리뷰 없음,2년 전
3,리뷰 없음,3년 전
4,리뷰 없음,1년 전
5,리뷰 없음,11달 전
1,리뷰 없음,1년 전
5,리뷰 없음,1년 전
2,리뷰 없음,1년 전
3,리뷰 없음,2년 전
1,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,3년 전
4,리뷰 없음,3년 전
3,리뷰 없음,3년 전
4,리뷰 없음,3년 전
3,리뷰 없음,3년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
2,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
2,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
