별점,리뷰,날짜
2,"통영 대표 결혼식 돌잔치가 이루어지는곳으로
터미널근처라 접근성이좋긴하나  뷔폐가 형편없이나옵니다  오늘도가는데 김치랑김밥만먹을것같네요",7년 전
2,"결혼식 피로연으로 많이 사용됩니다.
여러 사람들이 함께 할 수는 있지만, 맛은 비추입니다. 퀄리티가 많이 떨어집니다.",7년 전
4,"전반적으로 깔끔하다
음식 종류도 다양하다
맛은 일반 뷔페 생각하면 될듯하다",6년 전
5,예식장이 이쁘고 음식도 맛있어요~ 주차공간이 넓어서 더좋네요,7년 전
5,주차걱정없고 음식도 다양하고 깔끔하게 나와서 좋았어요~,7년 전
1,아....스시만 끄적거리다.. 딴건 정말 못먹겠어서 가본 웨딩뷔페중 최악..이였음...,6년 전
1,별로... 가격대비 뷔페의 질은 절반정도...청결도도 별로고...,7년 전
1,결혼식 뷔페보다 돌잔치 뷔페 음식이 조금 나은 정도.,7년 전
2,"최악, 음식 종류는 다양하나 먹을게 없어요, 회 나 초밥은 생선을 얼렸다가 녹여 사용한듯 했고 모든걸 접시에 집어와서는 못먹고 다 버림.",6년 전
4,식장의 위치는 좋았습니다만 음식 맛이 입에는 좀  안 맞네요,6년 전
5,"오랫동안못보다가오늘.ㅋ
통영의맛을살렷어요
맛잇게잘먹엇읍니다.",3년 전
4,가족이 함께 즐길 수 있는 공간이네요~,7년 전
1,음식 종류 적고 탕수육에 고기가 없음ㅡㅡ,5년 전
5,통영에서 제일 좋은 뷔페,6년 전
2,별두개엔 다이유가있음,5년 전
3,주차공간확실~~,7년 전
5,맛있어요,5년 전
5,부페식당참괜짢네,2년 전
1,맛없음 비쌈,6년 전
3,괜찮아요,6년 전
3,그냥저냥이다....,5년 전
1,시러요,5년 전
5,리뷰 없음,1년 전
4,리뷰 없음,6달 전
5,리뷰 없음,4년 전
1,리뷰 없음,4년 전
5,리뷰 없음,5년 전
2,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
2,리뷰 없음,7년 전
4,리뷰 없음,7년 전
5,리뷰 없음,7년 전
3,리뷰 없음,7년 전
2,리뷰 없음,7년 전
