별점,리뷰,날짜
5,"잘 먹는 인원구성이면 B세트이상
겨우 자기 몫 먹는 인원구성이면 A세트도 충분함

가격대비 음식이 맛있고
단체손님을 많이 받아 본 곳이라 음식도 빨리나옴

1인1주문이나 어린이들은 먼저 안시쿄도 괜찮다하심
무전동 롯데마트 도보 5분거리
주차장은 따로 없음
지인들에게 추천 및 동행 가능",3달 전
4,"향토굴정식 회.굴전.찜.무침.구이.밥등 코스로 나오네요..주인아저씨 무뚝뚝하네요.  ""소주주세요""~우리 소주없어요.참이슬.진로.처음처럼.좋은데이로 말해주이소~^^
굴전특허도 받았네요?
뭔특허지?",1년 전
3,"지금 철에 굴이 맛 없기는 힘들죠..
굴전이 계란말이 같이 나와요..맛나요
보쌈도 은근 맛있지만 생굴이 아니라 데친굴이 나와서 좀 아쉬웠어요.
생각해보니 굴이 신선하지 않아서 데친걸까요..",3달 전
4,"코로나상황임에도 재작년 방문했을때 만큼 많은 관광객때문에, 거리두기를 하다보니 음식점마다
만원사례라, 통영시내를 헤매던중 이곳을 발견하였다.
나름 오래된듯한 곳이고, 어머님이 굴요리를 먹자하셔서 선택한 '향토'
네명이서 코스A(인당 21000원)를 시켜먹었는데
굴회(살짝데친)
굴전(이곳만의 시그니춰 특허받은 반달모양전)
굴구이
굴찜
굴밥
순으로 먹었는데,
반찬을 포함한 모든음식이 적당한 간으로 좋았어요. (이렇게 드셔보아라 중간중간 서빙하시는분 말씀따라 하니 존맛!)
접대하기에도 좋을것같고, 적당한가격이라
다음에 통영에오면 또 방문하고 싶네요",4년 전
4,"가성비대비 맛은 그냥 평타입니다 ..음..그리고 양이 좀 적은거 같고..제가 잘먹어서 그런거 같지만..:;;;하지만 사장님과 직원들이 친절하시네용~~굴보쌈3만원인데 보쌈이 좀 양이 작아용 성인남녀4  초딩하나 유딩하나 미취학아동2인데 코스A 18,000원 주문..좀 적다싶어 공긴밥하나 추가 한 사진입니다.",5년 전
3,통영 중심에서 굴 요리를 맛볼 수 있는 장소입니다.  시골스러운 맛 중에서 굴전이 가장 낫네요.  그외는 그다지 시장 맛과 별반 다르지 않아요.  사장님께서는  맛없는 코스 메뉴 추천보다는 굴전에 식사 포함한 단촐 메뉴를 판매함이 어떨가 싶네요.,4년 전
4,"다른곳 대비해서 정식코스가 싼편이나, 굴회가 그렇게 싱싱하다고는 느껴지지 않았음. (깐지 좀 된듯..) 그외 친절하고 밑반찬부터 나머지는 다 괜찮았음. 다 먹고나면 배터짐.",5년 전
4,통영 향토집의 굴은 이 지역을 지날때 마다 다시 방문하게 만드는 음식이다. 달걀 옷을 입은 굴전은 한입을 베어물면 큼직하고 촉촉한 굴이 씹힌다.,5년 전
5,완전 맛있었는데 평점이 별로네요ㅎㅎ굴튀김 굴전 굴구이 생굴~ 그런데 겨울이 아니면 생굴 대신 굴숙회가 나오니 꼭 확인하고 가세요!!,6년 전
5,"굴이 신선해요
멍게도 신선 향긋해요
역시나 해산물은 통영임",2년 전
