별점,리뷰,날짜
5,"비쌉니다. 비싼데 그만큼 값을 합니다.
가족모임으로 적절하고 고기가 무척 부드럽고 맛있습니다.
게다가 물냉면!!
사진으로 찍지 못했지만 물냉면이 말도 안되게 저렴하고 맛있습니다.
작성 기준으로 9000원인데 집근처였다면 매일 가서 하루세끼 사먹을 만큼 진국입니다. 꼭 시켜드셔보세요!",1달 전
5,"인생 소고기 맛집 🥩
다른 비용 아끼시고 소고기한테 쓰세요.
너무 맛있어서 울면서 먹음😭
이모님도 너무 친절하셔서 한층 더 맛있었네요👍

📍추천코스: 생갈비 ➡️ 양념갈비 with 쌀밥

📍주의사항: 쌈이나 장아찌류에 싸드시면 아까우니 생갈비는 소금만 조금, 양념갈비는 아무것도 곁들이지 마시고 그대로 드셔야 합니다.",3년 전
4,"통영여행시 방문했습니다.
통영에서 김밥, 생선구이, 해물탕을 먹다가 질려서 갈비집을 찾았는데 만족합니다.
1인분 150g에 3만원으로 비싸긴 한데.. 반찬류도 다양하고 깔끔합니다. 가족모두 맛있다는 평가이고 특히 아이들이 만족해 했습니다.",5년 전
4,"경남 통영 전통 맛집
백년가게로 지정된 맛집이다.

생갈비로 주문
요즘 보기드문 참숯에 구운
생갈비맛은 한입에 사르르~~
차원이 다른 생갈비맛이다.
통영 바닷가에 해산물이 아닌
고깃집으로 승부를 걸다니.ㅎ
대단타~~
반찬들도 내공이 좋다
식후 호박죽으로 제공하는데
색다른느낌과 맛의 디저트다
냉면도 이집맛의 색깔이 분명하다.
통영에서 맛본 생갈비 good~~

백년가게란?
한우물경영, 집중경영 등
지속 생존을 위한 경영비법을 통해
고유의 사업을 장기간 계승,
발전시키는 소상공인 및 소기업 or
30년 이상 명맥을 유지하면서도
오래도록 고객의 꾸준한 사랑을
받아온 점포가운데, 중소벤처기업부에서
그 우수성과 성장 가능성을
높게 평가 받아 공식 인증받은 점포란다.",3년 전
5,"결혼20주년 기념으로  거구장갈비집에서 생갈비랑 양념갈비 맛나게 먹었어요.
사장님 친절하고 직원들도 모두 친절하세요
아마도 통영에서 오래된 한우전문점으로  맛집!!",3년 전
3,역시 한우라 비싼곳입니다. 이거 먹어야겠다고 돈많이 벌어야겠다는건 좀.... 이런 재료로 맛이 없을순 없지요~ 비빔냉면이랑 된장찌개 맛있어요.,4년 전
5,"고기가 맛나고
분위기 좋고
직원들 친절하고
매실장아찌 맛있어요
갈비탕도 굿",2년 전
4,최애하는 통영 갈비집 옛스럽고 맛갈진 음식이 나오는 소고기 전문점 가격대가 다소 높은것만 감안한다면 참 좋은집,6년 전
5,소고기가 육즙이 많고 부드러웠어요. 밑반찬이 다 맛있었어요.,11달 전
5,"갈때마다느낀다..돈을 많이벌어야겠다..자주가게..ㅋㅋ
가격이 후달달 맛은 인정 👍…",4년 전
3,하필 양념이 다팔려서 다시만든 양념이 숙성이 안된건지ᆢ기대만큼 실망하고왔어요,3년 전
3,"백년가게라고 해서 가봤습니다만..

...ㅠㅠ",2년 전
5,소고기는 뭐 맛없을수가 없지..,3년 전
5,고기 맛도 좋고 친절하십니다,5년 전
4,유서 깊은 곳. 고기는 비싸지만 맛있는. 갈비탕은 기름이 많아서. 구이로 드시길.,1년 전
3,"통영에 소갈비 맛집이 이렇게도 없나요?
관광지 프리미엄이 너무 심하시더군요.
해운대 소문난 암소갈비
한 번 가보세요.",5년 전
5,친절하시고 고기도 맛있고 몇년만에 갔는데도 여전히 맛있네요,3년 전
5,31년째 단골.메인도 최고지만 싸이드 메뉴는 유기농 자가 제작에 계절별미도 곁들여 나옴,6년 전
5,고기맛도 좋지만 밑반찬 맛이 아주좋고 서비스도 좋네요,5년 전
5,한우 이렇게 맛있었나? 모든 음식이 맛깔났어요~ 통영오면 꼭 다시 들려야겠어요~,3년 전
2,"2만원치고는 별루~~
15천원 할때와 같은메뉴 바쁘고 정신없었음
맛은 옛날과 똑같음
양념 바쁜지 덜배인것도 있었음",4년 전
5,너무 너무 맛있습니다~깔끔하고 자극적이지 않은 반찬...좋은  고기... 최고!,5년 전
5,입에서 살살 녹음!!예전부터 쭉 먹으러가고있는 인생갈비ㅋ 입덧했을때 젤 생각난 집 ㅋ,5년 전
5,고기 맛이 일품입니다. 고기도 꾸어주시고. 근데 많이 비싼듯요.,3년 전
4,경남도 지정 백년가게 입니다,5년 전
4,"질좋은 좋은 고기를 맛나게 먹을수있음...
통영내에 역사있는 식당...",5년 전
3,고기는 좋은데 우왕좌앙 이예요 서비스 기대없이 맛난 고기 드시러 가셔요,5년 전
3,"고기 맜있어요
근데 반찬들이 좀 짠편이에요",3년 전
5,통영의 맛집으로 유명한 곳이라 정말 추천합니다,4년 전
5,맛있게 먹고 돈이 아깝지 않은집!! 사진이없어 아쉽네요ㅡㅡ,6년 전
1,고기 자체도 맛이 없었던것 갔았습니다.,2년 전
5,겨울에 가면 겉절이가 끝네줘요~~안창살 완전 맛나요...,10년 전
5,"좋아요
사장님도친절하시고
맛도좋아용",5년 전
5,통영에서 아주 오래된 고기집으로 밑반찬이  아주  좋습니다,5년 전
2,아주머니들이 친절하진않아요 돈주고사먹으면서불편하긴첨이네요,6년 전
5,30년전이나 변함없음 친절맛청결  등등 에러가지,3년 전
4,간이 세지않고 좋네요,2년 전
4,외식하기좋아요불고기맛좋아요,6년 전
5,양념갈비 맛은 먹어본 것 중 최고.,5년 전
5,한우 고기도 맛나고 밑반찬이 짱 맛나요,6년 전
4,"분위기 좋고
음식 좋구
주처장이 없어서 불편",4년 전
5,안창살이 살살 녹습니다^^,1년 전
5,한우전문점 정말 좋아요~~~,6년 전
5,맛깔스런 밑반찬과 신선한 고기! 따봉,5년 전
5,생갈비 맛있어요  굿굿,6년 전
5,완전 맛있어요👍…,6년 전
5,소갈비요리를 맛있게 ...한번들려보시길,5년 전
5,"최고의 고깃집
돈이 안아까움",5년 전
3,생각보다 비싸녀요,2년 전
5,깔끔하고 너무 좋아요!,5년 전
4,고기의질이좋읍니다,4년 전
4,다 좋은데 냉면은 금물!!!,5년 전
5,고기 좋아요~~~~,2년 전
5,고기가 진짜 부드럽습니다.,4년 전
5,숯불양념구이 / 고구마 전분 면,7년 전
4,갈비 맛있어요,4년 전
4,맛있어요,3년 전
5,맛이 있어요,4년 전
4,비싸지만깔끔맛남,4년 전
2,잘먹었어요,5년 전
5,굿,5년 전
5,그맛이 오래남습니다,2년 전
4,분위기 좋은 곳,5년 전
5,맛최고^~^,6년 전
5,맛있습니다,5년 전
5,존맛탱,1년 전
4,거구장갈비,1년 전
4,그냥그냥,3년 전
4,훌륭한 정통 바베큐,5년 전
5,리뷰 없음,1년 전
4,리뷰 없음,5년 전
5,리뷰 없음,1년 전
4,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
2,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
2,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
1,리뷰 없음,7년 전
1,리뷰 없음,7년 전
5,리뷰 없음,12년 전
