별점,리뷰,날짜
3,디저트 좋아하는 사람인데 꿀빵 여기랑 딴데 두 군데 먹어봤는데 맛 없고 이거 하나에 천원이상? 비싼 듯ㅡ유자빵은 갠춘.,2주 전
5,"꿀빵과 유자빵이 있어요. 꿀빵은 소에 따라 맛이 있는데 초코맛 꿀빵은 색다른게 좋앗네요. 다른데 꿀빵보다 덜 달고 덜 끈적여서 좋네요.
유자빵은 맛잇는데 조금 비싸요. 유자맛이 제법 많이 나는데  조금만 더 개량하면 통영을 대표하는 신상이 될거 같아요.",1년 전
4,"원조인 오미사를 꼭 맛봐야겠다고 하는게 아니라면 다른 꿀빵집으로 고민하지 않아도 된다.
맛도 질도 여기저기 원조라고 붙여놓고 영업하는 다른 곳보다 훨씬 나은듯.
오미사의 투박하고 끈적한 조금 뻑뻑한 맛이 부담스럽다면 개선된 맛이 더 입맛에 맞을수도 있고, 유자빵이나 다른 자체 개발 상품도 충분히 수준급이다.
한번씩 근처에 갈일이 있으면 고민없이 방문 하는 곳.",1년 전
5,"주변 꿀빵 시식 진짜 많이해봤는데
솔직히 여기가 거의 탑급임 (물론 개인적인의견)
이제 막 나온, 꿀 안발려져있는걸 서비스로 주셨는데
꿀이 없으니 걍 찹쌀도너츠같은 느낌이긴했음 ㅎ
근데 여기는 시식할수있나요? 여쭤보면
겁나 쿨하게 걍 한개를 통째로 주심..
들어보니 판매하는건 크게만들고
시식용은 작게 만든다고하는데도
절대 작은사이즈가 아니었..

유자빵이 맛잇다그래서 사먹어봤는데 솔직히 비추임 ㅠ
생각보다 퍽퍽해서 기대만큼 맛있진 않았음
그냥 꿀빵만 사도 충분한듯~

첫 날 6개짜리 사서 다 먹고 비진도 놀러갔다가
이틀뒤에 다시 가서 또 샀음 ㅋㅋㅋㅋㅋㅋ
주인아주머니 너무 친절하심 ㅠㅠ

아쉬운건 맛별로 선택해서 골라담기 할 수 없다는점
골라담기하면 진짜 장사 더ㅓㅓㅓ 잘되실것 같은디..",1년 전
5,"6년째 통영 방문할 때마다 들르는 곳
중앙시장 옆에 있어 거북선꿀빵집 온 김에 중앙시장 들르는 곳
꿀빵은 안먹지만 유자빵이 너무 맛있어서 꼭 사가는 곳
유자빵 6개 12000원이라는 비싼 가격이지만
상큼한 밀도 높은 유자파운드? 느낌에 크림이 적당히 들어있어 매우 맛있어요. 추천합니다..",4년 전
5,"넘 맛있어요
다음에 통영올때 또 갈거에요 사장님도 넘 친절하시고 좋았어요!
앉은자리에서 여러개 먹어서 더 사올걸 후회했네용",4년 전
4,"작년에도  통영갔다가 못먹고옴~이번에는 작정하고 먹어봄~동피랑갔다가 내려오는길에 길이 밀려  잠간내려 사왔는데~^^넘 맛있어서  꿀빵 찾다가 오미사 두군데 갔다가 못사고 다시 거북선와서 하나 더 사가지고 올라옴
꿀빵  넘 맛있어요.고구마꿀방 등 다양하게 있는것같다.나는 팥 꿀빵이 더 맛있다.개인적 팥을 좋아해서인지?",4년 전
3,던킨도넛같은 식감 좋아하는데 쫄깃한편이라 저는 별로..쫄깃해서 맛있다는 사람도 있었어요. 선호하는 식감에 따라 선택함될듯~ 그중에선 팥이 젤 맛있네요,2년 전
4,"내가 아닌 통영꿀빵이 아님. 기름냄새도 안나고, 맛있음~!
가격이 조금..ㅋㅋ 한개에 천원.",6년 전
5,퍽퍽하지 않고 쫄깃한 느낌 깨찰빵과 도넛사이느낌...? 바로사서 먹어야 맛잇고 하루지나고 먹으면 약간 뻣뻣해짐 사장님 나비넥타이 메시고 친절 꿀빵 팩 사면 서비스로 한알씩 주심 유자빵 새콤새콤 부드럽고 맛있음 음료없어도 먹기 좋음 딴데는 목맥힘,4년 전
