별점,리뷰,날짜
5,"예약 꼭 필수로 하셔야 원하는 시간에 먹을 수 있고, 저도 처음에 자리나겠지라는 생각에 멋모르고 갔다가 두시간이 지나도 안나서 못갔던 기억이ㅠㅠ
2인에 기본 6만원이고 이모카세마냥 나옵니다
사진은 4인 기준이고 저는 나름 가성비 괜찮고 나오는 안주들이 다 싱싱해서 만족했어요
생선회 엄청 좋아하는데 여름 전어랑 놀래미 회가 이렇게 맛있는줄은 처음 알았네요 !
갈치도 살이 통통했고 성게를 숟가락으로 퍼먹을 수 있어서 너무 좋았어요 ♥
특히 바쁘신 와중에도 이모님들이 정겹고
손 맛이 괜찮으심
통영 여행 간 김에 가보시는거 추천합니닷 ㅎㅎ
꽤 높은 분도 오셔서 좀 놀랐습니다",2년 전
5,아즘마들이 친절하지안고 2인은 안받을려는게 단점이나 안주는 최고임 처음나온 시금치나물조차 맛있습니다 2인 육만원에 소주3병 또는 맥주5병이 포함되는데 안주가 끝없이 나옵니다 입구에서 들어갈까 말까 고민이될정도로 입구나 실내의 인테리어는 최악입니다 다음에 통영오면 꼭다시 들르게될거 같습니다  20190124 #다찌,수정일: 6년 전
5,통영에서 우연히 들어간 다찌. 인당 3만원에 푸짐하게 잘 먹고 나왔습니다!! 해산물도 좋고 이모님 솜씨가 좋으셔서 전이나 잡채도 맛있네요 ㅋㅋ,3년 전
5,"맛 ★★★★
분위기 ★★★★★
가격 ★★★★★
4월 봄 첫방문 이후, 10월 두번째 방문
2인 6만원 상 / 소주 3병 12,000원 + 안주 48,000원 인샘
첫 방문때 굉장히 만족했으나, 8월 휴가철 방문자평이 매우 안좋아서 반신반의하며 10월 예약을 잡음.
주류를 무조건 끼고 팔아서, 술먹지 않는사람에겐 비추천이지만, 원래 다찌집, 실비집이 식사가 아닌 술을 먹기위한 식당이고, 술값에 맞게 안주가 나오는  시스템이고, 최근 일부 다찌집이 관광객 영향을 많이 받아 가격은 오르고 퀄리티는 떨어지는 곳도 많아졌다.
다만 제철에 맞는 구성과 해산물 및 회의 선도가 좋고, 하이엔드 일식 오마카세보단 떨어지지만, 이정도 코스트와 양이면, 무조건 가야되는거 아닌가........참고로 이후 소주 추가시 10,000원이다. 하지만 두병 더 먹었다.
휴가철 돈벌려고 2인상 안받는지 모르겠지만,
10월에 갔을때는 2인도 친절하게 받아줬고, 사장님 계속 뭘 더 만들어줄려고 했다. 8월 휴가철에 한번더 가볼 생각이다.",4년 전
3,"인생 두번쩨 다찌 경험. 저번은 해산물 위주의 집이었다면 여긴 나물과 잡채, 부침개가 있고 은빛 찬란한 갈치구이와 고등어찜, 새우와 문어 그리고 꼴뚜기와 회 등이 있는 상차림. 주류가 포함되어 있다고는 들었지만 플라스틱 양동이에 나오는 점이 재미있다. 특히 마지막 하이라이트는 쌀떡과 조청. 해산물과 술로 피곤해진(?) 속을 탄수화물과 꿀로 달래주는 센스. 현지인들은 이 집 또는 맞은편 집을 자주 간다고 한다. 하나더 대합 속살과 양념을 다져 구운 것이 이집의 별미라고 하는데 아쉽게도 오늘은 없었다.",4년 전
3,"컨디션이 저조한날이었고 사진을 많이 못 찍었어서 아쉬웠다. 다찌는 처음이지만 여기 다찌는 개인적으로 별로... 비추이다ㅎㅎ 같은 가격으로 그냥 다른 곳에서 원하는 종류의 해산물을 배터지게 먹는 것이 이득일듯!
2인기준 6만원, 술 3병 포함 가격이다 (여담이지만 역시 2인 손님은 잘 받지 않으려고 하셨다).",4년 전
3,맛있음 우린 술을 못먹어서 음료수로 대체함 ㅋㅋ 해산물 많이 못먹어서 뒤에나오는 거는 거의 못먹음... 생선은 쪄서 한번더 구우시는거 같던데 찐거에서 냄새가 좀 나서 재방문은 안할듯...,3년 전
3,"그냥 쏘쏘..
사장님은 친절..
다소 비좁은 노포의 불편함이 있으나
도란도란 이야기하기 좋음..",2년 전
5,"방어, 볼락 등 제철생선 먹을 수 있어욜
멍게, 해삼, 굴도 신선하고 괜찮았습니다
무엇보다도 맨 마지막에 아구탕인가? 국물이 끝내줘요. 술 너무 마시지 마시고 안주 하나하나를 음미하길 추천!",6년 전
4,"신선한 해산물 종류별로 횟집에서 먹는것보다 꽤나 훌 륭했어요~~ 큼지막하게 썰어나오는 전복이며, 멍게며
너무 맛있네요! 특히나 마지막에 나온 아구지리는 술을 부릅니다^^",7년 전
