별점,리뷰,날짜
3,"통영 숙소부근에 깔끔한 식당을 찾아서 갔습니다. 굴국밥과 멸치회덮밥을 주문했어요.
굴이 생각보다 적었고 멸치회는 살짝 비린내가 나네요. 그냥 깔끔한 식당으로 방문하시면 됩니다
주차할 곳이 별도로 없어서 매장앞에 주차했습니다.",2달 전
5,많은 분들이 찾는 맛집입니다! 음식이 깔끔하니 모두 맛있어요ᆢ해물정식 A 와 B를 먹었는데ᆢ굴전 멸치회무침 해문탕은 너무너무 좋았어요ᆢ보통은 많이 기다려야 하는데  다행히 바로 먹을 수 있어서 더욱 좋았어요ᆢ,1년 전
5,"가게 깨끗 인테리어도 깔끔
서비스 친절
굴밥정식+해물된장 시켰는데
맛도 깔끔하고 반찬도 잘나오고 해물도 다 듬쁙듬뿍이예요.
통영-거재 여행중 가장 만족스러운 식사였어요.
여행지라서 눈탱이 치는 음식점만 보다가 이렇게 만족스럽게 음식+서비스+분위기 다 만족스러운 가게는 첨이라 감동받았네요",2달 전
4,"건강한 식탁이네요.
굴국밥은 담백하고 자극적이지 않았습니다.

생선구이는 고등어 1/2, 조기, 정갱이가 나왔는데 간장에 쩩어먹으라고 소금간이 되지 않은 상태로 구워져 나왔습니다. 근데 그래도 좀 심심했어요. 소금 간과 간장 찍먹의 맛은 다르잖아요.

산뜻하고 담백한 식탁이었습니다.",10달 전
4,관광지 음식값은 조금 비싼 편이지만 맛은 나름 괜찮습니다. 스탠포드 호텔 통영에 숙소를 정한 분은 근처라 식사하기 괜찮습니다.,1년 전
4,"통영유람선터미널 바로 건너편에 있어서 유람선 타기 전에 들르면 좋다. 실내가 넓어서 많은 인원이 방문하기에도 좋고, 건물 외관과 내관이 깨끗하게
정비되어 있다. 밑반찬이 정갈하고, 음식도 평균 이상은 된다. 주말 식사시간에는 빠르게 자리가 채워진다. 식사시산 보다 조금 일찍 도착하는 것이 좋다.",1년 전
5,"#통영맛집 #도남식당#달통술🌕 #내돈내산

아니, 1인 40,000원 실화입니까...?

너무 맛있어서 동네방네 소문 내고 싶은 맛집 !

항상 다 못먹고 남기고 와서 억울함 가득이지만 맛, 서비스, 친절, 가성비, 센스 어느것 하나 빠지지 않습니다.

꼭 한번 가보세요 장담컨데 후회는 없습니다 😉👍",2년 전
5,"나는 해물을 잘못먹음
별로 안좋아함
차림상은 괜찮음
굴전은 계란이 듬북들어가서 맛있음
된장국은 미소된장 같은 느낌임
초반에 먹으면 싱거우니 조금쫄여가면서 먹으면 맛있음
제육은 맛없음
제육 신맛이 너무 강하고 짜고
별루임
결국 남김
생선구이는. 간이 안되어서 간장에 찍어 먹어야함",1년 전
5,"숙소 근처였어서 주변 식당 검색하다가 방문하게 되었는데 기대이상으로 음식도 깔끔하고 맛있었습니다.
직원분들도 친절하셨어요!
다만 해물탕 드실때는 처음 한 번 끓여서 조개류 먹고 국물 리필한 번 해서 간 조절 하면 좋을듯 합니다.
계속 끓이니 많이 짜더라구요~
블루리본도 몇해째 계속 인증받고
저는 매우 만족했습니다.",1년 전
4,통영에 다찌집을 가려다가 깨끗하고 단체모임이 되는 곳으로 찾다가 가보게 된 식당인데 4만원 세트메뉴가 더 받으셔야 할 것 같을 정도로 알찼습니다 같이 간 일행들도 모두 만족했습니다,1년 전
4,일단 내부가 깔끔하고 음식도 맛나게 잘 먹었어요. 직원들의 친절함도 괞찬았어요. 원래 경상도 방면의 말투가 투박해 그런가 ㅎㅎ,2년 전
5,깔끔하고 빠르게 준비 해주시고 친절하고 게다가 맛도 너무 좋네요. 추천합니다. 해물정식A 먹었습니다.,1년 전
5,"식당 이모님들이 손님의 어린아기를 대신 봐줄 정도로 친절하셨습니다. 보기 좋았어요.
음식도 맛있어요.",1년 전
5,"경상도에서 이정도면 맛집..
간간과 삼삼사이의 무난한 맛집으로 루지, 케이블 체험 전후 가까이 들르기 좋음..

깨끗, 깔끔.
가족단위보다 단체 손님 움직이기 좋음",3년 전
4,"오늘은 멸치무침회가 서비스...
물회에 멍게,전복도 들었네요...
새콤달콤하기는 포항보다 덜한듯..",2년 전
5,사장님 친절하시고 깔끔해요 반찬들도 다 맛있구요 멍게비빔밥 맛있습니다 세트로 시키니 멸치회무침이랑 굴전도 나오고 생선조림도 나와서 애들이 잘 먹네요 해물 된장은 예상되는 맛이였으나 해산물이 많이 들어있어요,3년 전
5,통영 맛집. 펜션 사장님 추천으로 방문. 맛도좋고 친절함. 1박2일 통영여행에서 점심2끼를 여기서 해결. 애들 데려가도 만족함.,2년 전
5,"도남식당의 최상의 서비스와 맛과 품질, 한 번도 받아보지 못한 사람은 있어도 한 반 받아본 사람은 없을걸요. 오늘 맛있는 점심 감탄사가 연발~",1년 전
5,"통영에서 보기 드물게 너무 친절하고 음식 맛도 좋은곳이며, 식당 내부 인테리어도 현대식으로 깔끔합니다.
사장님이 서비스도 좋으시고 항상 밝고 친절하게 대해 주셔서 인상이 깊음. 음식평은 따로 할 필요가 없어요. ㅋ",2년 전
5,"손님이 엄청 많았어요 다행히 웨이팅없이 들어감
음식은 빨리 나오는편이고 해물뚝배기가 시원하고 생선조림이 맛있었어요
깔끔합니다",1년 전
4,"도남지구 필수코스
다찌집 찾을 필요 없이 술 한 잔 가능
아침 해장으로도 좋은 해물된장정식",2년 전
4,"서울사람 입맛에 맞는 단 음식.
식당 외관만큼 깔끔한 맛.
해물정식 B코스 17,000₩
구성 좋은 해물된장, 멸치무침, 생선(성대)조림과 반찬(향 진한 방아나물).
개인적으로 영빈관의 음식이 맛은 더좋습니다.",6년 전
3,"가성비가 매우 아쉬운 집입니다.
아침도 돼서 좋긴한데,
워낙 유명한집이라 손님도 많긴 하지만 재방문하기는 어려울거 같아요.
재료는 신선한거 같은데, 맛이 아쉽습니다.
가성비 좋은 식당들 많습니다.
다른곳 추천드려요.",2년 전
1,"갈치조림, 해물된장 시켰는데 갈치 해동도 안된 상태로 나와서 매우 놀랐네요
다시 조리해왔는데 완전 쫄여서 갈치는 비리고 양념은 졸아서 짜고,,,
해물된장은 그냥 물에 된장풀은 맛입니다
반찬은 각각 엉망입니다
간이 하나도 안맞습니다
짠건 너무 짜고 싱거운건 소금을 전혀 안넣은거 같고
여튼 진심 비추입니다",7달 전
5,"가격은 살짝 있는데 굴밥이 하나도 1도 안비림
굴전도 계란이 너무너무 맛있고
갈치조림은 많이 졸여야 맛있음
계산하고 나오는데 알고보니 블루리본서베이 19 20 21년 이었음
모르고 왔는데 맛집?",3년 전
3,"음식이 정갈하게 깔끔했습니다. 그러나 해물탕만 먹고싶은데 세트로 묶여있어 비싼가격으로 먹어야하는 불편함과 조개 해감이 되어있지않아 먹으면서 계속 불편함을 자아냈습니다.
맛은 그럭저럭 한끼하기에 적당한거같습니다.",6년 전
5,"다양한 해산물 요리를 먹을수있고

특히 친절함에서는 통영 제일인듯ㅎ

기분좋고 맛있게 잘 먹었어요

전체적으로 비린맛 없어서 남녀노소 만족하실듯",3년 전
1,"시그니처격인 A정식(2만원/인, 2인이상 주문필수)을 먹었습니다. 슴슴한거 좋아하시는 분들은 좋을듯. 굴전은 꿀맛이네요. 얼큰한 해물탕을 기대하시면 안됩니다.",6년 전
4,음식들이 여러종류로 깔끔하게 잘 나오네요~,2년 전
5,ㅎㅎ 또 왔습니당!!! ㅎㅎ  다른곳 들를 생각도 못하고 도남공원 찍고 왔어요. 올만에 또 맛난 식사하고 갑니당,2년 전
4,"정식 메뉴 싸고맛있어요
술안주도되고 식사도되는 메뉴에요",1년 전
4,남해의 해산물을 즐길 수 있는 식당으로서 직원분들의 서비스가 좋습니다.,5년 전
1,해물된장은  짜고   굴국밥은 이게?  이럴정도이고  갈치조림은  비린내나고 ..   맛없는데  맛있다는사람은  뭔지...,5달 전
5,착한가격 너무 맛있고 친절해요.,3년 전
4,아침식사오 갔습니다. 시킨메뉴 그냥 소소한 느낌이었습니다.,2년 전
4,구글지도 평이 다 맞아요 깔끔하고 반찬정갈하고 멸치회는 좀 비리구요 갈치조림은 맛있어요,5년 전
1,다 맛없음 왜 유명한지 모르겠고 해물탕도 된장국느낌? 멸치회랑 굴전은 비리고 김치도 못 먹겠음,7달 전
4,담에 또 오고 싶은 맛과 친절함!,4년 전
5,"식당깨끗하고 친절하고
음식도 맛 있었요
코스 메뉴 이용해보세요",5년 전
2,"내부도 깨끗하고 위치도 좋은데
음식맛이 여엉~~
나도 이많은 물고기중에 한마리인가
낚낏다",4년 전
3,"바지락에 모래가 너무 많음. 해물된장보다 조기, 반찬이 더 맛있어서 좀 아쉬운 느낌",6달 전
3,단체 손님이 있을때 방문하여서 그런지 좀 정신이 없었습니다. 굴밥을 먹었는데 괜찮았습니다.,6년 전
5,"가족여행 중 점심으로 멍게비빔밥을 먹었어요.
식당분위기 맛 청결 모두 좋았어요~
곁들여 나오는 반찬도 깔끔하고 맛있었어요.
고등학생 큰아이는 두 그릇이나 먹었어요~",1년 전
4,"양이 많지 않음
추가회 디자인은 멋지게 나옴",2년 전
3,다찌스탈의 음식을 먹고 싶어서 갔는데 그 메뉴가 없어져서 그냥 나왔어요.ㅠ.ㅠ. 생굴은 아직 안나온다네요,8달 전
5,"새로 오픈해서 깔끔하고
정갈한 도남식당
굴정식 맛납니다 ^^♡",6년 전
1,"1시반쯤 갓는데 손님이 한템포빠지고 조금 한산한때갔는데도 우리테이블 주문이 빠져서 해물된장찌개랑 멍개비빔밥을시켰는데 40분 기다리다 먹었습니다
정식을 시켜야 빨리나오나보다하고 생각했는데 나중에 보니 완전 빠진듯 허겁지겁 챙겨 줬네요
가격대비 먹을게 없는듯하고 해물이 그렇개 많이 들었는데 맛이 좀 밍밍하네요",3년 전
2,관광지 식당이라서 맛은 평타...해물된장을 먹었는데 가격에 비해 들어있는 해물이 너무 없네요. 아주 간단히 먹기엔 편리합니다.,2년 전
3,"지나다 들른 도남식당
물회, 멍게밥 정식.  나쁘지 않은 맛입니다.",4년 전
