별점,리뷰,날짜
4,예전부터 한번 들러보고 싶었던 곳이었는데 한산도를 방문할 기회에 맞추어 일행3명과 함께 들러 식사하게 되었네요. 성게 비빔밥이 평이 좋아 물회정식과 같이 2인분씩 주문하였고 식사하게 되었네요. 성게 비빔밥은 제 입맛하고는 잘 맞질않고 물회정식이 나름 좋았다  생각되더이다. 반찬이나 식당은 잘 관리하시는듯 하더이다.,10달 전
3,"2시에 갔는데도 만석.
평이 좋다고 해서 거제에 사는 지인도 처음 가본 곳.
물회를 시켰는데 소문에 비해 별로였어요.
나중에 리뷰를 찬찬히 보니 복국이나 비빔밥이 좋다는 평은 많고 물회리뷰는 별로 없네요.😅
다시 거제에 간다면 여기서 복국을 한번 먹어봐야겠네요.",7달 전
4,"회덮밥을 주문하면 미역국을 주거나 매운탕을 주는 곳이 대부분인데 이 식당은 복집이라 복국을 줍니다. 얼큰하고 매콤한 거보다 담백함을 좋아하는 사람들에게는 좋을 거 같아요.
회덮밥과 물회 성게비빔밥과 해물된장찌개를 주문했는데 바쁜 점심시간에 메뉴를 각각 주문해서 조금 그랬지만 친절하게 응대해 주셨고 음식 맛도 간이 딱 맞는 게 맛있었습니다. 전날 다은 곳에서도 성게비빔밥을 맛있게 먹었는데 그 식당 보다 더 신선하고 맛있었고 물회나 회덮밥의 회도 정말 신선해서 맛있었습니다. 된장찌개도 짜지 않고 해물도 많이 들어가 있었네요. 기본 반찬도 하나같이 간도 알맞아 맛있게 먹었습니다.
같이 나오는 복국도 너무 깔끔하게 끓이셔서 잘 먹었습니다. 식당이 규모가 작은데 손님이 많이 서 조금 좁은 느낌이지만 불편함 없이 잘 먹었습니다. 다음에 통영에 가면 또 들려 먹고 싶은 식당입니다.
이 곳은 물회에 국수는 안 나오지만 밥 말아 먹으면 정말 맛있습니다.",3년 전
5,"타지에서 온 친구에게 통영의 어떤 음식을 대접하면 좋을까 생각하다 복국을 먹으러 왔어요.

저는 까치복을 먹었는데 복국 껍질이 아주 쫄깃하고 국물도 너무 깔끔 시원하니 맛있더라구요.

추천메뉴 : 대구탕, 까치복, 황복

반찬도 김치 하나하나 직접 담그시는지 젓갈맛이 진하게 나며 정말 맛있게 먹었습니다. 김치가 맛있어서 조금 더 달라고 부탁을 했는데도 아주머니께서 친절히 리필해 주시더라구요.

복국 종류는 어떤 차이가 있는지 몰라 궁금했는데 식당 앞쪽에 종류별로 생선 모형이 걸려있어요 ㅋㅋ

생대구탕도 생선살이 얼마나 부드럽던지 입에서 녹아요. 국물도 복국보다 더 간이 되어있어 더 시원하고 맛있었어요.

3그릇 시켜 두 명에서 싹쓰리했습니다.

주차가 필요하신 분은 여기서 주차권을 받으면 오십퍼 할인도 되는 것 같더라구요. 전 주차가 필요없어 자세히 보진 않았지만 알아보셔요.",1년 전
4,"엄청나진 않지만 맛있게 잘먹었습니다. 멍게비빔밥 양은 좀 작은데 자극적이지 않고 깔끔한 맛이었어요. 같이 나오는 졸복국, 국물 정말 시원합니다.

매생이굴국도 맛있었어요!
주차 정보를 모른채 그냥 갔는데 바로 근처에는 주차할만한데가 없으니 주차장을 검색해두고 가시길 추천합니다.",3년 전
4,"1. 시장에 위치해 있어서 주차는 근처 공영주차장들로. 쇼핑이나 식당 이용하면 주차장 50% 할인권도 주니깐 받아 챙기면 좋음.

2. 가게 안이 매우 깔끔함. 사장님 인상이 꽤 터프하신데 비해서 말투가 굉장히 나긋나긋하시고 잘 챙겨주신다. 반찬 리필 부탁드렸더니 다른 빈것도 다 갖다 주셔서 몹시 송구했음... 음식에 대해서 물어봐도 친절히 잘 알려주신다.

3. 가격이 꽤 센 편이라 좀 놀랍다. 가격만 제외하면 아주 훌륭하다고 할텐데...술을 곁들인다면 쉽게 기십만원은 나올것이다. 그래도 음식이랑 반찬이 매우 정갈하고 맛깔스러워 어느정도 이해가는 가격이다. 멍게 비빔밥, 회 비빔밥과 도다리 쑥국은 맛이 훌륭함. 멍게 비빔밥은 굉장히 향긋하고 회비빔밥도 회(도다리일것으로 추정)가 찰지고 고소하며 두껍게 많이 들어가 있어서 좋다. 쑥국도 국물도 진하고 맛있음. 성게 비빔밥은 그닥... 추천할 수 없는 메뉴긴 함.

기본으로 나오는 찬들도 아무렇게나 대충 때우는 찬들이 아니라서 좋았다. 멸치회무침, 풀치볶음, 명란 등등 기본찬으로도 밥 비울수 있는 곳임.",2년 전
2,"이곳은 중앙시장 해변가 도로변에 위치하고 네이버에 리버가 좋아서 갔습니다.
작년에 통영에서 맛있게 먹었던 기억에 먹으로갔는데 맛도 별로고 싱싱하지도않고 비린내도 났습니다.
생물 도다리를 요리해서 만들어야 비린내도 나지않고 쑥의향이 조화를 이루어서 맛있을건데 죽은 도다리로 요리해서 주니 맛도 없고 비린내도 나고 가격은 1인당17,000원 넘비싸고 맛이 없어서 추천하고 싶지 않는 곳입니다.",2년 전
5,아침식사로 매우 맛있게 먹었습니다! 복국이 저렴하고 맛있습니다!,9달 전
4,"도로변에 위치해서 접근성 최상
대기손님은 많으나 회전이 빨라 대기시간은 20분정도
봄 제철음식인 도다리쑥국 멸치회무침
그리고 멍게비빔밥 주문
멍게비빔밥에 복지리가 작은대접으로 하나 딸려 나온다
도다리쑥국 개인적으로 별로인데 이 집은 먹을만 하다
복지리고 먹을만 하지만 도디리쑥국엔 비할 바가 못된다
멍게비빔밥보다는 멸치회무침에 공기밥 추가해서 비벼 먹길 추천한다
멸치회 진짜 맛있다",5년 전
5,"시원하고 깔끔한 복국, 맛난 밑반찬. 30여년 전에도 이미 현지인들에게는 소문난 맛집이었는데, 지금도 변함없이 맛있음. 내부공사를 한번 하고 나서 더 깔끔해지고, 메뉴도 다양해짐. 졸복국, 멍게회덮밥, 멸치회무침, 물회, 성게미역국.... 먹어 봤던 어떤 것도 실망스러운 적이 없었음. 그중 최고는 졸복국.",1년 전
5,"해안도시답게 굴, 복, 도다리, 성게, 멍게 등 바다내음 물씬 나는 음식들이 즐비하다.
""좌광우도"" 눈이 오른쪽으로 쏠리면 도다리, 왼쪽으로 쏠리면 광어라고 하는데
구분에 있어서 이빨이 있고 없고 차이가 가장 쉽다고들 한다.

동피랑 벽화 마을쪽에 주로 식당들이 운집해 있어 찾아 가기는 쉬운편으로
바다향기와 옛 어촌의 향기를 동시에 느낄 수 있다.
그 중에 아이들과 가장 편하게 식사할 수 있는 공간만 찾아 다녔는데
위치상으로나 좌석으로나 그나마 아이들과 점심 식사 하기 원만한 #동광식당
1970년대 개업한 노포로 3대째 운영중이며 도다리쑥국, 참복, 졸복, 성게 멍게 비빔밥이 유명한 곳이다.

멸치회무침을 포함한 8가지의 밑반찬과 설렁탕 부럽지 않은 뽀얀 국물에
큼직한 도다리와 쑥, 마늘, 고추, 마늘, 파 등 각종 재료 속에서
향긋한 쑥향과 부드러운 도다리와의 궁합이 묵은 숙취를 날리는 최고의 식사다.

개인적으로 참복국 보다 도다리쑥국의 건강한 쑥향에 매료 되었고,
고소한 참기름과 야채가 어우러진 성게비빔밥 또한 통영에 있는 내내
먹어도 질리지 않는 최고의 음식이었다.",4년 전
4,"도다리쑥국 시원하니 너무 맛있어요. 멍게비빔밥도 좋습니다. 단 성게비빔밥, 성게미역국은 소소~",3달 전
5,"지인추천 가보길 잘했다.
나름 현지인들도 맛있다고 추천받음.
친절한 직원과 처음 먹어본 쫄복(복어중 제일 작은종 이라함) 비리지않고 부드러운살
미나리의 상큼함에 개운한 맑은 지리국",4년 전
5,"1970년에 오픈한 경남#통영노포식당
#졸복국 에 졸복이 엄청나게 들어가있고
향긋함이 올라오는 #멍게비빔밥 도 훌륭하다.
.
밑반찬 하나하나 손이 다 가도록 맛이 있고
떨어지기 무섭게 리필까지 ..
통영 중앙시장에서 3代에 걸쳐 음식점을 하는데엔 이런 이유들이 다 있을듯 하다.
맛이 있고 친절하고 재료들도 퀄러티가 좋다.
.
멍게비빔밥을 다 먹고..밑반찬으로 나온 #멸치무침회 , 시금치, 생미역무침, 졸복국에 콩나물까지 넣고
다시 비빔밥을 만들어 먹은건 비밀~~~
.
졸복국은 졸복 야무지게 와사비간장에 찍어먹고 맑은국물에는 식초약간 떨어뜨려 먹으면 해장끝~~~~~^^",4년 전
4,깔끔하고 맛이 좋아요 내용물도 실한편이구요~ 한끼 정도는 드셔봄직합니다 저는 멸치회무침 강추입니다 달지도시지도 않은 적당한 산미와 풍성하게 넣어준 멸치회!,5년 전
4,"도다리 쑥국이 가장 맘에 들고 성게비빔밥은 쫄복국을 함께 맛볼 수 있어서 좋음. 단, 물회는 개인적인 만족도가 낮음. 회 양은 적지 않으나 육수에서 사이다 맛이 많이 남. 주차는 공영주차장 이용하고 주차할인권 제공하니 맘에 든다. 식사시간에는 웨이팅이 있을 수 있음.",5년 전
