별점,리뷰,날짜
4,통영 <뚱보할매김밥>. 현지인들이 추천한 충무김밥집. 1인분에 6000원. 사진에 나온 건 2인분. 가격이 좀 세다. 오전 7시부터 문을 연다.,5달 전
1,1인분 주문 후 남은 음식 싸달라 하니 먹던 음식은 안 싸준다고. 그럼 버리냐 하니까 아주 당당하게 버린다고 하던 돈벌기에 급급한 아줌마들 모습에 다시는 가고 싶은 생각이 없어짐. 특별히 맛있다는 생각도 전혀 안들고. 완전 비추.,1달 전
3,"통영에서 대표적인 먹거리인 충무김밥의 원조집이라고 알려진 집입니다. 사진으로 보이는 것보다 맵지 않은 석박지와 오징어(어묵)무침, 적당한 크기의 김밥 조합이 좋습니다. 특별하게 더 맛있다기보다는 현지에서 맛보는 재미가 좋습니다.",1년 전
5,"가성비갑
요새 물가가 많이 올라 충무김밥이 싸게 느껴질 정도
통영출신 어머니가 조아하셔서 통영올때마다 꼭 들리는 맛집
오징어어묵무침과 석박지가 찐 맛집
반찬은 리필도 됩니당ㅎ
4명이서 8인분 먹으면 딱입니다",1년 전
1,"2021-03-13 뚱보 할매 김밥 집

어머니께서 충무김밥을 참 좋아하시는데도
이건 좀 아니라고 하시더군요.
근 몇 년간 먹은 충무김밥 중
이 정도면 돈값 한다 싶은 건
남포 충무김밥밖에 없던 것 같습니다.",7달 전
4,"통영에 충무김밥 먹으러 종종 들르는 곳입니다.
2층 전망이 좋은데 오늘은 바빠서 1층에만 머물러 있었네요.
보통 주문은 2인이상입니다.
바로 앞 길건너편 거북선들이 돌아왔네요.
새로 보도 블럭들도 깔으신다고 한창 공사 중이네요.
가게 앞 전망들이 앞으로 더 이뻐지겠네요ㅋ",2년 전
3,"유명한 충무김밥집이라 찾아갔음. 기다리는 손님이 많아 대기하다 자리가 생겨 주문하고 먹었음.
별미로 추천하지만 찾아가서 먹을 맛은 아니라고 생각됨.
오래전 남해에서 부산으로 가는 배가 충무에 들리면 잠시 머문사이 아주머니들이 머리에 대야를 이고 배에 올라와서 팔던 그런 충무김밥은 따끈한김밥에 새콤한 무우, 쫄깃한 오징어절임이 입에 침을 고이게해서 물없이도 김밥을 먹었는데 지금은 그런맛을 느끼지 못했음. 양이 적어 1인분 정도 추가하는것은 좋은 선택이 아니라고 봄.
주변이 번화가여서 주차도 불편함",5년 전
5,"무난한 충무김밥입니다.

1인 7000원",3달 전
4,"충무김밥 1인분6,500 깔끔해요.",5달 전
5,통영 충무김밥의 원조라고 하는 뚱보할매김밥집에서 먹은 충무김밥 만족스러웠습니다. 음식점 2층 매장에 뷰가 좋아서 더욱 좋았습니다.,4년 전
5,"주차장이 부족함.
가격은 6000₩
(김밥 8줄, 석박지, 오징어+어묵, 국)
신속하게 나옴.
하두 충무김밥 충무김밥해서 먹어 봄.
서비스는 잘 해줌.
맛은 원래 그 맛이라고 함.
다른데를 안먹어봐서 평가가 맞는지는 모르지만 좋앗음.",2년 전
3,"밥의 양이 좀 적었으나 오징어오뎅무침과 무김치,시래기국은 리필 됩니다.다른 식당들에 비해 맛있긴한데 1인분에 5500원은 싼 가격은 아닌것 같아요.",5년 전
4,"충무깁밥집 큼지막히썬 오뎅이랑오징어랑 나박김치 잘먹고왔어요
시락국도 따뜻했구요
충무김밥이 뭐 다이런 맛이지 싶어요
제입엔 먹을만했어요
가격도5500원이면 착한것 같구요
젓가락은 없네요 이쑤시개긴걸 젓가락대신 사용함
먹는데는 아무문제없음..
단점이 하나있는데  할머니들이장사를하시니까
이층이 있는데 못올라가게하시네요
첨엔 춥다고 못올라가게 하시더니
다른분이 와도  못올라가게  하시네용
제가 밥먹음서 보니 먹고 치우는것도 할머니들이하시는데 힘들어 그러시는것 같아요
2층에 올라가려고하면 눈치를받습니다
김밥나오고나면  국도 주시는데 국그릇도 가져가야된다고 그러고
다먹고 들고내려 와야된다고 그러시네요ㅠㅠ",6년 전
4,"원조집과 다른곳의 맛 차이는 크게 없는것같습니다.
맛이없는건 아니고 맛있습니다.
얼마전에 맛있는녀석들 촬영을 했나보더라구요.
1인분에 5,500원이고 김밥은 8개씩 나옵니다.
포장도되는것같으나 테이블회전률이 높아서 조금만 기다리면 드시고 가실수 있습니다.
옛날집이라 카드가 안되면 어쩌나 했는데, 카드도 무리없이 사용 가능합니다.",6년 전
3,통영온김에 충무김밥 생각이나서 검색해서 왔는데  메스컴에도 나오고 주변에서 사람이 많은곳 일부러 찾아서 왔습니다.  충무김밥이 김에다 맨밥을 말아서 깍두기와 오징어무침과 같이 나오는데 메뉴 자체가 원래도 특별한  맛은 없는 그런맛이지만 그래도 메스컴 나왔으니 뭔가 다르지 않을까 했는데 역시 기대가 컷나봅니다. 개인적인 취향이나 맛이 다 다르겠지만 제입맛엔 특별하지는 않았던것 같았습니다. 기억은 안나지만 서울어디에서 먹었던 충무김밥 보다 못한것 같네요 .,4년 전
5,"맛있어요.  통영중앙시장에서 가까워요~ 된장국도 맛나요.
충무김밥 한 가지 뿐이지만 석박지, 오징어와 어묵무침 삼단으로 먹음 짱 맛나요~~^^",5년 전
2,"이거 뭔 맛에 먹는 거예요? 왜 때문에 비싸죠?
충무김밥은 오징어 때문에 비싸려니 생각하는데 싸구려 오뎅이 절반이네요
밥도 찐쌀 같이 뻑뻑하고...
이게 젤 맛있는 충무김밥이라면... 충무김밥은 그냥 한 번만 경험삼아 맛보면 충분한 음식인걸로...",3년 전
5,"오랜만에 찾았는데 여전히 맛있었어요!
심플 이즈 베스트라고ㅎㅎ
간단하게 한 끼로 너무 좋았고 몇 년 전 그 맛 그대로네요.",1년 전
1,"유명한집이라서 그런가 친절은 찿아볼수 없네요 자주먹지는 않지만 비슷한맛들 ...
같은데 일부로 찾아가지는 않아도 될듯
티비에 나온곳은 가면 안되는것인가 ㅡㅡ
포장손님은 많아요",4년 전
1,그냥 충무김밥이 어떤지 체험만 하길 뱃사람들 도시락 개념이라 가격에 비하면 창렬함 감안하고 먹자.,3주 전
5,식은밥에 김만 말아져 있으면 당연히 맛있을리 없죠. 근데 이 집 깍두기랑 오뎅이랑 해서 같이 먹으면 진짜 맛있네요. 식당 내부에 소개글을 보면 이 집이 원조라고 하네요. 평일에 다녀오니 점심에도 한가했습니다.,3년 전
3,"원래 충무김밥 좋아하지 않음
그럼에도 오징어와 서박지는 좋았음
무료로 리필도 가능해서 좋음
하지만 난 그냥 김밥이좋음",1년 전
5,1인분6천원 김밥8개 오징어 큼직하고 무우김치도 안달고 맛있다.이틀 연속 먹음.,2년 전
5,충무김밥 아주 맛있어요 👍,3달 전
1,음. 충무김밥을 제대로 기억하면서 먹어보는건 처음이었는데요. 포장해서 10분거리 숙소와서 먹었는데. 원래 이렇게 김밥의 김은 좀 질기고 밥 식감도 안좋은건지 ㅠㅠ 같이준 무침의 오징어+오뎅무침 조합은 먹어도 맛깔?이라는 느낌은 하나도 안들고ㅋㅋㅋㅋ 무침인데ㅋㅋㅋㅋ 뭔가 약간 맵기만 하고.....먹어도 맛난다는 생각이 1도 안들었어오. 무김치도 뭔가 애매한 맛이예요. 시지도 않고. 애매한 매운 텁텁한 맛. 충무김밥이 왜 유명한건지?? 원래 전체적으로 뱃사람이 대강 포장해서 먹기 쉬운음식으로 만들어서 이렇게 투박하고 무신경한 맛인지.......ㅠㅜ 맛이 너무 없는데 2인분에 11000원인가 주니까 그것도 너무 아깝고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 충무김밥 첫인상인데. 좋은게 하나 없네요. 집에서 보통 주부가 만들어도 적당히는 맛있을것 같은 조합인데. 너무 맛없어요.,6년 전
2,도대체 <맛있는 녀석들>의 식당 섭외 기준이 무엇인지... 고속도로 휴게소에서 사먹는 충무김밥이 훨씬 나을듯.. 이걸 5500원이나 받다니,5년 전
4,포장해서 먹었는데 맛있어요ㅎ 무엇보다 함께담긴 오징어가 정말마싰어서 잘어울려요,1년 전
