별점,리뷰,날짜
4,"통영에서 졸복탕을 먹으러 갔습니다. 수요미식회나온 곳이라네요.
시원하고 맛있었습니다. 가면 오늘의 추천 복탕을 이야기 해주시네요. 졸복은 못먹고 밀복과 참복 먹었습니다. 밑반찬들이 다 맛있었습니다.
주차는 길건너 하나로마트에 1시간까지 무료주차됩니다.",2달 전
5,통영오면 항상 아침 먹으러 오는 집. 관광객도 많지만 로컬도 많은 집. 서호시장과 함께 가게의 영업 시간 시작 5시30분부터 분주한 일과가 시작되는데 그 분위기를 만끽하는 것도 맛을 더 해줌. 자리도 금방 차지만 포장도 엄청 들어옴. 복국 맛은 뭐 설명할 필요도 없음. 오래된 만큼 역사가 보장 함. 밑반찬들도 참 맛있어요,8달 전
4,해장에 좋은 전형적인 남도지역의 슴슴한 복국집. 식초를 추가하면 시원한 해장에 최고. 하지만 복고기를 먹고싶다면 참복을 권장해요,3달 전
4,"통영에 다시 들르면 반드시 다시 가고 싶은 밥집.

수요미식회에도 나온 집입니다. 졸복국은 껍질이 그대로 붙어있는 생물 복어구요. 맑은 국물의 지리라 다채로운 맛과는 거리가 있으나  깔끔하고 자극적이지 않아 좋았습니다.

식초를 몇방울 떨어뜨리면 맛이 더 좋아진다는데 저는 사실 차이를 크게 못느꼈습니다. 다대기를 넣은 것도 칼칼한 맛이 일품이니 취향따라 기분따라 선택하면 될 듯.

멸치회무침과 젓갈을 포함한 밑반찬은 정갈하고 맛도 좋네요. 특히 멸치회무침은 남해에서 먹었던 것 보다 더 싱싱하고 맛있었습니다. 젓갈도 짜지 않아 부담없이 젓가락이 가더군요.

맛은 물론이고 친절하고 가게도 깨끗해서 기분 좋게 먹고 나왔습니다.
12,000원이라는 가격은 좀 부담스러워 별 하나 뺍니다.",6년 전
3,"복은 신선하지만 국물이 깊은 맛으로 느껴지진 않음
조미료가 적게 들어간 때문인지도..",3년 전
5,"통영시 서호시장 이면 좁은 골목에 위치한 졸복지리 전문점으로 각종 매스컴에 소개된 유명 맛집이다.

이곳은 졸복 말고도 참복국도 있지만 개인적으로는 무조건 졸복국...
깔끔하고 시원한 맛으로 작지만 탱탱하고 신선한 졸복이 넉넉히 들어있다.

졸복은 작은 복어라서 먹기 힘들다고 하시는 분들도 있으나 그리 어렵지 않고 오히려 발라먹는 재미가 있는 듯 하다.

반찬도 입에 잘 맞고 다양하며 대부분 현지인들 해장 겸 많이 찾는 곳으로 전날 얼큰하게 한잔 하신 후 새벽 일찍 찾아가서 식초 약간 떨구고 국물 먼저 맛보면 이곳의 참맛을 알 수 있다.

새벽 문을 열자마자 손님들이 찾아오며 일하시는 이모들 모두 친절하다.
통영 음식점 상위 랭크 이유를 알 수 있는 곳으로 개인적으로도 추천하고 싶다.",4년 전
4,"졸복 말고
참복으로 주문
시원한 국물맛에
복 고기도 야들야들하니
맛있네요
멸치 무침도 맛있고요",6년 전
5,"통영에서 아침에 해장하기 가장 좋은 식당.
아침에 가면....
복국과 해장술 하시는 어르신들이 가득한 식당.
해장하기도 좋고, 해장술 하기도 좋은 식당입니다.",1년 전
5,"친절하시고 맛있어요!!
이 동네 살면 자주 와서 술 한잔하며 먹고 싶은 음식들입니다.
가게가 좀 작지만 북적이며 먹는 뭐랄까 갬성지수 좋은 맛집이네요.
매번 식탁 위의 비닐도 바꿔주시고 깔끔해요.
아이들도 음식 맛나게 먹으니 기분은 더욱 좋았습니다.
다만 주차하고 좀 걸어가서 먹어야해서 그 점은 좀 불편했습니다.
일단 불편한건 음식 먹는 동안엔 생각이 나지 않습니다.
자고로 음식은 맛나야 제 본분을 다하는거죠.
본분을 다하는 음식은?
만족입니다!!^^",4년 전
4,"통영은 반찬이 정말 맛있다던데 이 식당은 통영중에서도 평균을 웃도는 맛을 보여주는 것 같다. 반찬이 정말 미치도록 맛있다. 졸복국은 서울의 좀 한다는 곳에서나 느낄 수 있는 수준의 맛이 여기선 그냥 나오고, 어디서도 이 가격에 통영고유의 맛있는 반찬과 깔끔하고 신선한 복국을 동시에 경험해 보긴 힘들 듯 하다.",6년 전
