별점,리뷰,날짜
4,밑반찬이 많아서 좋았고 멍게비빔밥을 이곳에서 처음 먹어봤는데 생각보다 일반적인 비빔밥과 큰 차이를 느끼지 않았네요. 육회비빔밥을 추천합니다. 참고로 육회비빔밥을 주문해야 육회를 따로 더 주문할 수 있습니다.,5달 전
5,"유기그릇에  깔끔하게 차려진
멍게비빔밥 한 상
대접받는 기분이었고,
비싼 한정식집도 아닌데,
사장님의  솜씨와 손님을 대접하는
마음이  요식업 최고 마인드였습니다
반찬마다 다  깔끔하니 맛있었어요
다음에 또 먹고 싶어요~",6달 전
5,"입안이 상쾌하고 멍게향이 도심에서 먹던 향이 아닙니다 진짜 멍게가 여기 있었네요. 너무 좋습니다. 직원분도 너무 친절하시네요. 강추!
주차는 바로 뒤에 공영주차장 30분에 500원 ㅋ",3년 전
5,"첫 손님으로 멍게비빔밥 2인 먹어요!
맛있었습니다. 미역국도 진하고 맛있었어요!",10달 전
5,입구 앞 주차가 불편한 점 이외엔 다 좋았습니다. 늦은 점심으로 멍게비빔밥 2인분을 먹었는데 삭삭 긁어먹울줄은 몰랐네요.,9달 전
5,"정숙이네
모든 실비집이 안주가 주신장 마음인지라
게장 사시미
전갱이 구이
돌멍게는 사장님이 추가로 준거 같으시고
나머지는 기본찬인듯했는데
장어 내장 고소하니 담백하고
피조개, 호래기
특히나 멸치회무침은 비린맛하나 없이
고소했습니다
사이다 하나 맥주 6개 먹었고
어른둘 초등생 한면 해서 89,000원 나왔습니다",4년 전
5,통영의 향기를 느끼고 싶다면 강력 추천. 대형 멍게비빔밥 식당에서는 느낄 수 없는 진정한 손맛.,7년 전
5,"통영 멍게가 오랜만이다.
집사람이 멍게비빔밥 급땡긴다고 해서 다시 찾았으니까 중국에서 5년,그리고 한국 와서 1년만에 갔으니 최소 6년 만인데....
메뉴구성이 살짝 달라지기는 했으나 정갈한 상차림과 바다내음 가득한 풍미는 그대로.
앉은뱅이 식탁이 좌식테이블로 바뀐 것이 눈에 띈다.
예전에 즐겨 찾던 메뉴가 없어져서 살짝 아쉽기는 했지만 다른 메뉴가 올라온 것 같아 다음번에 도전을 해봐야 겠다.
가게뒷편에 유료주차장이 있어서 주차했고 음식 먹고 나오니 대략 40분 소요되어 주차비 700원 지불했는데 이 정도면 선방 아니었는가?
사진은 멍게비빔밥 세트인데 모든 접시 클리어 시킬 정도로 맛도, 양도 적당했다.
깔끔, 정갈, 친절, 만족 네단어로 후기를 마친다.",4년 전
5,깔끔 정갈한 맛. 멍게의 비릿함보다 향긋함이 강해서 맛있었어요 기본 멍게비빔밥과 멍게 무침 먹었는데 무침이 기가막히네요. 처음 접해본 멍게비빔밥 걱정했는데 대만족,6년 전
5,"멍게성게비빔밥을 비비기 전에
사진 찍는걸 잊었네요
참기름  좋은걸 쓰는지
고소했고..
내용물도
식감까지 신경써서
고급진 맛이 났어요
물회는 국수도 주고 밥도 주고
미숫가루?가 들어있었고
참깨의 고소한 맛인지
맛났어요
통영에서
맛집 찾기 쉽지 않던데..
다음에 오면
무조건 다시 들러서
멍게 비빔밥 성게도
먹으렵니다
고양이는 문앞에 누워 있던데
사진은 개인 취향이
들어 갔네요 ㅎㅎ",4년 전
3,"멍게비빔밥세트를 먹었습니다.
멍게비빔밥은 간도 적당하고 바다향이 입안에 퍼지며 맛도 좋았습니다.
세트에 포함되어 나오는 충무김밥반찬에서 어묵은 물컹물컹해서 식감이 별로였고, 무는 너무 시어서 가자미식해에 들어있는 무의 맛과 비슷했습니다.
멍게 샐러드는 멍게가 많지는 않았으나 몇없는 멍게와 샐러드를 함께 곁들일때의 맛은 좋았습니다.
멸치 무침은 새콤해서 멍게비빔밥과 잘어울리는 맛이었습니다.",4년 전
4,화려하진 않지만 멍게비빔밥 향이 오랫동안 입안에 머물러 행복했어요. 다음에도 통영내려오면 꼬옥 먹으려고 저장! 못먹은 성게비빔밥도 먹고싶어요,3년 전
4,"우연히 검색해서 먹어봤는데 맛있었어요
남친이 멍게 못먹어서 굴비빔밥으로 먹었는데 너무맛있다고 내일또 오자구했어요 놋그릇에 정성이 느껴져서 더좋았어요",5년 전
3,"멍게를 위한 멍게에 의한 식당. 멍게를 이용한 모든 요리를 취급하려는 듯한 식당이다. 맛은 그럭저럭 괜찮으나, 통영의 유사메뉴를 취급하는 식당들에 비해 경쟁력 있는 맛과 양인지는 의문이다. 다른가게가 더 맛있었다. 반찬맛도 그냥 그렇고 말이다. 멍게요리만 하다보니 무리수메뉴가 많았다. 멍게비빔밥은 도시에서 먹던 그 맛이고, 멍게전은 내가 멍게를 정말 좋아함에도 고개를 저었다. 이런걸 왜 만들었는지?",6년 전
5,"경남 통영에 갈때마다 거의 방문하는 식당 입니다~~^^
한 6~7년 전부터 최소 20번 이상은 방문한 듯 하네효
대표 메뉴인 멍게, 합자국, 해초, 꼬막, 성게, 멍게성게, 전복장 비빔밥에 여름 별미인 물회까지 와다비빔밥빼구 다 맛 보았구효~ 전반적으로 다 맛났어효 밑반찬도 깔끔했구효~
근데 멍게비빔밥세트의 생멸치무침은 조금 호불호가 갈릴듯... 그래두 멍게비빔밥과 물회가 별미이긴했는데 물회는 여름만 한다는게 너무 아쉬웠어효 물회 국물에 밥말아서 먹으면 겨울에 먹어두 맛날것 같은데...ㅡㅡ?
암툰 전 다음에 통영에 방문해도 멍게가에서 밥먹구 있을 듯...",2년 전
5,멍게비빔밥.. 맛있게 잘 먹었다. 윗지방 사시는 분은 간을 조금 싱겁게 해달라고 하시면 더 맛있게 드실 수 있을 것 같아요~^^,3년 전
5,"멍개 셋트
반찬도 전부 맛있었요.
멍개비빔밥은 말할것두 없구요.
주차는 뒷편 공용주차장 있어요.
30분 500원 정도",2년 전
4,"해초향이 가득한 멍게비빔밥입니다. 멍게향도 아주 좋은게 신선함이 느껴집니다. 주차는 가게 코너를 돌면 유료공영주차장을 이용해야 합니다. 통영 현지분의 추천을 받았는데, 그 분 말씀으로는 이곳 사장님께서 요리에 철학을 가지신 분이라고 하셨습니다. 가게에 방문해보니 저도 그런 분위기를 느낄 수 있었습니다.",4년 전
4,바다의 풍미가 가득한 멍게비빔밥~~멍게양이 조금만 더 많았으면하는 아쉬움은 있습니다^^;;,4년 전
3,멍게가 많이 비려요~ 홍합은 마시써요 생멸치회 무침은 죽여요!!,7년 전
4,"멍게를 사용한 매우 다채로운 메뉴가 있으며 맛 또한 맛있습니다 그 외에도 메뉴가 있으니 통영에 오시면 들릴만 하다고 생각합니다 가게 자체는 큰 편이 아니며 고양이가 있기 때문에 주의하실분은 주의해주세요 통영시장에서 먼 편도 아니기에 위치상으로도 괜찮다고 봅니다

저는 꼬막비빔밥을 먹었는데 맛있더군요",1년 전
5,위치도 좋고 맛도 좋고! 우와 일타이피의 멍게비빔밥 맛집,3년 전
5,멍게 향이 좋고 다양한 밑반찬 맛을 볼 수 있어 촣음,4년 전
5,점심식사 시간을 피해서,2달 전
5,멍게 비빔밥과 해물 된뚝배기! 거기다 맛좋은 반찬까지 기다린 만큼 비싼만큼 푸짐한 한상이었습니다 강추!!,7년 전
4,멍게가 아주 맛있음 근데 미역국은 더 맛있음 ㅎㅎ 물회는 쏘우쏘우,5년 전
5,멍게비빕밥 아주 맛있어요,3년 전
4,맛있는 맛집. 가격이 조금 많이 비싸고 혼자 갔을 땐 세트메뉴가 안된다...... 혼자라서 슬픔ㅠ 명란젓 맛있다.,8년 전
5,"멍게, 성게 비빔밥 아주 실하고 무엇보다 멍게무침이 진~~짜 맛있는 맛집이다!",4년 전
4,"싱싱한 멍게~맛이가 있습니다
3시부터4시까지 브레끼 타임이니 참고 하셔서 가세요~",3년 전
5,정갈. 담백. 깔끔합니다. 추천드려요,1년 전
4,"맛있어요.
줄서기했고 점심 마지막 순번...",7년 전
5,멍게비빔밥 맛 깔끔하고 반찬6가지 깔끔하고 간도 나하고 잘 맞네. 담백한 미역국은 개인적으로 별로라서. .   대구탕 국물이 아쉽네. 멍게 세트 메뉴도 다양하게 있는데 배고플때 좋을 듯. 주차장은 없고 유료주차장 지원도 없네요.,4년 전
4,신선한 멍게향과 꼬득꼬득 씹히는 해초가 달달한 양념과 환상의 조화를 이루네요. 저희집근처에도 있었으면 좋으련만~사전예약을 하게되면 다양한 멍게요리를 주문할수 있게 되었네요~맛있게 드시길~^^,5년 전
4,"멍게 비빔밥은 취향이 아니라 물회를 시켰는데 대박
물회 맛있어요 반찬도 정갈하고 맛있고 정성이 느껴지네요 물회는 자극적이지 않고 시원한맛 !
주차는 주변 유료주차장에 하세요 통영은 주차비가 싸요",4년 전
5,멍게비빔밥이 향긋하고 깔끔 합니다. 양은 많지않습니다.,7년 전
1,"명성이 자자하다고하여 방문했으나 완전 실망
멍게 양~엄청짜고 쉰반찬~여하튼 비추
개인적인 의견입니다",4년 전
3,"통영 멍게비빔밥은 초고추장 넣어 비벼먹는거만 먹어봤는데 이 집은 전통간장이었어요~~집안 비법간장이라는데 좀 짠 국간장 느낌~~
바닷가 건물 뒤로 앉아 잘 찾지는 못할거 같고..일 하는 사람들이 좀 어려보여그런지 맛집처럼은 안느껴지고 테이블도 여섯 일곱개 정도  많은 인원이 가기엔 좀 복잡하구요..신발 벗고 들어가 앉는 좌식타입이에요.",5년 전
4,의례 구도심의 맛집은 지저분할 거라는 편견을 깨고 깔끔한 인테리어 반오픈형 주방에서 신뢰감 상승. 맛은 평소 잘 먹던 음식이 아니라 기준이 없지만 깔끔하게 잘 먹었습니다.,4년 전
4,"멍게가 싱싱하고 멍게의 향이 올라와서 좋았어요. 양념이 있는지 모를정도. 대식가한테는 양이 조금 부족합니다. 멍게 세트에서 꿀빵은 그냥그냥..
주차공긴이 없어서 가게 앞에 한 두대 정도. 이부분이 좀 아쉬워요.",4년 전
5,금액도 괜찮고 특히 성게비빔밥 정~~~~말 맛있음,4년 전
5,통영닷찌중에서 짱   이정도 상차림이면 서울같으면 최소 30만원 정도 나올 건데도 너무싸요 4명이서  맥주5병에 소주1병마시고 각종해산물에 매운탕까지 먹었는데  12만원 나왔어요  나중에 그만 달라고 까지했는데  암튼 강추입니다,4년 전
2,"통영을 방문하면서 인터넷과 방송매체에서 정보를 얻었습니다. 그중 멍게가에 대한 추천이 있었기에 방문했었습니다.
대표메뉴인 멍게비빔밥과 해물뚝배기를 주문했습니다.
결론부터 말한다면 실망이었습니다.
가격? 비쌉니다. 멍게비빔밥에는 멍게가 밥위에 한숫가락정도? 올려져 있더군요. 비벼 먹으면서 멍게를 씹기가 힘들었습니다.
해물뚝배기가 나왔을때... 괜찮네 라고 생각했습니다. 제주도에서 먹었던 해물뚝배기보다는 작았지만 괜찮다는 생각이었습니다.
그런데.. 뚝배기 1개가 2인분이었습니다. 가성비가 확 떨어졌습니다.
솔직히 서울에서도 멍게가에서 파는 음식들의 가격은 멍게가보다 비싸지 않습니다.
결론은..
맛은 그럭저럭, 가격은 저렴하지 않음. 서비스? 그다지.
맛과 가격을 생각해보니 일부러 가서 먹을만한 곳은 아니라는 생각입니다.
주차는 주변 공영주차장을 이용할수 있습니다.",5년 전
3,명게향이 입안 가득. 건강하게 만든 멍게비비밥을 꼭 드셔 보세요. 신선한 회가 들어간 물회도 더워지는 날에 입맛을 돋구지요.,5년 전
3,"특색있어요 고추장에 비벼먹는 비빔밥 아닙니다.
그 특색으로 호불호는 좀 있네요 저는 맛있게 먹었는데 같이간  일행들은 못먹었어요",7년 전
3,가게 오픈 10분 전에 도착해서 혹시 먼저 들어가 있어도 되냐고 여쭈어보니 다소 냉담한 말투로 거부당했었습니다. 물론 영업시간 이전에 도착한 건 저희였기에 영하 2도의 날씨에 어르신을 비롯한 가족 8명이 사거리에서 기다렸습니다. 음식 맛은 그럭저럭 먹을만 했습니다. 그러나 수요미식회에 나오는 등 너무나 기대를 하고 간 탓인지 기대치를 충족시킬 수는 없었습니다. 또한 종업원의 퉁명스러운 태도가 살짝 마음에 걸려 식사 내내 어르신분들을 모시고 밥을 먹는 데 있어 불편함을 느꼈습니다. 이 점은 충분히 개선할 수 있을 거라 믿고 음식 맛은 괜찮았기 때문에 3점 드립니다.,6년 전
2,"멍게비빔밥정식을 맛봤습니다. 수요미식회에 나왔던 식당이라 밖에 씌여있었습니다. 그렇지만 예상보다는 멍게비빔밥이 다소 실망이었습니다. 멍게의 향은 다소 약했고 멍게는 적은 듯 했습니다. 중간쯤 그릇을 비울때쯤에는 조금 푸석거리는 느낌이었습니다. 그렇지만 찬으로 나온 멸치무침은 그런대로 맛났으나 샐러드는 다소 신맛이 강해 식단에 반찬류 전체가 강한듯한 인상을 받았습니다. 비빔밥을 제외하고는요~
수요미식회 맞나요??",6년 전
2,"멍개향은 진하게 풍기나 밥이 너무꼬들하고
질서가 없슴.
전용 주차장도 구비 되어있지 않고.
주차권도 발매 되지 않슴..",6년 전
1,"별점 하나도 아까움 맛은 둘째치고
방문했더니 뒤에 예약손님 우르르 들어오니 순서무시하고 그냥 대충먹고가래..어이없음
시간 걸리니 탕도 안된다네

여기 가시는분은 그냥 돈받고 가시는듯",4년 전
5,"상대적으로 멍게보다 해조류등이 더 들어갔지만 적당한 발란스로 맛을 낸 집!
비린것 싫어하는 와이프도 상대적으로 덜 비려서 먹기 좋았다는 평",7년 전
1,일단 일하는 알바생 불친절했어요~ 고딩같이 보였는데 말투가 ㅡㅡ 사람봐가면서 대하는 느낌 . 성게비빔밥 시켰는데 평범한 맛이었고 성게도 조금이고 반찬도 .. 개선하셔야할듯  방송보고 갔는데 실망이네요,6년 전
4,일행모두 그릇을 비울정도로 아주 맛있게 식사했슴. 키크고미남인 남자직원의 콧소리 서빙이 특징.,6년 전
3,"수요미식회에 나와서 가 봤어요
멍게비빔밥과 물회를 먹어서요
단백한 맛이 좋아서요 조미료를 넣지않아 맛이 좋아서요",6년 전
