별점,리뷰,날짜
5,생선 양 많고 맛있고 밑반찬도 좋아요. 전체적으로 가성비가 아주 좋은 곳 입니다.,4주 전
5,"가성비 최고 👍 (1인분 8천원)
2인 이상 시켜야 한다지만
생선을 좋아한다면! 혼자와서 2인분 시켜도 될 갓 같습니다.

겨울에 생선 종류가 더 다양하다고 하네요.
겨울에 다시 와야겠어요

사장님도 넘 친절하시고 짱짱짱

If you LOVE and wanna try Korean fish !
This is THE PLACE",5년 전
5,생선구이 맛집예요. 반찬도 맛있고 마지막에 누룽지도  맛있는 쌀이라 그런지 꿀맛~ 맛집 투어하느라 넘 배가 부른데 여기도 꼭 도전해보고 싶어서 5명이 4개 시켰더니 살짝 눈치주셨...  죄송요..문열고 30분후 갔더니 20분은 대기했어요,2년 전
5,"저렴한 가격으로 푸짐하게 대접받은 느낌입니다.
반찬도 다 맛있고, 정겨운 식당이었습니다.
신선한 생선구이였고, 후식으로 나오는 숭늉도 좋았습니다.
바로 앞에 통영여객선터미널이라 찾기 쉽고, 터미널에 주차해서 좋았습니다.
강구안이랑도 가깝고, 무조건 재방문하고 싶습니다.",2년 전
5,"생선구이 역대 1위 ㅎ

사장님 혼자 하시다 보니.  아쉬운점은
식는 생선.   미리 굽는 거 정도?

.
.

그외엔 이가격에  어떤 불만을 얘기해선 안될듯.
양 많고,  싸고 , 맛있고
가운데 아나고. 바다장어 정말 맛있음 ㅎ",4년 전
2,"맛집은 아님..
속초에서 길에서 파는 꽁치보다 맛은 없네요.
바로 구워주는게 아니고 구워놨다 간장 양념장 얹어 나오는듯..
생선구성은 삼치토막하고 각종 잡어..
양은 많이 주는데..
전체적으로 퍽퍽하고 맛없네요..
밑반찬은 맛있는편.
무채무침. 도라지오이무침..
6시 좀 넘어서 방문 했는데 우리 다음팀이 마지막..
그 다음팀은 재료소진으로 밥 못먹고 감..
친절하고 다 좋은데..
양보단 조금 주더라도 맛있는 생선으로 줬으면 좋을듯..
구워 놓은지 오래되서 그런가 생선이 맛없는 생선 인가요..ㅜㅠ
아까워서 싸가지도 왔는데..
집에 가져와 먹으니 더 맛없네요..
버려야 할듯..ㅋ
사진은 3인분..",2년 전
5,"통영에 맛있는 생선구이집!
대가리 빼고 다 먹었어요 ㅎㅎ
반찬도 맛있고 생선은 담백하고, 밥도 하나 더 추가해서 먹고…(숭늉이 나오는지 몰랐어요)

이 식당을 두번째 찾았는데 첫번째때는 생선이 다 팔려서 먹지 못했어요. 이번엔 꼭 먹겠다며 찾아갔는데 (주중) 1시 20분쯤 되니 생선이 다 떨어져서 그때부터는 손님을 받지 않더라구요. 이번에는 먹을 수 있어서 다행이란 생각이 들었어요..

담백하고 맛있는 생선에 장어도 맛있고..
다음에도 또 들리고 싶은 곳입니다. 최고 🙌",2년 전
5,"생선에 양념이 올라가 진정 밥 도둑
밑반찬과 생선 깔끔합니다.
밥 먹고 나오는 숭늉도 맛있어요.",5년 전
5,"오랫만에 찾은 기가 막힌 맛집입니다.
이제는 통영에서의 나의 단골집은 명촌식당입니다.
두말 필요없습니다.
직접 맛을 보시고 얘기하세요
사진에 보이는게 2인분입니다.
1인분에 8,000원입니다.
마지막은 누룽지밥입니다.
제가 가본 생선구이집에서 최고최고최고의 식당입니다.
번창하세요",4년 전
4,"생선구이 정식 단일메뉴로 8.0
맛있고 양이 많아요
엄청난 맛집은 아니지만 맛있게 먹었어요
주차할 곳이 불편하긴 하지만 골목 잘 돌아다니면 자리 있어요",4년 전
5,"200912 1인 8천원 11시 30분 정도 여시는 것 같아요~
양 많음, 근데 굳이 멀리 찾아가거나 줄 서서 먹을 곳은 아니예요. 가성비가 장점인듯",수정일: 4년 전
4,"생선구이 맛있고 양이 푸짐하네요 !
총각김치도 맛있었어요 !
가격도 저렴, 식당에 생선냄새가 많이 나는 것이 빼고는 좋았어요.",6년 전
5,"생선구이 개당 팔천원
생선이 각각 달라서 식감도 다양하고 좋았어요 점심시간 딱맞춰 가면 좀 밀려요 예약하고 가세요~",4년 전
5,"1인분 7,000원의 행복!!!
서호시장앞 유료주차장에 차세우고 시장구경하고나와서 맛집검색하니 바로앞~
명촌식당!!
메뉴는 딱하나 생선구이백반!!
반찬이랑 시락국이랑 구운생선이랑 밥한그릇
뚝딱했다~~
고급생선은 아니지만 싱싱하고 양념장이 뿌려져서인지 더 맛있었다",6년 전
