별점,리뷰,날짜
4,"저녁시간에 자리가 없어 점심에 방문하여 점심특선 비빔밥을 먹었습니다. 전통나물비빔밥은 고추장 없이 비벼서 먹는데 경상도 지방의 명절이나 제사 후 먹는 비빔밥과 같습니다. 고추장 없이 비벼먹는 것을 추천합니다. 멍게비빔밥도 괜찮은데 개인적으로는 좀 진한 멍게맛을 좋아해서 멍게가 좀 부족하게 느껴지긴 했습니다. 밑반찬으로 나오는 풀치조림, 새우조림장이나 반건조 생선도 맛있습니다. 주변에 보니 점심특선도 드시지만 단체로 오셔서 다찌를 드시는 분들도 계셨는데 단체로 여행오시는 분들은 점심에 따찌를 드시는게 여유있게 드시기 좋은것 같습니다.",1년 전
1,"일단 테이블부터 맘에 안들었어요. 직원들 서빙할때쓰는 카트가 옆에 계속 닿고 지나가던 손님이 젓가락을 떨어트리고... 그리고 이곳은 1인당으로 주문을 하는데 비슷하게온 2인상하고 헷갈렸는지 처음 서빙부터 잘못됨.. 상당히 기분나쁨요. 해산물 추가 뱔도로 메뉴에 표기도 안되어 있고 추가 가능한지 물어보니 금액도 안알려주고 추가라고만함... 소라랑 문어 추가해봐야 만원도 안할양인데... 3인분 주문했는데... 거져먹기 장사하시는 사장님 .. 이곳에 꽃계에 양념만 뿌려주고 회라고 하는데 얼어있는 상태로 회라고 잘라서 그냥 준다... 물회의 오징어도 국산 아닌 수입산 대왕오징어 느낌.. 냉동실 제품 그냥 담아서 육수에 담가준 음식.. 돈주고 이렇게 아깝다고 느끼기는 처음. 그얖에 로컬다찌 갈껄... 사장님 인상도 별로임.. 입구에서 손님이 들어와도 인사도 안함.. 최악의 식당...
절대 네버~~~ 가지마세요. 여긴 망해봐야 아는 곳이에요",1년 전
5,"통영사는 친구한테 다찌집 괜찮은곳 추천해달라니 벅수다찌가 제일 괜찮다고해서 갔는데요. 금호리조트에서 가깝고  식당안도 깔끔하구요. 테이블마다 키오스크 있어서 주문이 편리했어요. 음식도 여러가지 맛볼수있어서 좋았고 회랑 해산물도 싱싱했어요. 매운탕,튀김, 생선구이, 새우장,꽃게무침....하나같이 다 맛있어서. 1인 5만원이면 가성비가 아주 훌륭하더라구요.
지인4명과 갔는데 다들 만족스러운 식사였어요.
재방문의사 있어요",1년 전
4,"다양한 해산물을 경험할수 있어 좋습니다 해산물 신상도는 현지인만큼 최상이나  회는 조금  중상정도
인당 5만원 이다보니 여럿이 갈경우 금액이 커져 모든 음식에  퀄리티를 기대하다다보니 기대보다 아쉬운점이...
두명정도 가심 추천 2명이상이면 약간 고려해보심이...
다찌를 첨 가보시고 다양한 해산물을 경험 해보고 싶으시다면 추천",2년 전
5,"처음으로 통영 다찌집을 가봤습니다. 알쓸신잡에 나왔다던 벅수다찌 집에 갔습니다. 예약은 4인부터 가능하다고 해서 저녁시간대에 그냥 찾아갔습니다. 30분정도 기다렸다가 자리에 앉았습니다. 다찌상 주문은 술 포함이거나 아니거나 선택할수 있고, 술포함 인당 44000원입니다.
첫상에는 각종 해산물과 회가 나왔고 둘째 상에 구이와 튀김, 매운탕까지 나왔습니다. 우선 음식들이 하나도 빠지는게 없이 맛있습니다. 쩌리로 나오는 단호박이나 고등어 조림도 아주 괜찮았습니다. 멍게와 멍게속회가 아주아주 좋았고 낙지도 괜찮고 횟감도 아주 상태가 좋았습니다.
직원분들도 엄청 친절하시고 매장도 깨끗해서 광장히 좋았습니다. 통영 오시는 분들 꼭 다찌집 들려보시길 추천드립니다. 저도 주로 통영에서 회만 먹고 갔는데 다찌집이 여러 해산물을 즐기기에 딱좋더라구요. 강강강강추추추추추 들입따 드립니다~~~",3년 전
1,블로그의 힘인듯.음식궁합도안맞추고 가격은 주위다찌중 젤비싼데 너무 소홀함.간장게장위에 단감은왜올리시는지.ㅜㅜ게장에 감은 궁합안맞기로 유명한데요.음식하시는분이 그런지식도없으신듯.게장도 언채로나오고 음식들이 너무성의없어요.5명인데 음식을아끼시네요.음식장사에서 그것도 다찌에서 음식을아끼다니.참.,2년 전
4,"만석일경우  한시간반정도기다렸어요
6시에가서 7시반에 들어감!(토요일)
8시에오신분들은 웨이팅 30분정도함!
통영전통다찌집처럼 술추가한다고해서
안주가더나오진않아요!
코스중 더먹고싶으건 추가해서 주문해야함.
개인적으로 게사시미(냉동게,간장양념)
새우게장(쫀득쪽든함) 마싯었어요
다른해산물은  평소먹던거보다 싱싱한느낌.
주차는인근 한산대첩광장공영주차장 이용을
추천드려요 가게앞골목은 좁고 주차할곳이잘없어요
아이가있으신분들은
추가하실필요는 없는거같애요
전복죽, 부추전,생선까스,튀김류,
생선구이 함께드심됨",4년 전
5,"통영 음식문화의 꽃이라는 다찌집에 꼭 가보려고 했는데, 검색해보니 벅수다찌가 괜찮아 보여서 네이버 예약해서 갔습니다. 주차장이 따로 없어서 불편했던 것 빼고는 만족만족 대만족! 주변 공영주차장 찾아서 주차하고 들어갔습니다. 예약해서인지 2층의 룸처럼 된 안쪽으로 안내받았습니다. 서버들은 친절하지만 메뉴에 대한 설명이 필요한 부분이 조금 안되어 있는 분들도 계셔서 궁금해 하면서 먹은 음식들도 있었네요. 대체로 음식은 깔끔하고 맛있었어요. 먹어보지 못했던 해산물들을 다 먹어본 것 같네요. 한 끼에 여섯 끼 정도 몰아서 먹은 느낌이랄까. 마지막에 잡어 매운탕에 고등어조림, 튀김이 나왔는데 배불러서 속상할 정도로 맛있는 것들로 채워진 한 상. 사람들이 많아서 시끌시끌 했기도 했고 남도언어의 힘찬 말들로 더 정신이 없었지만, 꼭 경험해보고 싶었던 다찌집에 대한 좋은 기억만 가지고 갑니다.",3년 전
5,다른 다찌집에 비해 인테리어나 음식이 고급스러움. 재료들도 신선하구 맛있었네요. 가격은 비싸지만 다시 방문하고 싶습니다. 4명이 가서 먹는데도 97프로만 먹은듯.,3년 전
5,"1인 4만4천원 술있는다찌로 회와 해산물로 구성된 저대로된 통영음식 한상을 먹었습니다.

특히 서빙하시는 분들이 음식 설명을 잘하고 궁금한것도 잘 대답 해주시는게 음식을 알고 먹을수 있어서 더 기억어 남는듯 했습니다",3년 전
