별점,리뷰,날짜
5,"1.1978년부터 영업했다는데 너무 깔끔하고 맛있었습니다.

2.사장님께서 알려주신대로 복국에 식초 한번 두르고 양념장 조금 넣어 먹으니 너무 맛있었습니다.

3.거리만 가까우면 정말 자주 오고 싶은 집입니다.

4. 통영여객선 선착장에 주차하고 오시면 1시간 무료입니다

5.밑반찬도 된장도 정말 맛있습니다

6.밑반찬 제공된 병어회를 된장과 마늘과 함께 먹어보심 맛이 아주 좋습니다",3달 전
4,이집은 점심에 웨이팅하는곳으로 졸복으로 유명한곳입니다. 그날 재료소진되면 장사 안합니다. 해장하기도 좋구 밑반찬도 괜찮아요,2달 전
5,"본점은 다름 맛 보장
다른 지점보다 복어양도 많고 정갈 깔끔
밥도 윤기가 흐르고 밥그릇도 내가 좋아하는 옛날 밥그릇^^
친절은 덤
온누리 상품권 사용 가능합니다",1달 전
4,복국맛집입니다.. 서호시장내 아주 유명 맛집이라 항상 붐비는거 같아요,5달 전
4,시원한 국물맛이 일품임. 식사 끝까지 시원한 국물맛을 느끼고 싶어서 복국에 밥을 말지 않게 됨. 밑반찬으로 생선회가 곁들여 나오는 것도 마음에 듦. 다만 가격은 착하지 않음. ^^; 가게는 작고 아담하지만 깨끗한 편,3년 전
5,"전날의 과음으로 인한 숙취가 확 내려간 복국.
서호시장내 시락국을 갈까하다 급유턴해서 수년만에 다시 방문한 곳이라 가격도 낯설고 복국 속 졸복이 몇마리 줄었나?? 싶기도 했지만 정갈한 밑반찬과 뜨끈한 국물은 역시 일품. 입맛에 맞춰 식초를 조금 넣으면 또 다르게 맛이 살아난다.
주말 늦은 아침이여서 그런지 적당한 손님들 사이에서 여유있게 식사를 할수 있었다.
복국에 또 술한잔 하고 싶은 마음을 참기란..
복국 14,000원. 복매운탕 16,000원. 아깝지 않다.
근처 여객선터미널 주차장 1시간 주차 지원 된다.",1년 전
5,술마신 다음날 무조건 먹어줘야하는 복국입니다. 해장의 끝판왕이라고 할수 있습니다. 맑은시원한 국물이 뭄을 씻겨주는 기분읗 느껴보세요. 통영에 오면 꼭먹어야하는 맛집 추천입니다.,10달 전
5,"통영의 졸복국 맛집. 서호시장 끄트머리에 위치한 자그마한 식당인데 해장이든 아니든 이렇게 맑은 국물이 이렇게 깊은 맛을 낼 수 있다는 사실에 감동할 수 밖에 없는 곳입니다. 평소에 미나리를 그다지 좋아하는 편이 아닌데도 여기서는 졸복의 쫄깃한 식감과 더불어 엄청 맑고 깊은 국물에 반해서 미나리와 콩나물을 흡입하는 스스로를 보며 놀랐습니다... 몸과 마음이 정화되는 국밥 한 그릇입니다. 가격은 보통 사이즈 1.4만원, 특 1.6만원이라 국밥 치고는 가격이 좀 있는데 그래도 전혀 아깝지 않습니다. 주차는 가게 앞 운좋으면 1대 정도 가능하고 아이들을 데려가도 매우 친절하게 대해주시는데 애들조차 복국을 잘 먹었습니다. 매운탕과는 달리 구운 생선처럼 쫄깃하고 맵지 않아서 아이들도 의외로 잘 먹습니다.",1년 전
5,"인근 여객터미널에 주차한뒤 서호시장 입구쪽에 있는
부일식당 쪽복탕 먹으러 들림
오래된가게이고 슴슴하고 시원한 맛이 일품이라
통영올때마다 들린다던 지인 추천으로 가봤는데
첫술은 밍밍하면서 맑고 시원한 느낌
다데기와 청양고추 식초 듬뿍쳐서 먹으니 뒷통수 부터 땀이 흘러 내리면서 삼일전에 과음했던 알콜들이 다빠져나가는 느낌이 듬
밑반찬은 그리 특색있게 맛있는 편이 아니고...제철 회가 올라오는데 오늘은 병어세꼬시가 올라옴
반찬중 호래기 젓이 괜찮고 멸치젓은 너무 짜서 패스
암튼 통영에서 해장으로는 남바원~!!",2년 전
3,"오래된 통영 노포맛집 복국맛집
나는 다진마늘 한숟가락을 요청하고싶었다 슴슴한 재료본연의맛? 일행분은 콩나물맛만난다고ㅠ 너무 슴슴했다
대구에 해금강복지리 인생복국
부일식당은 국물맛이아쉽지만
병어회를 맛볼수있다는 장점이",2년 전
5,해장하러 가끔 가는곳입니다. 졸복국 시원하니 맛나고 해장하러 갔다가 간혹 술까지 또 달리게 되는 그런곳. 그리고 직접 담은 각종 젓갈도 판매하니 사드셔보세요,4년 전
3,"맛집 추천받고 간곳인데 같이간 일행은 국물이 짜서 별로였다고 하네요. 밑반찬도 평범했어요.
그냥 길가에 아무곳이나 들어가서 먹었던곳이 더맛있었어요.",1년 전
5,"정말 맛있는 식당을 찾았네요! 이런 식당이 대전에도 있었으면, 자주 방문했을텐데! 아쉽네요! 찐 맛집입니다. 복국 최고!",1년 전
