별점,리뷰,날짜
5,"통영시 카페 *삼문당커피로스터*
서피랑 구경하고 잠시 쉬러 들린 카페!
아메리카노와 플랫화이트 주문!
분위기 좋고~커피도 맛있고..맛있고..맛있고..☕️",2달 전
5,"첫 방문은 분위기였습니다.
분위기에 이끌려 들어간 카페였는데, 커피맛에 반하고
두번째 방문이었어요.
커피맛 말모.. (필터커피)
*커피메뉴 말고는 먹을게 많이는 없어요.
ㄴ같이간 친구가 커피는 싫다해서 사과차를 시켰는데 대박 진짜 맛있었다네요 (동의하는부분..)",1년 전
5,분위기 좋은 카페입니다. 삼문당 라떼를 주문했고 맛과 향이 아주 좋았습니다. 사장님 및 직원 분들이 매우 친절 하셨습니다. 다만 내부가 넓지 않아 손님이 많을 경우 대기할 수 있습니다.,2년 전
5,"사장님이 내려주시는 핸드드립커피는 맛이 참좋습니다.

가게 내부의 인테리어도 사장님의 애정이 담겨 있는 것 같습니다.
분위기도 좋고 커피마시면서 기분도 좋아집니다.",4년 전
5,"핸드드립은 물론 블렌딩 커피까지 훌륭하여 매장에서 한 잔 금방마셔버리고, 또 한 잔을 테이크아웃 했습니다. 더불어 원두까지 구매했어요.

삼문당 블렌드와 통영 블렌드 모두 추천합니다.",3년 전
4,"중앙시장에서 도로에 있는 가까운 2층 매장 입니다.
주차공간은 앞쪽 공영 주차장에 하셔야 합니다.",1년 전
4,"드립(파나마라/케냐)랑 에스프레소 먹어봤는데 산미가 쎄서 호불호 있을 듯해요. 개인적으로는 에쏘보다는 드립이 나았고, 에스프레소는 라떼로 먹을걸 아쉬웠어요. 산미있는 커피 좋아하시면 추천합니다.",5달 전
5,"책에서 추천받아서 갔는데 좋았습니다.
라떼에서도 피치맛이 났는데, 잘 어우러져서 좋았습니다.
근처 공영주차장 이용하면 되고,
다음에도 방문하고 싶은 곳이네요.",2년 전
4,옆 가게 표구집 이름이 삼문당이어서 커피집이름도 그렇다고 하십니다. 사장님 멋있었고 친절하셨어요. 마음이 포근해지는 인테리어였어요^^,1년 전
5,핸드드립. 에스프레소 둘 다 맛있어요. 홈카페용 원두도 다양하게 판매하셔서 집에서도 즐길수 있습니다.,2년 전
3,"전부 별5개?
개인취향ㅋㅋ오늘의커피는 산미만 강한 커피향이 없음 초보가 문안하게 먹을만함
여러가지 과일향?커피가 너무 연해서 물맛밖에 안올라오는데?ㅋㅋ
아이슈페너 한잔 적당함ㅋ(가격7천원)크기가 원샷하기좋은 크기입니다ㅋㅋ유명해서 들렸는데 커피여행하는 입장에선 ㅋㅋ여길 궂이 추천?패스할렵니다ㅋ",2년 전
5,"One of my friend who loves tongyoung recommended this coffee shop. The space is very stylish, and my friend and I were very satisfied with the taste. It’s very close from Juangang market and Dongpirang.

통영 맛집을 잘 아는 지인에게 추천받은 장소예요. 드립커피를 마셔보고 싶었지만, 여행의 피로를 녹여줄 달콤한 커피를 원했던 지라 coffee volver를 함께 간 친구는 발로취 초콜릿이 듬뿍 들어간 겨울 한정 메뉴, 카페모카를 주문했는데, 두 잔 모두 아주 만족스러웠답니다. 브라우니가 너무너무 맛있어 보였는데 배가 부른 상태였던지라 못 먹어본 것이 너무 아쉽습니다. 작은 콘서트가 열릴 때도 있는 것 같더라구요. 다음 통영 여행 때도 꼭 다시 들러보고 싶은 장소입니다.",5년 전
5,"서울에 있는 그 어떤 카페와 비교해도 분위기, 커피맛 모두 손색이 없습니다. 직접 구우시는 듯한 브라우니도 너무너무 맛있었어요.",4년 전
5,커피 정말 맛있습니다. 제 인생커피집이 되어있는데 집이랑 편도 5시간 거리군요... 슬프네요...,11달 전
4,"직접 로스팅한
깊은 커피맛을 느낄 수 있어요.
라떼도 아이스라떼도 맛있어요",1년 전
4,진하고 풍부한 커피를 즐길 수 있는 곳입니다. 라떼만 먹는 저로서는 이런 시고 쓰고 달고가 어우러진 커피 좋아요.,4년 전
3,나름 커피에 진심을 다하는거는 알겠는데 그래도 은근 사람 불편하게 하는 서비스 분위기와 산미가 강한 커피맛은 취향에 따라 만족도가 많이 다를 듯합니다..,2년 전
4,"사장님이 친절하시고 내부 분위기와 커피 맛이 좋았습니다.
2층인데다 올라가는 계단이 가파른점과 내부 테이블이 너무 부족한점은 아쉬웠습니다.",5년 전
5,"마셔본 커피 중에서 탑!
자주 못올 곳이라서 너무 아쉽다. ㅜㅜ
케익도 넘 맛있음.",3년 전
5,커피 굉장히 맛있고 분위기도 좋아서 편하게 쉬다가기 좋아요,1년 전
5,"드립으로 너무 좋았던 온두라스
롱블랙도 역시나네요.
싱글오리진 에쏘도 시작했으니 마실게 아주 다양해져서 앞으로 기대됩니다👍👍👍…",2년 전
5,조용한 통영에서 오래된 커피점입니다 공간도 적지만 커피만 팔고 카페라테를 먹었는데 맛있네요,2년 전
5,"독특한 분위기 맛있는 커피
사장님도 친절하시고 흐르는
음악도 감각적이고 참 좋았다
다만 좌석이 그리 많지않다.
북적이지 않는다면 아주 괜찮은 분위기의
통영카페다
개인적으로는 또 가고싶다 ^^",3년 전
5,독특하고 꼼꼼한 인테리어. 맛있는 스콘. 훌륭한 커피.,4년 전
3,"스폐셜티 드립 2종 모두 좋았음
그러나 에쏘쓰는 메뉴는 추천하지 않음",7달 전
5,"나의 아메리카노 시작점ㅎ
자주 애용중입니다~",1년 전
5,커피향이 아주 좋습니다,8달 전
5,"오래된 2층 건물이라 계단 조심히 가야함. 자리도 많이 있지 않지만 분위기가 좋음.
커피 맛과 향도 좋으니 근처이신분들 가보시길.",1년 전
5,꼼빠냐 커피맛이 묵직하고 신선합니다.,3년 전
4,"[통영 스페셜티 삼문당]
삼문당(견과&초콜렛)과 통영(석류&라즈베리) 2가지 블렌딩이 있어요. 가격이 저렴해서 둘 다 시켜서 마시는데 삼문당 쪽이 훨씬 익숙한 맛 통영은 별미의 느낌입니닼",4년 전
4,바나나우유가 찐하고 인공적인 맛 하나 없이 너무 맛있었어요. 근데 자리는 불편해요.,2년 전
5,모카가 맛있어요!,2년 전
3,맛은 스타벅스가 훨씬 낫습니다..,2년 전
2,메밍이는 커피에서 과일맛을 느끼지말고 그냥 과일을 먹자 라고 했다. 난 메밍이꺼 까지 두잔 마셨다,3년 전
5,커피를 그닥 좋아하진 않지만 맛있다라고 느껴본 커피를 파는 곳.,2년 전
5,분위기도 좋고 커피가 정말 좋아요,1년 전
5,아아 아라 드립은 드립대로 굿이죱,4년 전
5,"맛있는 커피
감성있는 분위기
잘생기고 재밌는 사장님
👍…",3년 전
5,"기대이상
맛과 특유의 힙한 분위기
적당한 오너의 서비스
정적수준의 가격",3년 전
1,로스터리 커피 치고 풍미도 별로 맛도 별로 친절도 별로… 찾아갈곳은 아닙니다.,4년 전
5,최고 커피 삼문당!,2년 전
5,통영의 판타스틱 핫플레이스,4년 전
5,드립커피 맛있어요 ㅎㅎ,2년 전
5,"너무나 환상적인 커피.
잊을수가 없어요..",4년 전
5,편안한분위기에 가을에 어울리는느낌이예용,4년 전
5,통영오면 꼭 방문,4년 전
3,어설퍼..,1년 전
5,"통영 최고의 커피를 마실 수 있습니다. 주인장이 직접 로스팅한 좋은 품질의 커피원두를 직접 로스팅한 커피는 딱이고, 통영 블렌디드 에스프레소 라인 ip up은 언제나 옳습니다. 꼭 다시 방문하겠습니다!",5년 전
4,"시골 항구 도시인 통영(통영)에 있는 삼문당과 같은 카페는 스페셜티 커피가 대도시인 서울이나 부산에만 국한되지 않는다는 점을 끊임없이 상기시켜 줍니다. 평택(호커스 포커스 로스터스), 대전(Told A Story), 광주(304 커피 로스터스) 등 이제 대한민국 거의 모든 곳에서 소규모 배치 로스팅 커피를 즐길 수 있습니다.

지역 최초의 '로컬' 소규모 배치 로스터리인 커피 로스터스 수다를 설립한 지 7년 후, 팀은 최근 삼문당 커피 컴퍼니라는 이름으로 2층짜리 장소로 사업을 통합했습니다. 로스팅 랩, 루프탑, 에스프레소 바를 갖춘 복고풍 테마의 작업장 같은 공간은 이 지역을 방문하는 방문객들, 특히 인근 부산에서 온 방문객들에게 빠르게 큰 인기를 끌었습니다. 코로나19로 인해 해외여행이 금지된 상황에서 삼문당은 2층 메인카페에서 정기적으로 재즈, 인디콘서트를 개최하며 통영 관광지에도 이름을 알리는 데 성공했다.

건물 1층에서 밝은 빨간색의 디드리치 IR-5(5kg)로 직접 로스팅하는 삼문당은 에스프레소와 칼리타 웨이브 핸드드립에 어울리는 다양한 계절 커피를 제공합니다.",3년 전
5,"훌륭한 커피, 시원한 분위기.",3년 전
5,좋은 드립 커피와 차,4년 전
5,리뷰 없음,1년 전
4,리뷰 없음,4년 전
5,리뷰 없음,1년 전
1,리뷰 없음,1년 전
5,리뷰 없음,1년 전
4,리뷰 없음,2년 전
5,리뷰 없음,2년 전
1,리뷰 없음,2년 전
5,리뷰 없음,2년 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
