별점,리뷰,날짜
4,토돌복맑은국을 시켰구요 가격이 좀 있지만 전날 과음으로 해장할겸 주문~ 국물이 자극적이지 않고 복어 살이 크게 세덩이 들어있고 밑반찬으로 나온 멸치회랑 멸치젓 맛있게 먹었어요 밥은 반찬에 먹고 국은 뜨끈하게 국대로 먹었네요,3년 전
4,"겨울엔 물메기탕 봄엔 도다리쑥국, 해장엔 복국. 물메기는 싯가라 조금 많이 비싸다. 통영맛집이다. 현지인도 많이가는... 밑반찬은 여느 일반식당과 비슷하게 나옵니다. 주차는 여객선터미널에 주차하심됨. 주차비 저렴해요",4년 전
4,"도톨복으로 복국을 하는 집이라 특히해서
방문했는데,졸복보다 살이 많아요. 국물은 시원한건 당연하구요",6년 전
1,"왠만하면 보통 이상 평가하는 복국 매니아로서 이렇게 맛없는 복국은 처음이었음!
먹다 그냥 나오게 만드는 신세계 맛 이었음!!",2년 전
4,"여객터미널앞에 있네요. 물메기탕을
비롯하여 졸복과 도톨복 지리 매운탕이 눈에 띄네요 알고보니 복요리 전문 집이네요.",7년 전
4,복국 처음 먹어봤는데 깔끔하게 맛난다,3년 전
5,"7년전 봄에 야후에 글을 올리셨던 건다운님의 글을보고 통영 서호시장에  왔건만 목표했던 식당이 문을닫어 난감했었는데 서호시장 상인분의 추천으로 송이식당에 가서 도다리쑥국 과 복국을 너무 맛있게 먹어서 내마음속에 자리잡은 통영하면 생각나는 맛집 송이식당
7년만에 방문해도 그맛은 그대로인듯
이번엔 여름휴가철 방문이라 못먹었던 도다리쑥국을 언젠가는 초봄애 다시와서 꼭먹고 ..",7년 전
5,"도톰복지리 시켰는데 참지리보다 살도 훨 많고 국물 맛 아주 개운하고 시원하고 깔끔했다.
막바지 휴가철이라 비엄청와서 시장쪽 갔다가 사람들 많은쪽으로 그냥 막 뛰어 들어갔는데 맛집이었네~
해물 뚝배기도 맛있는것 같았다. 국물맛만 살짝 봤는데 재료가 좋아 그런지 얼큰시원 조미료맛 거의 없는듯 했다.그래도 복집이니까 복이 최고~!",7년 전
2,"멸치젓깔이 아주맛있었어요!
리필원했는데 흔쾌히 주시더라구요ㅎ근데 따로 판매하시더라구요ㅎㅎ 민망;;;
지리국이랑 매운탕을 먹었는데 지리탕은 두돌아기가 먹을수있을만큼 맵지않고 단백했습니다. 성인들 먹기엔 매운탕을 추천드려요. 참! 식초를 살짝 넣고 드시는거 아시나요? 전 거기서 첨 알았어요ㅋ
제 개인적으론 만원넘게먹을만한 맛은 전혀 아니었어요ㅋ 게다가 한입 딱 뜨고나니 머리카락인지.. 짧은헤어가 나와서 전 못먹었어요. 아침부터 타이밍이 안맞아서 못먹다가 6시쯤 먹은 첫끼였었는데 전 멸치고추젓깔로 한그릇 먹었습니다. 시부모님과 함께한 식사자리가 아니었으면 바로 컨플레인이었는데 그냥 나왔네요ㅋ",6년 전
4,그냥 들어갔는데 만족했음 기대치가 낮아서 그랬는지 기장 멸치전문점에서 냉동멸치 주는데 통영이라 그런지 생멸치나왔음..가격도 저렴,6년 전
4,시원한 맑은탕,7달 전
3,해물뚝배기 맛은 나쁘지 않고 깔끔하나 가격이 12000원으로 비싼편. 반찬도 조금 아쉬움,5년 전
4,가성비가 좋네요. 음식도 맛있는데 호불호는 조 있을 것 같아요.,6년 전
4,"복 국물이 제대로,
멸치육젓이 밥도둑이어요,",5년 전
5,봄메뉴 도다리쑥국 멍게비빔밥도 맛있어요,8년 전
4,통영의 몇안되는 복국의 참맛을 음미할수있는집,2년 전
4,복국전문점이지만 졸복 맑은탕이 시원해요,5년 전
4,"멍개 비빔밥 맜있게 먹고, 다른 서브스도 잘 해줍니다",4년 전
4,"복국 지리 강력 추천입니다
해장국으로 짱입니다",6년 전
4,반찬으로나온 멸치무침  좋아요,6년 전
5,"졸복전문점
계절특미
봄~도다리쑥국
겨울~물메기탕
통영특미
멍게비빕밥",12년 전
1,넘실망한식당이네요...두번은 안갈듯,3년 전
5,"친구랑 가족이랑 복국,복매운탕,계절매운탕 굿임다",6년 전
4,흔하게 먹을수 없는 쫄복으로 만드는 복국전문점,7년 전
3,물메기탕 15000원 평타,6년 전
5,너무 맛있고 친절함,6년 전
5,맛있었어요,2년 전
5,복국 맛이 일품이다,3년 전
3,그냥그렇네요,1년 전
3,도다리 쑥국을 팝니다.,6년 전
5,시원한 맛,2년 전
4,좋아 요,6년 전
5,맛있는집,4년 전
4,깔끔한음식,5년 전
2,비추!,2년 전
5,"투명한 수프, 맛있는",1달 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
4,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
3,리뷰 없음,6년 전
2,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,7년 전
3,리뷰 없음,7년 전
