별점,리뷰,날짜
4,가성비 괜찮은데 인당 3만원이면 아쉽고 2만 5천원이 딱 적당한 느낌입니다ㅋㅋ 주차는 옆에 유료주차장에서 하면 주차권 주십니다! 근데 주말 1시에 갔는데 만차네요 ㅠㅠ,2년 전
5,"맛있는 곳입니다 조화롭고 넉넉하니 잘 먹고 왔네요
쵝오예요!!!",3년 전
5,통영의 축복..  😚,3달 전
5,모처럼 통영에 왔다가 외관이 깔끔하여 들어가게 된 곳입니다. 식사 중 음식이 너무 좋아 평점이 궁금해 검색해보니 엄청 높은 곳이네요. 비가 하루 종일 오는 날 저녁에 생선 구이와 매운탕으로 가볍게 주문한 음식에 정성이 담겨있어서 감동이었습니다. 통영에 들리게 된다면 꼭 찾고 싶은 곳입니다.,2년 전
5,"2년전에도 지인의 소개로 한번 간적이 있는데
그때 너무 깔끔하고 맛나서 기억을 되짚어 다시
찾아갔다 룸을 주셔서 신랑하고 둘이 음식에만
집중하며 방해받지 않고 조용히 먹으니 너무
좋았고 (사실 서빙 속도는 조금 빠른 편이어서
배는 불러 오는데 맛난거 놓칠까봐 마음이
급하기는 했다)  회도 신선하고 나오는
야채나 사이드디쉬들도 하나같이 넉넉하고
맛있고!  남기기가 아까워 적정량을 한참
초과해서 욕심껏 먹었더니 나올때는 일어나기가
힘들정도로 배가 터질 지경이었다 ㅋ~",4년 전
3,서비스. 분위기 좋으나 나오는 음식대비 가격이 너무 비싸다고 느껴집니다. 내 돈 주고는 힘들고 사무실 손님 접대 할때는 갈만합니다.,1년 전
4,"맛 서비스 분위기 좋아요.
단 가성비는  통영 기타 다찌집에비해 좀 떨어지는듯.",1년 전
1,"돈 값 못함
회도 싼것만 나오고
서비스도 구리고
코스요리인데 반도 안먹었는데 다음요리 밀어넣는걸 마지막 음식까지 함
처음부터 끝까지 음식을 밀어넣음",4년 전
5,"좋았습니다
해산물도 싱싱하고
제가 사는 부산보다
좋았습니다사진이 없어
아쉽네요",3년 전
5,코스가 메인이 먼저 나오고 그외가 뒤에 나오더라고요. 회도 싱싱하고 깔끔하고 맛있었어요.,3년 전
4,자연산 생선 만을 고집하는 믿을수 있는 통영 맛집으로 생각 합니다.,2년 전
5,"명불허전 !! 말이 필요없는 ~~
통영 가면 꼭 가는 음식점이고
계절따라 나오는 음식들이
바닷가 도시답게  훌륭합니다.",3년 전
5,"위치 좋고 음식 맛있고
서비스까지  최고입니다.  👍",2년 전
4,"음식 구성은 다른 곳과 큰 차이가 없으나 음식의 질이 좀더 나으며 ,      회가 먼저 나오고 스끼다시가 나중에 나오는 것이 좋았음",4년 전
5,점심특선  추천해요,1년 전
4,따뜻한 히레주 한잔   곁들여 하는 식사가 좋아요~,4년 전
5,통영 일식집 입니다. 가성비 있고 요리종류가 많은 맛집입니다.,3년 전
5,배가 부른 상태로 갔는데 그래도 엄청 맛있게 먹고갑니다ㅎㅎ,4년 전
5,해산물 종류가 많아서 좋았습니다,3년 전
5,깔큼하구 좋은데 입니다  추천합니다,4년 전
5,한국 최고의 식당,3년 전
5,"최고!
통영의자부심.",4년 전
5,통영 최고의 일식집,4년 전
2,가격대비 음식 맛얷음,4년 전
5,깔끔하고 좋습니다.,2년 전
3,평범했습니다.,2년 전
5,깔끔하고 훌륭합니다,2년 전
1,별 한개두 아깝다,4년 전
3,생각보단..,4년 전
5,놀라운 음식과 훌륭한 서비스!,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,2년 전
5,리뷰 없음,9달 전
5,리뷰 없음,1년 전
5,리뷰 없음,10달 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
4,리뷰 없음,1년 전
4,리뷰 없음,2년 전
4,리뷰 없음,1년 전
4,리뷰 없음,2년 전
4,리뷰 없음,2년 전
4,리뷰 없음,3년 전
1,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,5년 전
