별점,리뷰,날짜
5,통영 재철 식재료로 파인다이닝 음식을 맛볼 수 있는 스페셜한 장소였습니다. 외국인 지인들과 함께했는데 전통 한식메뉴와 양식 메뉴로 적절하게 구성해 주셔서 모두 만족스러워했구요. 막걸리와 사케 페어링도 완벽했습니다~!,3주 전
5,"한국에 이런 음식을 맛볼수 있는건 행운입니다.  돈이 아깝지 않아요.  통영의 오마카세  세트 식사.
통영의 가장 신선한 해산물로 만들어내는 화려하고 아름다운 정찬입니다.  말로 할수 없는 디너 코스",2년 전
5,"가족들과 예약하여 방문하였습니다.
음식하나하나가 정성이 쏟아져 맛과 시각적으로 눈이 즐거운 음식이었습니다. 좋은 재료를 썼다는 것도 느껴지며 처음에 생각했던 부담스런 가격도 이해가 될 정도로 최근에 먹어본 최고의 식사였습니다.
조금은 변두리라 접근성은 떨어질 수도 있지만 오히려 그것이 장점으로 한적하니 음식을 여유롭게 즐기기 참 좋았습니다. 마당의 잔디며 작은 연못과 건축물의 디자인도 한 몫을 하였습니다.

5만원과 8만원의 높은 가격이지만 충분히 돈 값을 하는 곳이라 정말로 추천드립니다. 저희 가족은 다음번에 특선 8만원 코스로 먹어보려 합니다.",3년 전
5,정성스럽게 잘준비된 좋은 음식으로 서빙해주실때마다 친절하게 설명해주시고 좋았습니다. 다음에 또 통영을 가게 된다면 미리 예약하고 또 방문할 계획입니다,3년 전
5,최고의 음식으로 여행을 빛내주셔서 진심으로 감사드립니다. 이 식당을 방문하기 위해 이 지역을 방문할 의향이 있으니 제 마음속 미슐랭 3스타이십니다.,3년 전
2,"가격은 파인 레스토랑
음식는 구성이 중구난방
접객은 서호시장 시락국집 온 느낌",1달 전
5,오마카세 레스토랑. 건축가 박준우씨와 아내 김은하씨 운영. 건축가가 빚ㅇㄷㄴ 막걸리 유명,3년 전
5,"신선한 재료에 계절에 따라 다른 음식 좋아요.
다른 곳에서 맛 볼 수 없는 특별함",11달 전
5,통영에서 맛볼 수 있는 특별한 맛,3년 전
5,식사를 하면서 '재밌다'는 느낌을 주는 곳입니다. 메뉴 하나하나가 흥미롭고 맛있습니다.,3년 전
5,최고의 식자재와 플레이팅 어울리는 수제 막걸리까지..계절과 장소에 딱딱 맞아들어가는 식재료.,2년 전
5,너무좋아요 지상천국^^,2년 전
5,"놀라운 음식과 음료가 있는 환상적인 장소. 모든 요리는 세심하게 준비되었으며, 각 코스가 시작되기 전에 친절하게 설명해 주었습니다. 모두 집에서 만든 음료도 저녁의 또 다른 하이라이트였습니다. 정말 특별한 경험이었습니다. 다음에 통영 방문시 꼭 다시 방문하겠습니다.",3주 전
5,"이 아늑한 레스토랑은 미슐랭 3스타를 받을 자격이 있습니다. 즉, ""특별한 여행에 합당한 특별한 요리""라는 뜻입니다.",4년 전
5,리뷰 없음,5년 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
