별점,리뷰,날짜
5,"금호통영마리나리조트 인근 진입도로에 있는 음식점. 주차장 겨우 1~2대 겨우 가능한데 길가에 세워도 딱히 문제 없다네요.(주인장왈)
굴밥정식+멍게정식+굴국밥 요렇게 주문했고 원래 2인 주문이라고 메뉴판에 적혀 있지만 1인분씩도 받아주셔서 요것조것 맛나게 먹였어욤~
음식 맛도 좋고, 간도 적당해서 괜찮다 싶네요. 너무 까탈스럽지 않다면 누구나 어떤 입맛도 딱일듯 싶네요. 배가 고파서 그랬는지 식사전, 후 비교사진 올려 봅니당^^",1년 전
4,"Good restaurant in Tongyoung.
a anchovy & vegetables bibimbap,
yellow ascidians bibimbap is good!
price is reasonable.
@ A oyster menu is not enjoying so not recommend.

통영맛집이라고 하는데..
신선한 해산물을 재료로 한 메뉴라 맛이 있었다..
가격대비 먹을만 했다..
추천메뉴는 멸치회비빔밥, 멍게비빔밥등이 추천!
굴 메뉴는 먹지 않았기때문에 잘 모름..
여행지이기 때문에 아주 큰 기대를 하지 않고 간다면
만족스러운 식사를 할수 있을듯 합니다.
일부러 찾아갈만큼은 아니지만 통영에 간다면 또 들를만한 곳!",5년 전
5,"굴밥, 생선구이, 굴회무침, 해물찌개, 굴전, 멍게비빕밥, 멸치회무침
신선한 바다향 먹어은 통영고유의 맛 즐겨요~",3년 전
4,1호점과 2호점이 50미터 간격으로 나란히 있음. 친절하고 맛있음. 굴국밥과 굴튀김이 맛났음.,3년 전
3,"굴밥은 괜찮은듯한데 갈치조림은 영~이네요.
그리고 아점시간에 갔다고는 하지만 밥이 너무 딱딱해서 햇반이 더 낫겠다는 생각도 들고.
자주가는 통영은 아니지만 갈때마다 들렀는데 이젠 다른 집 좀 가봐야겠네요.",4년 전
4,"멍게정식, 해물정식 맛있습니다.
단지 생멸치무침과 김무침이 많이 달았어요.
해물탕 아주 좋았어요.",5년 전
1,"전형적 관광지 바가지 상혼을 맛볼수 있는 장소입니다.
가격은 비싸고 음식은 내용물도 부족하고 맛도 별로ᆢ  다시찾고 싶지않은 식당입니다.",6년 전
3,"2024-11-03 (일) 14시
통영어부축제 방문했다가 사람이 너무 많아서 대충 들어가서 먹은것치고는 괜찮았어요.

관광지 물가치고는 괜찮은 편",6달 전
5,"반찬 깔끔하니 입에 쫙 달라붙네요
굴국밥은 아침 해장에  굿!
굴밥은 속 든든하니 최곱니다",3년 전
5,"겨울 통통~ 굴^,~
굴밥, 굴전, 멸치회와 반찬들 담백하고 맛있쩌용^^",7년 전
1,"유난히 여행왔어요
바다고기 아닌데 찿다가 돼지삼겹이라 왔는데 삼겹살 두루치기인데
냉동실에 얼마나 오래 있었는지
질겨서...그리고 2인분에 삼만원인데 량도 그런네요",1년 전
4,"굴국밥이  시원하게 맛있는데 굴이 적게 들어 아쉬웠어요
밑반찬 깔끔하게 잘 나와요",4년 전
5,"맛있어요 굴밥정식먹었는데
굴솥밥 굴전 멸치회무침 전갱이구이
맛있게 잘먹었어요",4년 전
1,"불친절하고, 무엇보다 음식도 시원찮고, 최악입니다.",1년 전
1,"여기가 굴요리 전문점이라는것에 공감할수 없음.

굴요리정식세트 1인당 2만원, 3인분 시켰는데...세트인 생선구이는 어디서 말라비틀어진 고등어를 쓴것인지. 이제껏 한번도 먹어보지 못한 고등어구이였다. 딱딱하고, 살도 없는...굴밥도 굴이 크지도 않고 작으며 굴전도 딱 3개.ㅎㅎ
그나마 멸치회무침은 대풍관보단 좀 나았음.

그러나 전반적으로 여기갈바에야 옆에 도남식당이나, 통영시장쪽 대풍관 가는것 추천합니다.",1년 전
2,"가격대비 좀 서운한 음식을 먹었다는 마음이 들었고요.
무엇보다도 7시 5분쯤 자리에 앉아서 반찬을 놓아 주시면서 8시까지 한다고 하시더라고요. 그래서 그런가보다 하고 저희는 7시 40분전에 먹고 나왔는데 그 사이 손님을 계속 받는데...이건 머지 싶었습니다. 저희 나갈 때도 손님이 오시는데 들어오라고 하시더라고요. 그래서 물어봤습니다. 8시까지라고 하셨잖아요 라고. 그랬더니 술 드시니까 그랬다네요. 그 분은 계속 술을 먹게구나 싶어 얘기하셨겠지만 저희는 아버님만 술을 하셔서 소주 한병으로 드시고 남겼습니다. 근데 생각해보니 술을 먹는 손님은 8시까지 먹고 나가야 하고 식사만 하시는 분은 8시 넘어도 괜찮은 건 무슨 논리인지 모르겠습니다. 음식도 굴정식 2인, 갈치조림 2인, 주물럭 1인 주문했는데 그냥 저녁 먹었다는 정도일뿐입니다. 아뭏튼 저는 만족스럽지 못해 안 가긴 할건데 8시 얘기 때문에 더 갈 일이 없을 것 같습니다.",2년 전
4,"굴정식은 맛있었어요. 해물뚝배기 정식은 별로별로.. 스끼다시는 보통^^ 글전, 생선, 멸치회무침, 그 외 반찬등등.. 가격은 17,000원이고 저렴했어요. 솔직히 옆가게에 먼저 들려서 메뉴를 봤는데 가격은 2,3천원 정도씩 더 했지만 더 나을듯 해요. 안갔기 때문에 이름은 기억 못해요. 영빈관 오른쪽에 있는 전면 유리창으로 되어 있는 집으로 가보세요~~",3년 전
4,"저녁 8시에 문을 닫는지 몰라서 이곳 저곳 기웃거리다가
사람이 없어
별루 인가보다 하고 들어옴.

7시30분에 들어가서 뭘 시켜야 할지 몰랐지만..통영이 굴이 유명하니 굴정식을 먹는게 좋겠다 싶어 굴정식을 시킴.

몇시까직하는지 물어보니 8시까직이라해서  헉!했음.
아침 장사를 해야해서 보통 여기 식당들이 8시에 거의 닫는다고 생각하면 된다고하심.

밑반찬이나 그냥 깔끔.
회멸치는 도저히 생김새가..ㅋ 못 먹음.

돌솥 굴밥에 간장을 넣고 먹으니 상당히 맛있었음.

김치는 나하곤 안 맞았지만

갓김치랑 멸치볶음이랑 오이무침이랑 굴밥과 잘 어울렸음.
굴전은 2개만주심..쩝ㅋ

간이 샌 음식을 좋아하는 사람들은 맞지 않을듯함..

간간한 음식 좋아한다면 굴밥을 추첨함.

생선도 나왔으나..난..생선을 좋아하지 않아 먹지않음. ㅎ",4년 전
2,"유람선 타기전에 점심식사를 했습니다.
해물탕 12000원 4인분에 굴국밥 8000원 1인분 주문했습니다. 해물탕은 게 1한마리가 2등분 되어 들어있고 조개4개 새우 몇마리 정도 있습니다.
바닷동네에서 야박한 해산물에 빈정이 상하긴 했는데 맛은 보통 수준입니다. 나쁘진 않았지만 재방문 의사는 없습니다.",5년 전
3,도남식당이 문 닫아서 가게 되었는데요... 아...그냥 돈 아까웠어요... 코로나 영향인지는 모르겠으나 얼렸다가 사용한 조개... 전혀 부드럽지 않은 굴전....그나마 멸치회가 먹을만 했어요...,4년 전
1,"오늘 굴밥과 굴전 먹었는데요.  두음식 모두 굴이 많지도 않고 굴전은 익지도 않았어요. 반찬들도 맛이 별로 없고요.
완전 비추입니다^^",5년 전
5,큰 기대 없었는데 아주 잘 먹고왔습니다.,4년 전
