별점,리뷰,날짜
4,저는 통영에서 이곳 충무김밥만 먹습니다. 좋은 쌀을 써서 밥이 맛있어요. 매장보다는 포장 주문이 많은 곳입니다.,1년 전
5,꽂아서주는 매력! 슴슴한 해산물꼬치 + 아삭거리는 매콤달착지근한 김치 맛이 좋았음.,1년 전
5,맛있어요. 꼬지에 꽂아주는것도 좋았어요. 시락국 맛있어요.,4년 전
5,"남도 여행시 잠시 들른 충무김밥집입니다.통영4대충무김밥중 꼭 들러볼만한곳이라는  sns 글보고 찾아갔는데, 만족했습니다 오징어등 다양한해산물을 꼬지에 꽂고 밥도 그냥맨밥을 김에 싼게 아니더군요
아주 만족합니다 전통 충무김밥에 맛까지 겸한 곳.통영다시 간다면 꼭 다시 찾아가서 먹어보고싶은곳",4년 전
5,꼬지에 끼운 원래 할머님들이 여객선 내를 다니시면서 파시던 방식 그대로 판매해주십니다. 맛있어요. 시래기된장국도 푸짐하게 퍼주십니다. 통영 옛 이야기는 덤입니다. 저는 설연휴에 여유있을때 가서 사장님한테서 서피랑이 원래는 윤락촌이었던것 등등 통영 여기저기 옛 이야기를 들을 수 있었습니다. 충무김밥이 사실 가성비가 좋거나 맛있는 음식은 아니나 통영을 대표하기도 하고 통영의 사연이 담긴 음식이니 여행객분들이 한번쯤 드시리라 생각됩니다. 이왕 한 번 드실거 예전방식으로 판매하시고 조곤조곤 통영 이야기를 들려주시는 여사장님이 계신 이 곳을 추천드립니다. 진짜 친절하세요! 통영분들 여행객을 정말 반겨주셔서 넘넘 감사했습니다!,6년 전
5,밥 김 꼬지  김 오징어  쭈꾸미  어묵  시락국이  좋아요,7년 전
5,"통영의 충무김밥집

전통방식이라고 합니다.

가능하면 꼭 들러서 먹고, 포장해서 오는 집.

맛있고, 친절하고",6년 전
5,"깔끔하고 맛나고..
일일이 꼬지에 끼우느라 정선이 많이 들어간 김밥이랍니다.
무엇보다 꼴뚜기가 몇꼬지 들어있어서,
너무 좋아요..^^",2년 전
5,정말 맛있습니다. 해산물 꼬치도 있고 여태껏 먹어본 충무김밥 중 최고예요. 2틀동안 2번 먹었습니다.,4년 전
5,"맛있어요! 반찬이 꼬지로 나오는게 특색이고, 사장님도 친절하세요 국물도 맛있어요!",8년 전
4,통영에서 충무김밥 먹은곳중 제일 좋았음,7달 전
3,"꽃아주는게 특색
양",4달 전
5,통영에서최고로맛있는집참기름냄새도안나고맛있어요,4년 전
5,꼬지에 꽂아주는 옛날충무김밥집. 같이 나오는 시락국이 대박.,8년 전
4,정말 맛있어요 음식도깔끔하고~~,9년 전
1,반찬을 꼬지한 소재는 독특하지만 맛은 그다지..,14년 전
5,특별한 충무김밥,5년 전
5,가격을올리지않아좋아요,6년 전
5,충무김밥의 원조이자 자존심이다.,6년 전
5,맛나고 친절하고 좋아요,6년 전
5,맛있고 저렴하네욤~!!,5년 전
3,간이 좀 덜 밴 듯해서 아쉬웠던..,5년 전
5,맛,1년 전
5,맛있네요,6년 전
5,올때마다느낍니다 짱,5년 전
5,특별한음식,4년 전
4,맵지만 깔끔,5년 전
5,리뷰 없음,3년 전
4,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
2,리뷰 없음,4년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
1,리뷰 없음,6년 전
5,리뷰 없음,7년 전
1,리뷰 없음,8년 전
2,리뷰 없음,8년 전
