별점,리뷰,날짜
4,"(개별적,주관적 리뷰입니다.)
스테이크 솥밥이 가장 맛있었습니다.
양념새우보다 간장새우기 더 맛있었습니다.
가격대가 조금 있습니다.
나중에 바다 한 그릇은 먹어보고 싶었습니다.",3달 전
4,"리뷰가 좋아서 기대하고 방문
분위기 좋고 메뉴 좋고~ 백합술찜에 면추가
백합술찜은 해물이 신선했지만 칼칼하기만하고 시원한 맛이 조금 부족했다.
면은 따로 삶아서 들어갔는지 면과 술찜이 따로 놀았음.
다른 메뉴는 괜찮을지도 몰라 다음에 한번 더 방문 해보고 싶기는 하다.",9달 전
4,"통영 강구안에 있는 한식당이네요
전반적으로 간이 세지 않아 부담없이 먹을수 있었는데
딱히 새로운 맛은 아닌듯했고
그러기에는 가성비는 그렇게 좋은편은 아니네요
작은 주탁개조 식당이라 실내도 좁고 답답합니다.
직원들은 친절합니다.",1달 전
5,"음식이 꽤나 인상깊었던 맛집이다
아침마다 신선한 해산물을 공수해 와서 음식을 만든다고 한다
그래서 사장님의 정성과 열정에 감탄했다
한식과 양식이 퓨전됬다고 생각하면 된다
톳명란 파스타 먹었는데 느끼하지도 않고 적당히 짭잘해서 잘 먹었다
밥도 같이 줘서 면을 다 먹은 후 밥과 소스를 같이 먹어면 그것도 맛있다
그것까지 먹었는데 양이 원체 많아서 그런지 남겼다
가리비 덮밥과 새우장 덮밥도 맛있어 보여 다음에도 방문해 먹을 생각이다
2층까지 있지만 좌석이 그리 많지는 않다
예약은 네이버로만 할 수 있으며 당일 예약은 불가하다
당일에 올려면 사람 피해서 한산할 때에 오는 것이 좋겠다
주차는 허기가 힘들다 식당 근처에 전용주차장이 있지 않아 길가에 대던가 해야 한다",8달 전
5,가게가 너무 이뻐서 들어가긴했는데 음식이 기대이상으로 맛있어서 깜짝놀랬어요.연남동 웬만한 솥밥집보다 훨씬 나아요. 메뉴들이 다 너무 특이하고 제철메뉴로 계속 메뉴들이 바뀐대요 .담엔 여름메뉴도 먹어보고싶어요.추천드립니다.톳명란파스타 꼭 드세요!먹고 바로 밀키트주문까지 했어요!,1년 전
5,분위기가 좋은 식당! 명란톳파스타 꽤나 매콤한데 맛있었고 솥밥 메뉴들도 맛있었다고함. 명란톳파스타는 밀키트도 있다고 하는데 식당에서 픽업하려면 전날에 미리 주문해야한다고 한다~,1년 전
4,"리모델링을 개성있게 잘 꾸며놨지만 공간은 협소한느낌
가리비밥은 김에싸먹으면 참맛있어요.
명란 톳 파스타는 갠적으로 느낌있는 맛을 못느낌
해물탕도 특색있는 느낌은 없어서 적극추천은 못드리겠네요.
뭐든 잘먹어서 음식을 남기진 않았네요 ㅎ
한번 경험해볼만한 만족은 줍니다.
만족감은 개인차가 큰 부분이니 ㅎ",2년 전
4,"11시 오픈입니다.   주택을 리모델링을 하여 예쁜게 만들어진  *오늘도바다해*라는곳입니다. 오는손님 한분씩만 입장할수 있습니다.1분간격으로 자리안내해주시고요! 키오스로  주문과 자리선정하고요  그리고나서 음식이 등장등장 .....우선 저희가 주문한게 *양념새우장솥밥* *통영가리비빔솥밥* *감태주먹밥*주문했어요  근데.,.근데...이건말이죠....너무기대를해서인지  기대보다는 좀 제입에는 아니였어요! 그냥 괜찮네 나쁘지않네 이게 저에 솔직후기이구요! 이건뭐 진심 찐찐으로 포장해가야겠닷하는 정말 맛나고 일시품절이 금방되서  무조건 먹어야하는  진심 너무 맛났던 감태주먹밥 후호안하심요 포장해가려고했는데  10분도안되서 품절이여서 더먹고싶어도 못먹은게 아쉬웠습니다.",1년 전
4,미소식당인데 다른상호로 나오네요. 게스트하우스 사장님 추천으로 다녀왔는데.. 사실 맛이 그닥.. 같이 간 애들도 다 다른데 갈껄 그랬다고ㅜㅜ 아쉬웠습니다.,1년 전
4,"원래 가려고 했던 곳이 닫아서 우연히 찾아들어간 곳
생긱했던 메뉴랑은 리스트가 달랐지만
나름 만족스럽게 먹고 옴
가격에 비해 반찬이 살짝 아쉬운 느낌이 있지만
공간자체가 예쁘고 사장님도 친절하셔서 굿",1년 전
