별점,리뷰,날짜
4,서울일때는 음식의 열정이 있었다면 지금은 기술만 느껴지네요. 좋은곳,1달 전
5,르 꼬르동 블루 출신이신 셰프께서 하시는 요리라 나무랄 곳 없이 훌륭합니다..전채요리나 샐러드도 좋았지만 바지락과 청어가 어우러진 오일 파스타와 겉은 크리스피하고 속은 육즙이 가득한 한우 스테이크 그리고 디저트로 나온 아이스크림까지 아주 만족한 식사였습니다. 사전 예약은 필수며 주위 골목에 주차가능하며 간판이 없어 위치 확인하고 가시길 바랍니다. 콜키지도 가능하다고 합니다..굳이 한가지 코멘트를 하자면 셰프님의 포커페이스가 받아 들이는 입장에서 다를 수가 있는 점은 조금 아쉽네요..유명하다는 런던에 까라바지오나 라브라카에 가봐도 훌륭한 음식과 더불어 다들 친절하시기 이를데 없으니 말이죠..,1년 전
5,"통영맛집으로 소문난 곳이라서 무조건 7만원 코스(생선,고기 모두 제공)로 선택했고 전체요리부터 디저트 아이스크림까지 남김없이 싹싹 긁어먹고 왔습니다~ 통영에서 특별하고 맛있는 코스요리 드시고 싶다면 꼭 미리 예약하고 가세요👍🏼…",1년 전
5,"통영의 원테이블 레스토랑.
오너 셰프가 현지에서 그날 그날 공수하는 제철 재료를 이용한 파인 다이닝을 만날 수 있습니다.
예약제로 운영되는 곳이라 전화 필수. 메뉴 구성 따라 가격대 고를 수 있어요. 에피타이저>샐러드>파스타>디저트>음료 구성으로 3만원, 여기에 스테이크(생선이나 육류) 추가하면 4/5/6만원, 기억에는 7만원 짜리도 있었던 것 같아요.
4만원 코스로 두명이라 생선 하나, 고기 하나 스테이크 주문했고 사진 보시는 것처럼 싱싱하고 맛깔 나는 음식들을 맛볼 수 있었습니다.
통영 여행에 맨날 회랑 멍게 비빔밥만 먹으란 법 없잖아요. 연인이나 배우자, 친구와 둘이서 오붓하게 통영 스웩 가득한 식사 장소 찾는다면 추천합니다.",4년 전
4,"지역주민 추천을 받아 예약하고 간 곳. 6만원 코스를 먹었습니다. 회와 해산물로 상큼한 전채요리부터 깔끔한 샐러드, 부드러운 안심스테크나 감태를 얹은 은대구 구이, 딱새우와 조개가 올라간 매콤한 토마토 파스타, 아이스크림, 차와 쿠키. 풍성한 재료와 끔끔하고 부드러운 맛이 너무 좋았어요. 너무 잘 먹었습니다. 마지막에 차를 마실까 커피를 마실까 하다 커피를 마셨는데 부드러워 좋았습니다. 쉐프님이 너무 쉬크하셔서서...^^",4년 전
5,"르 꼬르동 블루 졸업하신 셰프님이 계신 곳입니다. 예약제로 운영되며 원테이블 레스토랑입니다. 가격은 인당 3만원부터 시작되며 4만원부터 고기가 추가됩니다. 4만원코스도 20대후반의 성인 남성이 먹기에 배가 부를정도로 양이 많고, 식재료가 전체적으로 신선하다는 느낌을 받았습니다. 좋은 가격에 훌륭한경험을 할 수 있었습니다",4년 전
5,4.2 다른 분들이 말씀하신 것 처럼 예약은 필수..주택가 한 가운데 주택 2층에 위치한 곳.. 통영이랑 잘 안어울릴 것 같은데 4만원코스도 만족스러웠습니다. 코스로 나오는 정식은 일부 메뉴가 아이들한테 안 맞을수 있지만 스테이크는 아이들이 100점을 주었네요. 가정식 양식코스로 아기자기한 맛도 있고 좋은 시간 보냈습니다. 청담동 양식당이나 호텔 다이닝 다니며 여기와 비교하는건 안되구요.,2년 전
5,"제철 현지 식재료로 정성 들여 준비해주는 오월 음식이 통영 여행을 더욱 풍요롭게 한다.
사전 예약제로 운영되어 조용한 분위기에서 지인들과 정갈한 식사를 즐길 수 있다.",2년 전
5,"에피타이저 샐러드 스테이크 파스타 아이스크림 후식음료
너무 신선하고 맛있었는데 가성비내리는 가격에 잘 먹었어요. 원테이블 식당으로 알고 예약했는데 두명이라 그런가 주방 앞에 앉았고 방에 있는 테이블에는 더 많은 수의 손님이 앉았어요. 음식 나오는 속도가 좀 빠른가 싶었지만 통영 갈 때 또 들리고 싶습니다.",4년 전
4,절제된 친철함이 느껴졌고 스테이크가 특히 일품 이였습니다. 전반적으로 간이 강한편이였지만 분명 한국인들에게 선호될만한 맛이였습니다. 겨울 밤이여서 창가 옆 자리가 추웠습니다.,3년 전
