별점,리뷰,날짜
5,"뽈찜먹었는데  자극없는 양념맛에 계속 땡기는 감칠맛과 적당한 매콤함이 무척 인상적이였네요.
밑반찬도 맛있어요 !!!",2년 전
4,통영 봉평동 아귀찜 맛집. 전용주차장 주차가 조금 힘들지만 주위에 주차할곳많다. 항상 북적북적하다. 미리 전화예약후 방문하면 좋다.,4년 전
5,아구찜만 먹어본 사람은 이 집의 진가를 다 알 수가 없음. 내장찜에 소주 한잔을 먹어본 사람은 결코 잊을 수 없는 맛.,7년 전
2,"동네에서 먹을 수 있는 평범한 아구찜.
해물찜은 없고 아구찜만 있네요.
대신 양은 푸짐합니다.
일부러 이곳까지 찾아오실 필요는 없어 보이네요.",7년 전
3,"그냥 so.so.
음식이 짜요. 고니 추가 했더니 2만원 차가 붙어서 좀 놀랬어요",4달 전
3,주차는 가게 건너편 골목 안에 루지 게스트하우스에 해야해요~,7년 전
5,일단 주변 응식점  찜보다 저한텐 맞아요.건더기 많고.마산이나 부산보다 건더기나 양이 많은듯..여기 중자가 부산 대자만큼 됩니다.참고 하세요.조금 매운편이니 매운게 싫으신분은 미리 순하게 아니면 덜맵게 해달라고 하시면 됩니다.대구뽈찜도 맛있구요.아구내장찜 강력 추천합니다.전 이게 제일 맘에 들더군요.아구 애가 고소하고 맛있어요.내장도 쫀득하니 맛있구요.마산 아구찜 옛날맛? 강련한 매운맛?비슷 할겁니다.양녕이 맛있어요..^^,5년 전
4,여러 찜집에 가봤는데 그중에 제일 맛있다. 양념이 겉돌지 않고 야채와 잘 어우러져 있다. 약간 맵지만 맛있게 매워 계속 먹게되는 중독성이 있다. 매운거 못먹는 사람은 주문할때 덜맵게 해달라고 말해야 한다.,7년 전
1,"아구찜인지 아구 뼈 조림인지...아구찜 대 를 시켰는데 제대로 된 살 점하나 없었네요.. 주인 아주머니인지 써빙하시는 분인지는 몰라도 음식 주시면서 ""많이 드렸어요""가 머리에 남네요..",4년 전
4,"맛을 본 기억이 오래되어 정확하게 평을 하긴 힘들지만
이제까지 먹었던 아구찜과는 다른 느낌인 것은 확실하다.
여기서 아구찜을 먹고 난 후와
먹기전의 기준은 확실히 달라졌다.",8년 전
5,"수육 처음 먹어봄
아구 살은 없고 위와 간
두종류만~
일행들이 냄새 안난다고해서 떨리는 맘에 한입 먹어본후
폭풍흡입!!!
아구찜은 맵다... 맵다.
정말 맛있는 한끼
인정인정^^",5년 전
3,"가게는 도로바로 옆이라 쉽게 찾을 수 있고 가게 바로 맞은편 골목에 6대정도 주차가능한 주차장 있음.
뭐 특별한 맛이 있는건 아니나, 매콤하고 먹을만 함.
바삭하게 부쳐낸 해물파전도 함께 시키면 찜 나오기 전에 요기하기 좋음.",5년 전
4,"봉평 찜거리에서 전통있는집답게  맛도최고!
아구수육이랑 내장수육이랑 반반해주는 가게가 흔치않는데 오랜만에 기호에 맞게 잘 먹었어요.",3년 전
5,제가 찜을 조아해서 그런지 자꾸 생각나네요.매콤하고 자꾸 생각이 나서 가서도 먹고 포장해서도 먹어봤지만 가서 먹으면 맛이 완전 짱이예요.저는 통영 현지인입니다.다른집은 않그런데 용화찜은 자꾸 먹고싶으네요.,6년 전
5,"진짜 최고로 맛있어요 아구찜 뭘먹냐 했는데 아구살에  엄청맛있는양념 쏙쏙배어있고 매콤하고 화끈해요
매운거못먹는데 씁씁거리면서 먹었어요
해물파전 5000원에 엄청바삭한ㅠㅠㅠ
꼭가세요 제발",5년 전
3,재료가 좋습니다. 양념이 뛰어나다고 하긴 힘듭니다. 관광 오신분들은 미더덕찜이나 내장찜 같은 메뉴로 재료 기준 주문하시는게 낫습니다.,5년 전
5,"특찜40000원에 대단히 행복..맛있고 양많고 친절까지
40평생 살면서 먹은 아구찜 중에 아구가 이렇게나 많이 들어간 아구찜은 처음~대대대만족~~",6년 전
5,"대구찜 푸짐하고 맛도 좋았습니다.
먼저 나오는 밑반찬도 내입에 딱 좋았고요.
담에도 기회되면 또 찿게 될 맛집입니다",6년 전
4,"수육은 주문하면 빨리나오고, 아구찜은 조금 늦게 나오는 편. 맛이 있으며 주차가 까다롭다",4년 전
5,5만원짜리 특찜 아주 알차고 양도 셋이서 먹기에 충분. 5천원짜리 파전 하나 추가하면 더 좋다.,6년 전
1,"9시까지영업한다고 검색해보고갔는데 7시50분에 8시까지 마감한다고해서 먹다가 기분나빠서 절반가까이 남기고 나옴.,올해 네번째갔는데 점점 맛이 없어지네요.",4년 전
4,봉평동(용화사방면)에 위치하고 장사기간도 제법오래된곳이며 손님들의층이 다양하다는것이 장점이며 찜의선구자적인 역활을 해오고있다,7년 전
4,약간 매운데 맛은 좋았어요. 볶음밥을 따로 해주지않아 아쉬웠음,3년 전
5,"찜을 전문적으로 하는곳인데
특히 아구찜이 양도 푸짐하고 맛있어요?",6년 전
3,"지금 1월은 아구철
내장수육 ㆍ아구찜 맛있어요",5년 전
4,"음식이 괜찮은 편
예약 필수
아니면 꽤 기다려야 할 듯요",2년 전
5,아귀찜을 먹었는데 아귀가 굉장히 부드러웠고 양념도 맛있었다.추천드린다.,5년 전
4,맛있는집입니다 아줌마중 뚱뚱한아줌마는 너무친절했습니다,6년 전
5,서울에서 매년 두세번 가지만 맛은 한결같이 좋아요.,4년 전
5,생아구로 완전 부드럽고 맛있었네요. 인생아구찜입니다,6년 전
5,통영오면 늘 오는  맛집 신라면 못드시면 매운정도? 서울분들은 딱 심심한정도?,6년 전
5,"아구내장수육찜은  처음 먹어봤는데...
환상적인  맛 이었습니다.",5년 전
2,"아삭한 콩나물 식감이 없고
넘 뻑뻑하고
밥 없이 먹기 부담스럽게 짜고...",3년 전
4,요리는 맛있게 나오지만 짠음식 싫어하는 분은 비추,7년 전
5,아귀찜을 이렇게 맛있게 하는 식당이 있섰다니~~,3년 전
5,아구찜으로는최고인것같읍니다 넘맛좋아어요,6년 전
5,아구찜이 너무너무 맛나게 잘먹었습니다 정말 좋은 것,3년 전
5,봉숫골 찜골목 중에서 원조격인 용화찜.. 30년이상 됫것 같아요,2년 전
5,통영 루지타고 맛있는 아구수육과 아구찜 먹으면 좋습니다,6년 전
5,"통영 대표 찜집.대구뽈찜.아구 내장찜 추천,아구찜도 맛있슴",3년 전
5,통영에서 아구찜 제일 맛있게 먹는집,5년 전
5,"양도 넉넉하고 아구도 만코  맛집
대기줄 있음",3년 전
3,가성비 좋고 변함없는  아구찜 맛을 자랑하는 식당.,4년 전
3,대구뽈찜 요리에서 콩나물 등의 무침에 하나가 빠진 것처럼 조금 깊은맛이 부족합니다.,5년 전
4,첫날 맛있어서 그 다음 날또갔는데 첫날보다  좀덜매워서  좀 글고찜속에 만득이가 생물이 않이고 얼은거라....,6년 전
4,아구찜은 맛나게 먹었어요 아쉬운건 밥메뉴가 없어서 쫌 아쉬었습니다,6년 전
5,가격 대비 음식 맛이 참 좋와요,5년 전
4,맛이 깔끔하고 식단도 괜찮은 찜 전문집입니다.,7년 전
1,음식 성의가없다 거리유지도않됨  맛도별로,3년 전
4,맛있어요. 볶음밥 안됨. 해물파전 바삭.,5년 전
4,아귀살도 많고 푸짐하게 먹었어요,3년 전
5,아구내장수육  최애음식추천,2년 전
4,냠냠 아구찜 맛나네요. 가볼만 합니다.,6년 전
4,십년전정도에 갔었는데 크게변한게읍네요,3년 전
5,맛있고 멋진곡 입니다 ^^,5년 전
5,아구찜 진짜 맛있어요,5년 전
3,"저렴한 만큼
맛은 보통 입니다.",3년 전
5,양도 많고 맛있어요,4년 전
4,"여기는 조미료맛이 많이남 맛은괜찮으나,ㅜㅜ양도별로",13년 전
5,20년넘는 동안 추억을 ... 좋은 집,5년 전
4,통영 최고의 찜맞집.가격도 착해요.,6년 전
2,이맛도 저맛도 아님 아구찜 너무 맵기만,8년 전
5,아구찜 산양동동주 굿 물김치예술,5년 전
5,헐 가보면 알아요/  주변 환경도  상상 이상,5년 전
4,통영 아구찜집으로  지역주민이 찾는곳,6년 전
5,티비방영맛집 정말맛나는  아구찜  최고,8년 전
4,찜 맛나요.  친절하고 오래된 노포,3년 전
4,정말 맛있어요!,6년 전
5,미더덕찜 겁나 맛나네요,6년 전
5,아주 좋은  맛집 추천  합니당,5년 전
3,아귀찜 맛이 쏠쏠합니다,4년 전
5,맛있어요,3년 전
1,맛도 별로던데  뭘,6년 전
5,미더덕찜 졸맛탱,5년 전
4,굳!,5년 전
4,맛이 괜찮아요,6년 전
4,아구찜이 진짜다.,4년 전
5,단골집,3년 전
1,ㆍ,4년 전
3,보통입니다.,5년 전
3,자주가는집,4년 전
5,최고에요..,12년 전
5,맛나요,3년 전
5,현지인 맛집. 매움,5년 전
5,맛 최고,6년 전
1,완젼최악,6년 전
5,아구찜 맛집,6년 전
4,쏘쏘합니다,5년 전
3,마찌쪄요,7년 전
5,찜맛있음,7년 전
2,평범함,5년 전
4,내장..,6년 전
5,리뷰 없음,3년 전
5,리뷰 없음,1년 전
4,리뷰 없음,1년 전
5,리뷰 없음,1년 전
4,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
4,리뷰 없음,2년 전
5,리뷰 없음,4달 전
5,리뷰 없음,2년 전
1,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
2,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
1,리뷰 없음,4년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
2,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
1,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
1,리뷰 없음,6년 전
5,리뷰 없음,7년 전
4,리뷰 없음,7년 전
3,리뷰 없음,7년 전
4,리뷰 없음,7년 전
1,리뷰 없음,7년 전
