별점,리뷰,날짜
3,"블루리본 맛집이라고 해서 가족과 함께 들러서 저녁식사를 함.
우선 해산물 중심의 다양한 음식이 나왔는데 10여 가지 정도 되는 것 같음. 이후 하나씩 음식이 추가됨.
특별히 맛있는 음식을 꼽으라면 망설여짐.
평균 정도의 해산물 요리인데 1인당 4만 원은 조금 과하다는 느낌.
다찌라는 것이 원래 술안주로 먹는 개념이라 술을 즐기지 않는 우리가족에겐 애초에 권장할 만한 메뉴는 아님.
손님이 너무 많아서 정신이 없고 메인메뉴 말고는 주문이 불가해서 계산할 때 물어보니 한산대첩축제 개막일이라 손님이 너무 몰려서 그렇다고…
다찌를 제대로 하는 집은 그 집만의 시그니처 음식이 몇 가지 나오는 데 여기는 그냥 횟집에서 먹는 수준의 해산물만 나옴. 조금 실망스러움.
TV 프로그램 몇 개에 소개되어서 그런지 외지인이 많이 찾는 것 같은데 고개가 약간 갸우뚱해질 만한 수준임. 다음부터는 통영의 오리지널 다찌집에 갈 생각임.
참고로 블루리본을 신뢰했는데 이번엔 실망.",9달 전
1,"솔직히 다른 분들 리뷰 제대로 안 읽고 간 것이 제일 후회되네요!
TV에서 보는 푸짐함은 없고 사진에 있는 것이 거의 전부라고 봐도 무방합니다. 이후에 전갱이 생선구이가 나왔는데 너무 비렸어요!
매운탕에 밥까지 먹었는데 그닥 잘 먹었다는 느낌은 없습니다.

그냥 일반 횟집에서 스끼를 한번에 주는게 아니고 계속 준다라는 느낌이고 2명인데 회는 딱 12조각(인당 6조각) 입니다.

술은 맥주 작은거 5천원, 소주도 5천원! 비싼 편이죠

통영이 관광도시인건 알겠지만 이런식으로 장사하면 통영에 오는
관광객들 다 다른 도시로 갈겁니다.

통영에서 먹었던 것 중에 유일하게 돈값하고 맛있던 것은 ""원조꿀빵 1959""네요!

회 드시고 싶으면 중앙시장이나 서호시장가셔서 횟집가세요! 괜히 다찌에서 마음 상할겁니다",2달 전
5,"리뷰보고 방문하시는분들이 오해하실까봐 남겨요.
밑에 주류 안드셔서 안맞으신다는 리뷰보고
반신반의하던차에 7 40분 예약없이 일단 들어가봄.
미취학아동1명 성인2 식사 가능한지 여쭈어보니
빈테이블 1개있어서 럭키비키하게 착석!
기본9만원상에 주류5병!
식사를 할거면 밥집을 갔겠죠?
너무 맛있게 먹었습니다.

자주먹는 광어 도미 회가 조금이라 좋았습니다.
다른 해산물반찬들과 마지막 장어내장볶음과
매운탕(무가 듬성썰린)이 기가막힙니다.
전갱이구이. 해초에와다. 가리비. 전복.새우장. 멍게. 해삼. 산낚지. 문어숙회. 조개회. 복껍질무침.
가오리찜. 장어구이.
죽. 콘샐러드. 부침개.

1인 45000원에 여러가지 해산물반찬들이
너무 만족스럽습니다!
그리고 친절한 이모님들이 리필요청에도 잘 챙주시더라고요.

참고로 다음날 해장은 서호시장끝에 원조시락국집
추천합니다 기가맥힙니다!",3달 전
4,"다찌를 무시해서 미안해.
한정식이나 다찌처럼 많은 음식이 차려지는 상을 그리 좋아하지 않는다. 가짓수를 늘리려고 품질이 떨어지는 것을 흔하게 보기 때문이다.
하지만 이곳의 생선회나 해산물 요리 대부분이 바닷가에서 기대하는 수준을 만족시키고 있었다.",10달 전
5,"진짜 회맛집 넘 맛있어요ㅜㅜ 그냥 아주 살살 녹네요 회도 방금 막 썰어주셔서 싱싱하고 오랜만에 친구랑 회먹자구해서 찾아보다가 후기 괜찮길래 들렸는데 완전 만족해용!! 서비스 많이 쥬셔서 이것저것 많이 먹었어요 서비스로 주신 음식들도 다른곳은 그저그랫는데 여기는 신선하니 맛도좋아요
직원들도 친절해서 또가고싶은 횟집 중에 한곳 이에요
오랜만에 기분풀러 친구들하고 방문했는데 기분좋게 맛있게 먹고 와요~ 담에 또방문할게요",2년 전
2,제 개인적인 생각은 인당 사만원은 비싸다는 생각입니다. 차라리 횟집을 가는게 더 나을것 같아요. 회조금.생선구이.산낙지.전복.전.새우장.가오리무침. 매운탕.미역국. 이정도에 4인 16만원.,3달 전
5,"다찌에 대해서 사전지식이 전무한 남편을 데리고 방문하다보니 2인 9만원이라는 가격을 보고 처음에는 좀 고민하는 모습이었지만, 2시간 정도 술과 함께 끝없이 나온 메뉴들을 섭렵하고 나와서는 왜 이 가격인지 알겠다고 납득했습니다. 일종의 오마카세의 횟집 버전이라고 생각하면 되는데, 식사라고 보면 양이 부족하다고 생각할지도 모르지만 횟집의 안주 오마카세라고 보면 매우매우매우 가성비 훌륭하고 나오는 메뉴들의 퀄리티가 수준급입니다. 식사가 아니라 '메인인 술을 맛있게 도와주는 안주의 향연'이라고 이해하시면 됩니다. 그런 점에서 최고였습니다.

도시에서 조금씩 시켜먹거나 포장하는 회에 익숙해있다가 통영의 횟집들은 이런 식으로 먹는 거라는 걸 알고 왜 안먹는 것까지 다 나오냐며 툴툴거렸으나... 광어는 쫄깃했고, 전복과 해삼과 멍게는 바다맛이 감돌고, 미역떡국에 매운탕에 회무침에 콘버터에 장어구이에 가리비에... 2시간동안 조금씩 계속 갖다주시다보니 시간을 넉넉히 잡고 늦어도 7-8시 정도에는 방문하는 게 좋습니다.
술을 별로 안마시는데도 여기선 술꾼이 되어야 할 것 같은 기분으로 잘 먹고 나왔습니다.",1년 전
1,"정말 솔직히 말씀드리면, 가족들끼리 맛있게 먹으러 올만한곳은 절대 아닙니다. 술과 함께 날 해산물들을 먹으러 오는곳, 딱 그정도 입니다. 평소에 날 음식 잘 먹던 일행도 여기 해산물은 잘 못먹더라구요...10만원넘게 내고 먹었는데 배도 안찹니다...비추예요",4달 전
2,"서울에서 출발전부터, 통영 도착하기 전까지 가장 기대 했는데, 가장 실망한 집이다. 사람마다 다르게 느낄 수 있겠지만 개인적으로는 스끼다시 잘 나오는 회집보다 잘 안나오는데, 메인 회까지 빠진 느낌이다. 다양한 걸 맛 볼 수 있지만, 초반에 몇개 해산물 빼고는 그닥…. 왜 인기있는지는 잘 모르겠다.",2년 전
1,"9만원 2인상 주문
나온 음식 전부찍은거고
맥주 2병과 뚝배기 매운탕만 빠졌음.
일단 너무 성의도 없고...
싱싱한건지 모르겠지만...
5만원이 딱 적당함.
리뷰에 속아 갔으니 내가 바보인거죠...
회는 선어인지? 오래된건지?
인생 최악의 회였음...
나머지 나온것들도 어디가나 먹을수
있는 평범한 것들...
해산물... 이것도 해산물이라고...
할말이 없음...
메뉴판과 사진보고 판단해 보세요
저는 기억에서 삭제합니다.",2년 전
