별점,리뷰,날짜
5,"제게는 최고의 멍게비빔밥 ! 이었습니다.
2박 통영놀러와서 아침우로 멍게비빔밥 2번 먹었습니다..

멍게전골을 먹어보지 못함이 아숩네요 (현재 멍게 공급부족으로 ㅠㅠ..)",3주 전
5,이 여기 정말 찐맛집. 겨울엔 물메기탕 같은 제철음식도 있고 멍게 전골도 별미입니다.,5달 전
5,멍게비빔밥이 존맛 미챴어요.. 이틀연속으로 아침먹으러 갔네요. 2층 자리도 넓고 조용해요. 반찬으로 통영식 생선구이가 나오니 메뉴고를때 참고,3주 전
4,"반찬 맛이 정말좋아요..멍게비빔밥, 돌솥밥,굴국밥등 다 괜찮습니다",5달 전
4,리뷰가 좋아서 방문했어요 큰길에서 골목 들어가자마자 보이네요 1층엔 몇자리없는데 2층까지 있어서 자리는 넉넉한거 같아요 멍게비빔밥이랑 생선구이 주문했는데 다른 리뷰보니 기본 생선구이 1마리가 밑반찬으로 나오는듯한데..생선구이 시키면 밑반찬 포함해서 3마리 나오는거같아요 밑반찬으로 생선구이가 나오는줄 알았으면 따로 안 시켰어도 될거같네요;; 멍게비빔밥은 별다른 양념없이 김이랑 참기름 깨만 들어갔다고 하셨는데 담백하니 맛있었어요 친절하시고 공영주차장 50% 할인권도 주셔서 좋았네요~,3년 전
5,"통영에서 유명한거 같아서 점심시간 조금 전 11시쯤 찾아갔는데도 식사하시는 분이 많았습니다. 멍게비빔밥과 두루치기정식을 주문해서 먹었는데, 우선 반찬들이 모두 정갈하고 깔끔하고 맛있었습니다. 작은 물고기 도미?도 구워져서 나와서 좋았습니다. 이전에 다른 곳에서 멍게비빔밥을 먹었을 때는 비려서 못먹겠던데 여기는 숙성을 한다고 하던데 그래서인지 비린 맛은 거의 없었고 맛있게 먹을 수 있었습니다. 그리고 두루치기도 자극적이지 않고 맵지도 않고 좋았습니다!
이모님이 조금 불친절하시긴 했지만, 아저씨는 친절하시고 공영주차장 할인쿠폰도 챙겨주셔서 좋았어요.",4년 전
5,"1. 시장 안이지만 항구쪽에서 들어가면 금방임. 주차장쪽에서 가기엔 반대라 좀 멀다.

2. 첫날 구글로 보고 갔는데 띠용 생각보다 맛있어서 놀랐다. 조개류나 해삼등을 못먹지만 동행자들이 맛있다고 함. 이틀 연속 갔는데도 거의 모든메뉴가 맛있음.

제육볶음이 의외로 정말 별미임.

생선구이 새콤달콤 소스가 있어서 맛잇다. 생선도 기름지다.

멸치회무침은 특유의 비린맛이 있지만 맛은 괜찮다. 술안주로 좋을듯.

해물된장뚝배기 안먹으면 가게 온 의미가 없다.

장어탕 시원하고 좋음. 장어도 몇덩어리 들어서 맛있다.

물메기탕도 국물이 시원한게 좋다.

3. 가성비랄건 없다. 그냥 맛있으니 주머니에서 낼 용의가 생김. 가게가 꽤 좁다. 2층도 있는데 2층도 넓지는 않고 계단이 가팔라서 술마실거면 조심해야한다. 화장실도 좀 불편(주방을 지나쳐서 가야함)하다. 웨이팅도 꽤 있다.",2년 전
5,"해물뚝배기 , 생선구이  주문
양도 많고 맛있어요
생선구이가 조기찜으로 나와서 아쉬웠는데
맛은 있어요^^
사장님도 친절하세요
두번째 방문인데 역시나 맛나용",2년 전
5,"이렇게 싱싱하고 맛 좋은 음식을 좋은 가격으로 먹을 수 있다니 진짜 좋네요. 통영 여행하면서 이틀 연속 계속 갔습니다. 멍게 비빔밥, 해물된장찌게, 생선모듬구이, 돼지두루치기까지 빠지는 음식이 없습니다. 주인 내외분께서도 친절하시고 밑반찬도 맛있어요!!",3년 전
5,"현지맛집으로 추천합니다.
평일에는 오후 3시에 닫으실때도 있더라구요. 사장님께서 그러시는데 아침에는 8시에 여시는데 오후엔 일찍 닫으실때도 있다도해서 미리 전화해보심 좋을것같아요.
대구탕이 1월 13일까지 판매하시는데 너무 맛있게 먹었어요. 멍게비빔밥도 멍게 양이 참 많아서 잘 먹고 왔어요.",2년 전
5,멍게비빔밥은 이곳에서 먹어야 함. 야채 초장 등 없이 비벼먹는데 깔끔하고 고소함. 멸치회무침도 주심. 생선구이는 보통.,5년 전
5,"멍게비빔밥이 땡겨서 시장 안을 해메이다가 찾은 식당.
일단 사장님 음식 솜씨가 매우 좋으시네요.
전어젓갈은 발군이었습니다.
아침식사 가능한 식당이니 참고하시길...",1년 전
4,"신선한 재료로 정성스럽게 만든 맛있는 음식이 있는 곳입니다. 부족한건 없는지 살뜰하게 챙기는 모습이 인상깊었습니다. 많이들 시키는 생선구이는 '구이'를 생각했다가 양념이 끼얹어나와 당황했지만 참돔과 열기와 갈치가 맛있었고요, 갈치호박국도 칼칼하니 맛있습니다. 간이 쎄고 조림과 국에 고추가 들어가서 맵습니다. 많이 짜고 매워서 다음에 가게되면 조절 가능한지 꼭 물어봐야겠어요. 그래도 또 가고싶은 식당입니다.",1년 전
3,"구글 평이 좋아서 찾아 갔습니다.
가격대비 나쁘지 않으나 그리 친절하진 않으시고
음식부심이 크신 듯 하더군요.

생선구이는 가격대비 훌륭하고
갈치조림도 제주에 비하면 가성비 좋습니다.
해물탕은 국물은 맛있는데 해물은 그리 많진 않았습니다.",5년 전
4,멍게 비빔밥은 맛있어요. 그리고 생선구이도 맛있고요. 갈치조림은 좀 별로고요. 사장님 친절하시고요. 식당 주차는 힘들고 시장 공용 주차장을 이용해야 하는데 빈 자리 없어서 주차하기 힘들어요.,7년 전
5,멍게비빔밥 찾던중 후기가 좋아 방문했는데 정말 맛있더라구요~ 멍게향 은은하게 나면서 달달한맛이 일품이에요!! 멸치회무침도 있길래 시켰는데 생각보다 훨씬 맛있었습니다 (비린내 0),2년 전
4,"생선구이랑 멍게비빔밥을 시켰는데요, 멍게비빔밥은 멍게향을 최대한 살려서 상당히 맛있었습니다. 생선구이는 빠짝 빠삭하게 구워주는게 아니고 약간 양념이 자박한 그런 구이입니다. 생선구이는 제취향은 아니었습니다.
멍게요리 추천드리구요. 기회되면 멍게잘먹는사람이랑 멍게전골 먹으러 가볼생각입니다. 사장님도 멍게자랑을 하시더라구요.",1년 전
4,"대로변에 있는 이름만 번지르한 식당보다 골목에 있지만 가성비 좋은 식당입니다. 생선구이와 멍게비빔밥이 괜찮았어요. 어른 2, 아이 2 해서 3인분만해도 양이 푸짐했어요.",5년 전
3,지나가는 길에 먹는 백반집  느낌. 멍게비빔밥2과 생선구이2 시켰는데 부족한것도 없이 적당했네요. 만약 관광차 제대로 코스로 먹으려고 하시는 분이라면 실망할수도 있습니다.,5년 전
5,"통영에서 제일 맛있게 먹은 집이에요
통영멸치회 무침 멍게 비빔밥 해물된장뚝배기 먹었는데 넘넘 맛나요 가격도 각 만원으로 착하고 슴슴하면서도 맛난 그런음식이었어요 통영가면 또 갈래용❤️",4년 전
5,완밥! 클리어! 반찬도 정갈하고 멍게비빔밥 맛있어요! 친절하셔서 한번 더 감동했어요 ㅋㅋ미역국도 맛있었어요!,4년 전
4,"멍게비빔밥 먹었어요.

멍게가 진짜 많아서 놀랐구요, 아주 싱싱했어요.

참기름, 김과 깨가 밥과 섞여서 매우 고소해서 멍게를 좋아한다면 진짜 만족 할 것 같아요.

조개미역국도 무난.

반찬은 하나하나 정말 괜찮았어요.

강추합니다.",4년 전
4,멍게비빔밥과 도다리 쑥국 맛있게 먹음. 도다리 쑥국은 도다리 양이 조금 아쉬웠으나 친절한 할머니 덕북에 기분좋게 먹었음,5년 전
5,"맛 ★★★★★
분위기 ★★★
가격  ★★★★
멍게비빔밥 10,000원
깨+참기름+멍게의 조합은 멍게의 풍미를 극한으로 올려준다. 기분좋은 멍게내를 느낄수 있음.
듬성듬성 썬 멍게가 제법 많이 들어가있다.
반찬도 정갈하니 맛있고, 같이나온 볼락구이 훌륭하다.
다만 손님이 몰리면 사장님 손이 못따라가니 좀 기다려야한다.
통영오면 꼭 방문해야되는 집",4년 전
5,"가성비 최고의 집.저렴한 가격과 다양한 메뉴를 맛볼수 있다.
시장안에 있어서 조금은 접근성 불편 하지만 통제영유료주차장에 주차하시고 걸어가시면 됩니다.",6년 전
5,"첫날 늦은 점심으로 멍게비빔밥이랑 물메기탕
다음날 아침 굴국밥으로 재방문 했습니다.
진짜 맛나요.
반찬 하나하나 다 맛있고 특히 생선조림이 짱입니다.
김치 깍두기 완전 맛있어요!",7년 전
5,멍게전골이라는 생소한 메뉴. 입에 짝짝 붙는다.,8달 전
5,"기본적으로 음시솜씨가 매우 좋으신듯,...
모든 반찬이 맛있었어요, 물론 음식도",2달 전
5,매장도 깔끔하고 정말 맛있게 먹었네요.특히 멸치 회무침 강추입니다.ㅎ,3년 전
4,멍게비빔밥으로 유명한 식당이라는데 딱히 맛있는지는 잘 모르겠네요,2년 전
5,해산물 잘 못먹는 제가 먹기에도 부담스럽지 않은 멍게비빔밥 이었습니다! 생산구이도 꿀맛!,3년 전
3,꾹꾹 눌러담은 밥이 좋았음 반찬도 기본찬이긴한데 맛잇는 편.  근데 굴국밥이 주력은 아닌듯. 보이는 게 얼마없어 보여 세어보니 명색이 굴국밥인데 굴이 6개 ㅋㅋㅋ 사장님인가 불친절했음,3년 전
5,"어제 저녁 찿았던 맛집
반찬도 직접 만드시고 맛도 최고!
장어탕도 찐하고 혼밥하는 분들도 반갑게~♡",3년 전
4,"멍게비빔밥 맛있고
물메기탕 별루 집근처가 더 나음
다음엔 멍게전골 꼭 먹어봐야지 맛있어보였다",3달 전
4,"아래사진은 모듬생선, 멍게비빔밤, 물메기탕   모두 1인분씩 입니다.
친절하고 나름 깔끔합니다.
강한양념은 없고 맛있게 먹었어요.
통영중앙시장 안 골목에 있어요.",6년 전
4,"물메기탕, 멍게비빔밥이 맛있었어요. 1분 양으로 알맞습니다",2년 전
4,"관광지를 감안하면 나쁘지 않은 가격, 멍게비빔밥은 별미~!!!",3년 전
3,맛있고 어쩌고 하드만... 냉정히 말해서 고마고마한 집 .  통영에  맛집 없음 어딜가든... 이 말이 진리임.,5년 전
5,"멍게비빔밥은 먹어본곳중 여기가 최고
반찬도 다 맛있었어요",4년 전
5,너무 만족스러워서 평을 안할수가 없는!! 걸쭉한 누룽지 슝늉과 깨끗한 매장만봐도 음식이 정갈하게 나온다는걸 느낄수 있었던 집! 또 찾게될것같다,5년 전
5,사장님도 친절하고 음식도 깔끔합니다. 찬도 많이 나오고~아침에 먹기 좋아요~,5년 전
