별점,리뷰,날짜
5,통영올때마다 갑니다. 생선구이 맛있습니다. 아이들도 좋아합니다.,2주 전
4,"늦은 아침을 먹으러 갔는데,
맛도 담백하고 집밥 느낌으로 맛있었습니다.
식당 의자에 앉을 때 어디서 오신거냐고 묻더니,
오므라이스처럼 감싼 샐러드에 (케찹 글씨로 (서울)이라고 써주셨어요.",1년 전
5,"TV에 멍게요리 맛집이라 소개되었는데... 우리는 생선구이와 성게비빔밥을 먹었습니다.  대구에서 갔더니 달걀요리에 '대구'라고 써 주시네요~ ㅎㅎ
생선구이 4인 주문했는데 두접시에 나올만큼 양이 푸짐했습니다.  생선도 크고 간도 좋았구요~  성게비빔밥도 성게알이 푸짐해서 제대로 먹고 왔습니다.  부모님과 함께 갔었는데 젊은 손님도 많아서 호불호가 별로 없는 맛집인것 같습니다.  잘 먹었습니다.  ^^*",1년 전
5,"멍개비빔밥을 주문했고 1.3만원이었습니다. 상차림을 보았을때, 과한 가격은 아니었습니다.",1달 전
5,"통영 여행중 우연히 들린 맛집입니다
케이블카근처에서 식사를 하신다면
추천드립니다
친절하시고 맛있습니다",1년 전
5,"통영 현지 사람들이 추천하는 식당이어서 찾아갔었는데요. 겉으로 봤을 때 굉장히 허름하게 생겼고 안에 들어가면 전형적인 시골 식당이에요. 근데 딱 음식이 나오는 순간 너무 행복해져요. 밑반찬이 진짜 많고 다 맛있고 멸치 회무침 처음 먹어봤는데 진짜 맛있어요. 어디서 왔냐고 물으시더니 센스있게 케첩으로 지역을 써주셔요. 멍게 비빔밥과 성게 비빔밥, 미역국도 최고에요.
I visited this restaurant because it was recommended by local people in Tongyeong. It looks very shabby on the outside and it's a typical country restaurant when you go inside. But as soon as the food comes out, I feel so happy. There's a lot of side dishes. Everything is delicious. It's my first time eating anchovies. It's really good. .She asked me where I'm from, and she writtenmy City's name with ketchup. Mungye Bibimbap, Seonggee Bibimbap, and seaweed soup are the best.",6년 전
2,"매스컴을 확인하고 특별히 맛이 뛰어나다거나 특별한 메뉴가 있지는 않음.
가격은 조금 비싼편이나 반찬은 괜찮은편. 직원분들은 진철하지만 요청을 잘 들어주지 않아서 아이러니함. 그리고 화장실이 깨끗하지 않음.",3년 전
3,"적당한 가격에 적당한 맛, 양. 식사시간엔 살짝 정신이 없다. 들어서자마자 어디서 왔냐고 묻는게 재밌다. 이유는 반찬을 보면 알수있다.",3년 전
3,"호텔 카운터 직원 추천으로 방문.
멍게전 강추. 진짜 새로운 경험이었다.
성게비빔밥은 성게 맛이 적어서 살짝 실망, 성게미역국은 맛은 좋은데 양이 좀 적어서
별 하나 뺌.",4년 전
1,"아무리 관광지라고 해도 1인1메뉴라고 1개 부족하게 시킨것을
다른직원한테 저 테이블에 서비스주지말라고 말하는걸 들어버렸네요
점심시간도 아니고 11시였는데
우리때문에 피해보는것도 아니였고
1개 덜먹는대신 술이며 음료며 마니 시켜 먹었는데
저런식으로 장사하는건 아니지않나요?
다신 안갑니다
음식도 그닥!!!!입니다
성게비빔밥 별3개 미역국은 1개도 아깝네요",2년 전
5,"성게 비빔밥, 멍게 비빔밥 모두 추천합니다. 특히 멍게향 가득한 멍게전 추천합니다. 다만 성게 미역국은 좀 아쉽습니다. 아침 또는 점심 식사하기에 좋은 식당입니다.",3년 전
3,"맑은 도다리 쑥국을 맛 볼 수 있습니다. 반찬이 맛있고  많이 줘서 만족스럽게 식사했습니다. 어디서 왔는지 계속 물어보셔서 의아했는데, 계란에 데코레이션해주시더군요! ㅎㅎ멍게 비빔밥도 먹을만했어요. 가격은 좀 관광지 느낌..",6년 전
4,깔끔한 맛입니다 매운탕 맛있는데  매워요,7달 전
5,통영 케이블카와 루지 그리고 해저터널과 가까이 있는 멍게비빔밥 성게비빔밥 성게미역국등이 아주  맛있는 곳입니다  나오는 밑반찬들이 푸짐하면서도 모두 맛깔스럽고 훌륭합니다,5년 전
4,마시써요 흑흑 멍게비빔밥 하나도 안비려 ㅠㅠㅠ 공기밥 추가해줘요 꼭 생선구이도 통통했뜹니다.... 반찬...그만주세요....배불러요 ..... 서울에서 온거 뜻밖에 설밍아웃 당했슴다 처음에 어디서왔냐고 하시길래 그냥 인삿말인줄 알았는데 계란말이에 써주셨다는....,3년 전
5,"최고의 성게 미역국~~
통영의 바다가 입안으로~~ 미여국 감탄이었어요~",2년 전
5,너무 맛있어요. 매년 통영오면 찾는곳인데 친절해요~,9달 전
