별점,리뷰,날짜
5,바로바로 나와서 너무 좋구요 가격도 저렴하고 맛있어서 재방문 각. 약간 여름에 계곡에서 백숙먹는 느낌의 맛이랄까 먹다보면 닭가슴살이 퍽퍽해서 목이 막히는데 같이나온 김치랑 먹으면 맛있음돠,2년 전
4,"1. 개성 넘치고 특색 있는 통구이 집
2. 크림 통닭 내 취향 저격
3. 폐허도 아닌것이 실내 포장마차도 아닌것이 ㅋ
4. 직원분 친절하고 좋아요 😀",2년 전
5,기름기 쫘악 빠져 담백하고 질리지 않는 맛이네요,8달 전
5,장작구이 통닭 맛있고 소스따로달라고하면 엄청 듬뿍 주십니다 따뜻할때 먹으면 최고!!!! 기본 어묵국물도 맛있고요 사장님 친절하고 좋아요,2년 전
4,맛있네요 ㅎ 참나무 향과 숯불구이로 익힌 닭고기. 맛있어요!,2년 전
5,치킨이 아주 담백하고 맛나요. 따라오는 누룽지는 아주 예술품,2년 전
4,집밖에서 닭이 땡길땐 항상 장작구이로....,2년 전
4,가성비~ 색다른 분위기~,1년 전
4,리뷰 없음,1년 전
5,리뷰 없음,3달 전
1,리뷰 없음,3달 전
5,리뷰 없음,10달 전
5,리뷰 없음,1년 전
4,리뷰 없음,1년 전
2,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
