별점,리뷰,날짜
4,"별점 하나 뺀건 ...
내가 회 맛을 몰라서...ㅎㅎㅎ
회 좋아 하는 친구를 위해 내가 희생? 함.ㅎㅎ

근처에 다찌로 소문난 곳이 많은데 가격이 부담스러워서 그냥 여기 옴.
그런데 개인적으론 왠만한 다찌집만큼 나온듯해서 만족함.

평일날 갔는데 할머니 한분이 하고 계셨고..
그래서 전반적으로 음식 나오는게 좀 오래 걸림.

그래서!!!!
바쁘신듯 하여 소주도 내가 가져다 먹고
초장도 내가 챙기고 ㅎㅎㅎㅎ 이런저런 잡다한건 내가 직접 가져다 먹음.
할머니랑 이런저런 이야기도 하면서 그러니 그것 또한 나름 정이 있고 좋았음.

회정식과 회 중에 고민하는데 사장님이 회 먹으라길래 그거 시켰고 ..
전체적으로 음식이 깔끔하고 괜찮았음.
회 좋아 하는 친구는 연신 '맛있네~' 그러면서 열심히 먹었고...ㅎㅎ
할머니랑 이런 저런 이야기도 하면서 회에 소주 한 잔 하니 그것도 나름 매력이 있고....

2명이서 회 소자 하나 시켰는데 다 못먹고 ...ㅋㅋ
할머니 섭섭해 하실까봐 맛없어서 남긴거 아니고 다 못먹어서 남긴거라고 ..음식을 너무 많이 주셨다고 그러고 나왔음.
맛있었음.
다음엔 회정식 먹어 봐야지.. ㅎㅎㅎ",1달 전
5,"회정식 (1인 25,000원)
멍게비빔밥 (15,000원)
물회 (15,000원)

2016년부터 블루리본을 받은 조용한 업장
현지인분들이 대부분이고
통영인들이 이용하는 식당입니다
당일 조업을 통한 신선한 회로
물회나 회 정식 등 회를 활용한 음식들이 주입니다
특히 회 정식을 시키면 다양한 찬이 깔리는데
전부 손맛이 좋아 밥맛 제대로 살아납니다
통영에 유명하고 많이 알려진 업장들이 많지만
이런 곳들을 방문해 봐야 통영 간게 아닌가 싶네요!
아무래도 바다 근처라면 회를 먹어야죠?

추가 리뷰가 궁금하시면
INSTA : @wankki__ (언더바 2개입니다)",6달 전
5,"신선한 식재료로 주문즉시 만들어주십니다.
깔끔하고 엄마손맛같은 느낌.
지역주민들이 많이 찾는 이유가 있네요.

이것저것 먹어보고싶어서 도다리쑥국, 회덮밥, 멍게비빔밥, 생선구이 하나씩 주문했는데 귀찮아하지 않으시고 흔쾌히 만들어주셔서 정말 감사했습니다.
덤으로 도다리쑥국 한그릇 더 주셔서 든든하게 나눠 먹었습니다^^",7년 전
3,"맛 ★★★
분위기 ★★★
가격 ★★★★
1인 회정식 15,000원
현지 통영사람들이 많이 찾는 식당인듯하다.
스끼로 나오는 돌문어 간장무침, 박하지,굴,멍게,도미구이 미쳤다.
스끼가 너무 맛있던걸까. 회의 선도는 다소 떨어지는듯 하고 매운탕은 비린맛을 잡지 못하여서 너무 아쉬웠다.",4년 전
5,"여행객들로 인해 늘 떠들썩한 다른 식당에 비해 다소 조용한 식당.

그러나 지역 주민들이 찾아와 화이트와 좋은데이를 놓고 오늘 매운탕 가능한 생선이 무엇인지 묻고 그걸로 끓여달라는 정이 있는 식당.

그릇 하나 하나 반찬을 담는 주인 할아버지와 주문과 동시에 물고기를 뜰채에 담아오는 할머니는 느리지만 소박하게, 무뚝뚝하지만 정성껏 음식을 내오는 식당.

다음에 방문할 의사가 있냐 묻는다면 당연히 방문하겠노라 장담할 수 있는 그런 식당이다.",6년 전
4,숨겨진 맛집! 다른 식당들 다 영업종료해서 숙소로 돌아가는 도중 들렸는데 맛있었어요. 블루리본도 2016년도부터 받으신거 같아요,5년 전
4,시골 할머니 집에서 대접받는 기분.,5년 전
4,회정식. 회도 굿~ 함께나오는 솜씨좋은 반찬들~,3년 전
5,"가격도 싸고 회도 바로 잡아서 싱싱해요.
강추",4년 전
5,무조건 가세요 후회 없어요,4년 전
4,회정식 또 먹고 싶습니다,3년 전
4,가성비 최고,4년 전
5,리뷰 없음,1주 전
