별점,리뷰,날짜
3,"3만원과 4만원 코스 있는데 4만원 코스 선택.
해산물은 신선한 편이나 오마카세 같은
고급스러운 구성을 기대하면 안 됨. 소주 추가할
때마다 안주 추가되는 재미도 좋음.
주인분도 친절하시고 좋음.",2년 전
5,"완전 대박!!!! 다시 통영 오면 꼭 오고 싶은곳!!!
다른 댓글에 편견을 깨는 곳~~ 넘 바빠서 그렇지 몰라서 물어보면 친절히 답해주고 이야기 해줘서 ~~^^ 아주 좋은곳!!! 강추합니다
꼭 가보세요 ~~금토일은 일찍 가야 먹을수 있데요~~^^",4년 전
3,"해산물위주의 다찌집.
홀서빙하시는 분이 바쁘시고 불친절까지는 아니었어요
해산물 좋아하는 아내는 좋아하였으나
해산물과 세꼬시에 익숙하지 않으신분은
비추천합니다",3년 전
4,"멩게를 샤벳처럼 만든 음식 맛있다.
꼼장어 찜도 괜찬고
붕장어 회도 좋았다.",5년 전
4,잘나오긴하네요 손님넘많아서 음식도늦고정신은없네요,5년 전
4,점심때 정식을 먹었는데 깔끔하게 요금도 1만원에 주인 혼자서하다보니 늦게 나오는게 흠이드군요.,10달 전
5,"아니 이렇게 깨끗하고 푸짐하고 맛난 다찌집이!! 유명한데 못미치는 다찌집이 많은데 여긴 정말 알차다! 회도 두 종류 이상에 해산물 종류도 많다. 아구수육도 맛나고,  많은 양의 신선한 성게알은 대박!",5년 전
4,"1인 기본 3만원에 정해진 코스가 나옵니다
술을 더 드시면 조금 더 나오겠지만 기본코스도 충분합니다
여행오시는 분들이 해산물을 맛보기에는 좋은 장소입니다",4년 전
1,사람 과 사람의 대화식으로 행복 입니다~ㅋ,4년 전
4,현지인들에게 유명한 다찌집. 인당 3만원에서 소주와 바다음식을 맛있게 맛나게 먹을 수 있는 맛집,7년 전
5,"현지지인과 함께 간 토담실비~
신선한 해물이 가득~
다찌 본연의 느낌이 들어서 매우 좋았네요",1년 전
4,동네장사라 단골끼고가면 별 6개 없으면 3개. 여자둘이나 커플둘이 통영여행와서 여기온다 이게 제일 망케이스.  네명이상 술꾼으로 파티짜서 방예약하고 가는걸 추천합니다.,6년 전
5,"좁지만 왁자기껄한분위기가 좋습니다.
음식을 께절마다 종류별로 먹을수 있어 좋습니다. 늦으면 자리가 없을수도.",2년 전
4,"통영 가게되면 가능한 들르는 곳
1인 기본 3만원에 소주 1만원 맥주 6천원
술 나올때마다 따라 나오는 맛깔스런  음식들
통영이 아니면 도저히 맛보기 힘든 싱싱한 해산물
지인과 들르기 시작한지 몇년 안되었지만
지금은 조금 안면을 익힌탓에 가면 눈인사 정도
하는 사이가 된 집 입니다
기본으로 나온 상차림에 침샘을 자극하고
곡차를 해산물과  더불어 목젖을 적셔주면
산해진미가 다 내 뱃속에 있소이다
애주가라면 한번쯤은 권하고 싶어지는 곳이죠
곡차를 즐기지 않는분들은 추가로 곡차를 시켜야만 나오는 음식들을 맛 볼 기회가 없으니  가시려면
애주가와 동행을 해야 추가 음식을 덤으로
음미 할  수 있는 단점도 있습니다
통영 남쪽바다 가시면 한번쯤은 들를 만한 장소로
추천 합니다  손님이 많아 시간때를 조금 늦게나 조금 일찍 가야 자리 확보가 될겁니다",7년 전
4,"해물을 좋아하면 한 번은 가 볼만함.

아쉬운 점 - 개인 와사비장 안 줌(2인 1종지), 찌개 덜어먹을 앞접시와 국자 안 줌.  요청시 그런거 안준다고 하심....그러나, 병걸릴것 같아서 받음.  12만원 상에 일식집 서비스를 바라지는 않으나, 돈이 많이 안드는거는 해 주심 고맙겠음.
다음데 또 가고 - 또 앞접시 아쉬운 소리 해가면서 받을거 같음.",7년 전
5,"가격대비 대접받은 느낌이었네요
정말 맛있는 음식
감사드립니다
다음에 통영 내려오면
꼭 들릴께요",5년 전
1,"가지마세요.
단체예약있으면 개인손님들은 내쫓습니다.
문전박대 처음이네요.  미리 전화문의까지 했건만..
너~~~~무 불친절해서 다신 쳐다도안볼랍니다",4년 전
5,통영 다찌집 중 3손가락안에 들어갈 정도로 푸짐하고 맛있는집. 주인과 서빙하시는분들 엄청친절함,6년 전
5,가성비좋은 음식점입니다 규모는 작아도 그만큼 고객 응대가 빠른곳 입니다,4년 전
5,통영다찌집이 여러곳이 있지만 깨끗하고 나오는 안주들도 정말 맛있고 다양합니다,4년 전
4,끊임없이 스끼다시가 나옴 외지사람들은 잘 모르는 조리법으로 나와서 정말 신기하고 맛좋다.,5년 전
3,진주에 잘나온다는 다른 다찌집보다 통영이 명성에 비해 대부분 그냥 그런거같아요.   아쉬움,4년 전
5,이모들 엄청 바쁘셨지만 음식 다 맛있고 좋았어요~~~^^,4년 전
5,싱싱한 해산물을 맘껏 즐길수 있는 통영의 맛집입니다.,4년 전
4,맛있는 해물과 튀김이 많이 나와요.,3년 전
4,물안개가 피는 아침 공기는 정말  좋아요~,3년 전
4,"실비식당으로 좋음
소주가격이 비싼것이 흠",1년 전
5,다양한 메뉴와 음식의 질도 좋았습니다.,5년 전
4,음식이 다양하게 잘 나옵니다. 주차장이 없어요ㅠㅠ,7년 전
5,현지인 추천으로 바다맛을 보고 왔습니다,2년 전
5,"다지식당의최애식당
진정한다지식당   찐추천합니다",2년 전
4,여러종류로 맛있게 먹었어요,5년 전
5,통영 3대 다찌. 신선함과 풍요로움 그리고 다채로운 ㄹ안주의 향연,7년 전
5,찬치국수 국물이 맛있어요,4년 전
5,통영을 대표하는 맛집 중 하나  꼭 한번쯤 가보고 싶은 곳,5년 전
4,좋다 식사가 없는게 아쉽다,5년 전
5,재료가 싱싱하고 맛있음,3년 전
5,해물이 무진장  나오고 신선합니다.,7년 전
4,"열심히 먹고 또 먹고
깔끔하게 한잔",4년 전
5,정말 최고의 음식,4년 전
5,맛있었어요,3년 전
5,말이 필요없지요!,5년 전
5,통영하면 실비~ 실비하면 토담~,4년 전
4,좋아요,4년 전
4,배불러요,3년 전
5,신선한 해물,7년 전
5,맛있다,5년 전
4,통연 실비 짱,7년 전
5,리뷰 없음,2년 전
5,리뷰 없음,5년 전
4,리뷰 없음,1년 전
4,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
2,리뷰 없음,2년 전
1,리뷰 없음,2년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
3,리뷰 없음,3년 전
3,리뷰 없음,3년 전
5,리뷰 없음,3년 전
4,리뷰 없음,3년 전
4,리뷰 없음,3년 전
5,리뷰 없음,3년 전
5,리뷰 없음,3년 전
3,리뷰 없음,3년 전
4,리뷰 없음,3년 전
4,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
2,리뷰 없음,4년 전
4,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
1,리뷰 없음,4년 전
2,리뷰 없음,4년 전
5,리뷰 없음,4년 전
2,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
1,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
2,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,7년 전
1,리뷰 없음,7년 전
1,리뷰 없음,7년 전
4,리뷰 없음,7년 전
