별점,리뷰,날짜
4,"통영시 음식점 *통영식당*
통영 여행 와서 첫 식사 장소로 선택한 이 곳!
통영항 여객선 터미널 앞에 위치하여 주차하기 편함! 옛날 느낌 물씬 풍기는 외관에 조심스럽게 들어가본다!
메뉴는 멸치쌈밥으로😛
밑반찬과 더불어 멸치조림, 멸치회, 생선구이가 나온다! 상추에 밥 조금, 멸치조림 조금 넣고 싸 먹으라고 하는데..😋",2달 전
4,"봄엔 이걸 먹어줘야 비로소 봄이라는 허영만 쌤의 말처럼...
이제 진짜 대한민국의 봄이 온 것 같아서 비로소 맛 보러 갔음.ㅎㅎ

예전에 무심코 딱 한번 먹어 봤었는데 너무 맛있었고 ...
이번에도 역시 너무 맛있었음.
봄에 한번쯤 드셔 보시길...
나름의 매력이 있음.ㅎㅎ",1달 전
3,도다리 쑥국만 먹었어요. 멸치쌈 조금이랑 생선구이가 같이 나오는데 쑥이 많이 들어가 있어 쑥향이 좋아요. 하지만 먹고 나면 도다리의 비린맛이 남네요. 한번 경험한걸로 만족합니다.,3달 전
5,"통영에 가면, 웬만하면 한 번은 꼭 들르는 집이 있다. 서호시장의 <통영식당>. 매일 문을 여는 곳이라 일요일에도 저녁을 먹으러 갔더니 문 앞에 '재료 소진'이라는 안내 문구가 걸렸고, 문도 닫혀 있었다. 원래 오후 8시까지인데, 오후 6시 전에 문을 닫은 거다. 그래서 간 곳이 <통나무다찌>였다.

서피랑을 둘러보고 오후 3시 조금 넘어 갔더니, 연세가 많은 주인 할머니께서 약간 난색을 표하더니 저녁 때 오란다. 그래서 오후 5시30분에 맞춰 갔다. 지난해나 지지난해 여느 때처럼 사위라고 추정되는 아저씨가 상을 치우고 있었고, 우리에게 새 상을 차려줬다.

""<통영식당>에서 밥 먹으려고 서울에서 내려왔는데, 어제는 문을 빨리 닫았더라""며 너스레를 떨자, 입가에 살짝 웃음기를 띠며 ""그 정도 식당은 아닌데...""라며 주방으로 발걸음을 돌린다. 겨울철 별미 (물)메기탕을 시키려고 했더니 ""올해는 물메기가 대구보다 비싼데, 그렇다고 가격을 올릴 수 없어서 당분간 메뉴에서 뺐다""고. 그래서 생선구이와 멸치쌈밥 주문.

찬을 내오면서 '멸치회'가 한 접시 나왔길래, 이게 멸치쌈밥 메뉴냐고 물었더니 그건 밑반찬이란다. 독특한 게 유리문에 붙여진 '블루리본'만 11개인데, 그걸 밖에서는 안 보이고 안에서 보이게 '거꾸로' 붙였다. 왜 그랬냐고, '바깥에서 손님들이 보게끔 해야 하는 거 아니냐'고 묻자, ""그냥 (남사스러워) 그랬다""고 한다. 볼 때마다 느끼지만 이 아저씨, 아주 부드러운 츤데레다.",6달 전
4,도다리 쑥국과 멸치회 먹었습니다. 맛은 나쁘진 않았습니다. 정갈한 반찬도 좋았구요!,1달 전
2,"허영만 선생님 장난하지마세요. 이런곳을 식객에 소개하다니요. 실망입니다.
멸치쌈밥에서 멸치회무침은 보통 멸치조림은 최악이었습니다.
생선구이도 말라비틀어져 먹기 고역입니다.
통영에 맛잇는곳 많으니 이집은 피하시기 바랍니다.",11달 전
2,"멸치회 정식 주문 했습니다.
제 취향은 아니였습니다.
김치찜에 부스러지듯 엉켜 담긴 멸치는
맛을 보기전에 제 시선에는 보기 좋지 않아서 맛을 못봤어요.

함께 나온 멸치회도 물컹하게 씹히는 식감이  맛을 반감 시키는 것 같았습니다.

원래 이런 맛이  멸치회 정식이라면
가격이 조금  부담됩니다.

시장백반에서나 볼수 있는 그릇에 담겨 나오는 멸치김치찜은 처음 보지만
마치 남은음식을 담은 모습이였습니다.

물론 그런일은 없겠지만
스텐대접에 음식을 내어주시기 보다는
좀더 깔끔한 그릇을 사용하여 주시면
한결 음식모습이 좋아 보일 것 같습니다.",1년 전
4,"한정식 9천원에 멸치회무침, 멸치쌈밥, 생선구이까지 가성비 최고!  화려한 맛은 아니지만 소박하고 깔끔한 맛이다",3년 전
5,다른분들은 짜다고하는데 저희는 밥 많이 추가해서 너무 맛있게먹었고 생선회도 오히려 식감보다 감칠맛이 좋아서 너무 맛있게 먹었습니다.,2달 전
5,"추천받아서 찾아갔는데
반찬도 맛있고 멸치쌈밥을 시켰는데
밥도둑이었어요
통영 서호시장안에 있어서 식사후 해산물이나 건어물 장보기도 좋았어요",2년 전
5,"9000원 기본정식에도 도미구이가나오는 어촌클라스입니다. (그날그날 생선종류는 다르다하심) 제가간날은 다른생선이 없어 돔을구입했다고 하시더군요.

부모님은 도다리 쑥국을드시고 저는 생선국을 좋아하지않아 기본정식을 먹었습니다. 모든메뉴 2인분 이상만 주문 가능하며 기본정식에도 멸치회, 멸치쌈장, 생선구이 다 나옵니다.

사장님에게 기본정식에는 뭐나오냐 물으면 그냥 반찬나온다 하심. 그러곤 먹을때 잘못먹고있으면 이건 이래먹어야한다 한마디씩 던져주십니다. 뭔가 욕안하는 욕쟁이 할머니 스타일.. 츤데레 스타일이십니다.

+) 저희는 평일 저녁 5시쯤 (비진도, 소매물도에서 돌아오는 마지막 배시간) 방문해 시장이 문을 닫아 여기도 문을닫은줄 알았으나 실내 조명이약해 불빛이 보이지 않았던것 뿐 입니다. 저녁때 가시는 분들은 멀리서 문닫았다 단언하지마시고 가까이가서 한번확인 해보시길 바람니다.",6년 전
