별점,리뷰,날짜
5,"바다의 신선함과 스포츠의 짜릿함이 만나는 곳! 플레이볼 통영

통영에 이런 펍이 있다는 게 정말 반가웠어요.
**‘플레이볼 스포츠&오이스터펍’**은 이름처럼
신선한 굴 요리와 다양한 해산물 안주, 그리고
스포츠 경기 생중계까지 한 번에 즐길 수 있는 감성 펍이에요.

실내는 세련되면서도 캐주얼한 분위기,
통유리창 너머로 통영 밤바다를 바라보며
시원한 맥주와 함께 굴 플래터를 먹는 순간,
여기가 유럽인지, 통영인지 헷갈릴 정도예요!

특히 추천하고 싶은 메뉴는

생굴 플래터: 바다의 맛을 그대로!

굴 튀김 & 굴피자: 해산물과 치즈의 완벽한 조화

시원한 생맥주 + 스포츠 중계: 친구랑 보기 딱 좋아요

사진은 미드를 경험하고나스 찍은 사진입니다

직원분들도 정말 친절하고, 음식 퀄리티가 기대 이상이었어요.

특히 사장님은 술 전문가로 인정!!

연인, 친구, 가족 모두에게 추천하고 싶은 통영의 보석 같은 곳!

[별점]
★★★★★ (5점 만점)",1주 전
4,"투자를 많이 하신듯 쾌적한 환경이었습니다.
맥주맛도 좋았는데, 정작 스포츠를 시청하기에는 조금 애매한 분위기여서 조금 아쉬움이 남습니다.",2년 전
5,"와 여긴 통영을 올 이유가되내요
최고입니다 굴은 여기입니다
통영에 온다면 꼭 여기 와봐야  합니다

강추 매력적입니다
분위기를 느끼고 싶다면 여기 입니다",1년 전
5,"통영에 있는 믿기힘든 가격의 맥주집.
이게 이 가격어 여기에? 로 모든게 설명된다.",1년 전
5,맛있는 안주와 최고의 하이네켄 🍺…,2년 전
4,정말 좋아요ㅡ 강추 뷰며 소물리에분도 친절하심~ 분위기 있는,2년 전
4,"다양한 국내외 비어들과 멋진분위기
카리스마쩌는 사장님",1년 전
5,맥주 맛있어요^^,2년 전
5,통영에서 새롭게 시작합니다,2년 전
5,멋진 전망과 훌륭한 맥주. 다양한 맥주를 탭으로 맛볼 수 있습니다. 스포츠 펍 같으면서도 화려하고 모던한 느낌이에요. 통영에 있는 곳을 꼭 방문해보세요.,6달 전
5,"수제맥주를 즐기고 특히 하이네켄을 즐기고 싶다면 꼭 가봐야 할 곳, 통영 최고의 맥주펍!",2년 전
5,"이번 주 초에 우리는 오늘 저녁에 혼자였고, 비가 내리는 항구의 멋진 전망이었습니다.
제가 먹어본 것 중 최고인 아주 신선한 피쉬 앤 칩스와 우리를 이해하려고 최선을 다하는 세심한 직원들: 좋은 저녁 보내세요",1년 전
5,통영 굴 맛집! 신선한 굴과 함께 많은 현지 맥주.,2년 전
5,굴(스텔라마리나 플래터)과 맥주를 함께 즐길 수 있는 국내 최고의 곳.,2년 전
4,기네스를 마시기에 충분한 곳입니다.,1년 전
5,내가 제일 좋아하는!,2년 전
4,리뷰 없음,1년 전
4,리뷰 없음,2년 전
5,리뷰 없음,2년 전
5,리뷰 없음,2년 전
