별점,리뷰,날짜
5,"자연산 생선매운탕,회,곰장어 전문식당이네요
식사로 뽈락과 물메기탕 먹었는데
재료가 신선해서인지 비린맛없이 국물이 시원,고기양이 많습니다
기본반찬도 괜찮고
한산섬식당과 맞은편에 있습니다",3달 전
3,매운탕은 좀 짜다는 느낌이 들지만 맛있네요. 쥐치도 졸깃하고 씹는 맛이 좋아요. 직원분들 친절하시고. 단지 밑반찬이 그렇게 손이 가는게 없네요.,1년 전
4,"기본반찬이 예쁘다.
바다가까운 통영이기에
가능한것인걸까?
아니면 기본적인
반찬의 개념으로 보아야할까?

기본반찬만으로도
만족할 수 있는 식당이 많았으면
하는 기대를 해 본다.

바다가까이
넉넉한인심에
다시 한번 감사한 마음이다.

내돈내고 먹으면서
진정으로 감사한
식당이 얼마나될까?

어떻게보면
극한직업 중의 하나인 식당은
진화하는고객의 만족을
채우기는 어렵겠지만
최소한 불편을 느끼지않는
친절과 봉사가 필요한 영역이다.

규모에 따라
새로운교육을 수행하기도 하지만
대부분 교육의 중요성을
크게 느끼지 못하기에
경영자의 인성으로부터
출발하는 작은 식당은
이제 사전서비스의영엽으로의
빠른진입이절실히 필요하다.",1년 전
5,"최고의 꼼장어집..
매번 맞은편 한산섬식당에서 뽈락구이 뽈락탕만 먹다가 꼼장어 먹으러 갔는데..
이곳은 진심 꼼장어 개 맛집임..
뽈락탕도 .. 친절함도...
한산섬식당 이상임 ..

개강추",4년 전
5,"메뉴는 뽈락, 쥐치, 물메기 등 매운탕과 뽈락구이.
밑반찬들이 한산섬보다 지역색이 좀 강한 느낌이 있고.
아무튼 이식당 음식들도 매우 맛난...",4년 전
4,"양념곰장어,쥐치매운탕 먹었어요..
볶음밥먹었구요.모든음식은 간이 쎄지 않은 심심한 맛이였어요..현지인들은 원래 아는 식당.
객지분들이 더 많이 오는듯요.",3년 전
4,꼼장어 양념2인 껍질안벗긴 장어라 식감은 별로. 특별한 맛은아닌듯... 반찬맛있다,4년 전
5,매운탕 깔끔하고 맛있고 바로 잡은거라 비린내가 1도 없습니다ㅎㅎ,4달 전
4,"곰장어 좋아하시는 분은 맛있다고 함
저는 곰장어 자체를 별로 안좋아해서 맛이 있는지는 잘;;;",2년 전
5,"추천메뉴가 쥐고기매운탕
맛있게 먹었어요 ~",1년 전
4,뽈락매운탕을 먹으러갑니다. 매운탕안에 싱싱한 뽈락2마리가 들어가 있어요..이번에는 찬으로 전어회를 주시네요..맛있네요!,4년 전
4,"출장길에 맛집으로 추천받은 식당이다
바가 추적추적 내리는날
얼큰한 매운탕과 한잔술이 생각나는 그런날
점심이지만 반주가 생각나는 그런날
말지취로 보이는데 국물이 얼큰하고 짭잘했다

신싱한 매운탕 그대로의 맛
일반적인 횟집 매운탕이 아니라
통영 거제에서 맛보는 지리매운탕이다
굵은 고추가루를 사용해서 국물에 완전히 스미지않은 텁텁함 그 맛을 느낄수 있는곳!

가격은 조금 부담가지만
재료와 물가를 생각한다면
무엇보다 통영거제의 매운탕을 맛보려면
추천하지 않을수 없겠다",2년 전
5,"맛있어요. 와~ 국물이 칼칼하고 개운~합니다
이런식의 매운탕은 안먹어봤는데요,
서울식 매운탕이랑 좀 다르네요.
싱싱한 생선살이 입안에서 탱글거리고 칼칼하고 깔끔한 국물 이 끝내줍니다.
밑반찬도 아주 맛있어요~",1년 전
4,현지인 분들이 친목회로 많이들 오시더라구요. 꼼장어는 처음이라 양념된 두루치기를 먹었는데  쫄깃담백 맛있었고 쥐치매운탕이 제 입맛엔 더 맛있었어요.,1년 전
4,해장을 위한 완벽에 가까운 선택.,1년 전
4,"곰장어 주물럭 주문, 서울과는 다르게 곰장어의 껍질을 벗기지 않은 상태로 조리되어 나옴. 약간 미끈거리는 식감은 있지만 비린내 하나 없이 깔끔한 맛. 곰장어도 유명하지만 보통은 매운탕을 많이 시켜 먹는것 같음",6년 전
2,이상하게 싸고 맛있어서 돈 좀 벌면  터무니없이  값을 올려 그냥 단체 관광객 받는 그냥 그런집으로 바뀌네요. 밑반찬은  짜고  불친절하고  입이  쩍쩍 갈라지는 mag의 향연.,7달 전
3,"현지인들이 많이가는듯 택시기사님 츤짠방문
양념꼼장어 2인분..조금모잘라 뽈락탕1개주문
꼼장어는...기장스타일과 다름 불판에 졸여서 먹음(( 입맛에 안맞는분 계실듯))
볼락탕- 허연국물에 고추가루 놀람
국물맛은...음 개인적으로 비추
무전동쪽 꼼장어가 더 나은듯",4년 전
5,"개인적으로 매운탕 먹으러가는 곳
방법1~메뉴로 주문
방법2~수족콴에서 좋은고기 마리당 싯가로 주문하여 매운탕값 별도하여 주문
꼼장어 제대로 요리하는 오래된 곳 아주 옛날에는 꼼장어 안주 만 팔던 집 ㅡ강추!!!",7년 전
3,"통영에 가면 식사코스로 왠만하면 들러서 한끼 하고 가는 집입니다 쥐고기 매운탕을 주로 먹는데 식당상호가 곰장어지만 손님들 대다수가 매운탕거리를 칮는데 나오는 밑반찬과 매운탕의 시원함 생각하니 군침이 도는군요
밑반찬으로 나오는 계절별 회 약간으로 입안을 즐겁게 하고 각종 신선한 해물 무침?등으로 시작하여 뒤에 나오는 매운탕을 먹으면 살아있는 쥐치를 요리해서인지 아님 매운탕 고수가 요리해서인지 참 먹기 편하고 맛갈나는 쥐치매운탕
을 먹을 수 있죠 통영에 먹거리가 풍성하고 신선해서 참좋은데 그중 쥐치매운탕은 꼭 찾는 집이죠 시원하고 칼칼하고 맛갈나는 쥐치매운탕 통영에 가면 왠만하면 들렀다 가는곳 입니다",6년 전
5,"매운탕으로 손꼽는 집. 꼼장어는 점심때 안해주니 주의. 처음엔 맞은편 한산섬식당을 갔었는데, 이곳매운탕을 맛보고는 여기만 이용. 통영처음오신분들 맛집 물으면 0순위로 추천해줌",6년 전
5,말 그대로 살아있는 곰장어 요리도맛나지만.물메기탕.쥐고기매운탕.탱수매운탕.뽈래기매우탕등 여러가지 요리등구이가 정말 맛난집입니다.,6년 전
5,봄철에 최고 맛집 도다리쑥국입니다~,2년 전
5,음식 맛 좋음ㆍ가격 함리적ㆍ바가지 없음 음식 종류 붕장어 구이ㆍ쥐치ㆍ불랏 등  반찬 주인장의 손맛 ᆞ숨은  맛집,4년 전
4,바로잡아서끊여주니매운탕맛있어요,4년 전
5,최고의 맛집 이였는데 변한거 같아요.,10달 전
5,쥐치매운탕이 시원합니다..친구와 먹는 매운탕이라 더 맛나네요..적극 추천합니다,6년 전
3,"무엇인가부족합니다
곁들임 반찬의 가짓수도 많고 맛도 평범하며 비교적 정갈하게 나오지만 식사를 마치면 무엇인가 부족하다 느껴집니다",5년 전
5,국내 최강의 매운탕의 참맛 역시꼼장어는 한려 꼼장어...,6년 전
4,"매운탕 전문점 재료가 자연산으로 부근에서는
알아주는 식당임!!",6년 전
5,육전에 냉면 맛있습니다. 면도 부드럽고 양념도 맛있습니다,4년 전
4,곰장어보다이집 쥐고기나 볼낙매운탕이 일품이다,2년 전
5,매운탕이  진짜 맛있어요. 강추합니다.,6년 전
4,쥐고기 매운탕 시원하고 맛있었어요  ^^~,4년 전
5,"추천메뉴.  쥐고기 매운탕 (강추)
소금구이곰장어",6년 전
4,맛있어요,6년 전
5,쥐고기 매운탕 추천합니다. 이보다 시원할 수 없다,6년 전
5,최고 입니다. 곰장어 보다는  매운탕 최고,6년 전
4,"여기 시원 합니다
삼 뱅이 매운탕  굿",5년 전
4,매운탕 맛이 참 좋아요,6년 전
5,"회도 맛있고 뽈락매운탕,
물메기탕이 너무 맛있습니다.",3년 전
5,음식이  갈끔하고  맛이 좋아요,6년 전
5,소금구이 강추....직원분들...음...쬐끔 분친절함은 있음...바빠서 그런지..,7년 전
4,볼락.  씀뱅이 매운탕  시원한 국물이  끝내줘요~,4년 전
5,곰장어도맞있지만 계절별미 매운탕최고,6년 전
5,"정말 맛이 기가찹니다.
쥐고기해물탕과 곰장어 잡수세요",4년 전
5,매운탕 국물이 깊고 시원합니다,5년 전
4,매운탕국물이 시원해요,6년 전
5,꼼장어 양도만코 넘 맛나요,6년 전
5,계절음식에 맞는 수산물 전문점,5년 전
5,속풀이로 ㅋ 시원한 국물이 끝내줘요^^,5년 전
5,음식도괜찮앗고.밑반찬도맛있엇다.또가봐야지,4년 전
5,꼼장어도 굿 매운탕도 굿임,4년 전
4,꼼장어 소금구이가 좋았어요.,5년 전
5,곰장어와 매운탕이 맛있는 곳,5년 전
3,곰장어 무침을 먹었는데 곰장어가 물컹거렸다,4년 전
4,매운탕이맛이고반찬이깔끔하다,7년 전
4,잘합디다통영말로~~~~^,1년 전
5,쥐고기 매운탕 맛있습니다,4년 전
4,매운탕 맛있어요,5년 전
5,동생 집  귀염둥이 네조카,6년 전
5,쥐치매운탕이 아주 맛이있음.,6년 전
4,맛있네요,1년 전
5,쥐고기매운탕 강추..,5년 전
3,돈을조금 벌이니 반찬에신경안쓰네,4년 전
5,여기 맛있습니다,1년 전
5,맛있어요,1년 전
5,정말 맛있는 매운탕,6년 전
5,통영에선 매운탕 잘하는집,5년 전
5,곰장어 구이와 두루치기가 일품,8년 전
5,매운탕이 일품이죠,5년 전
5,그 인근에 매운탕 맛집,5년 전
5,맛있고 푸짐합니다,2년 전
4,약간 비림. 후추 팍팍.,4년 전
5,그냥죽여줘요,6년 전
3,매운탕이 진짜!,7년 전
4,밑반찬부터 맛있음,4년 전
1,개판,4년 전
3,별로,7년 전
3,맛집,7년 전
4,매운탕 도좋아,4년 전
1,별루,6년 전
5,싱싱함그자체,5년 전
2,분위기가너무산만합니다,4년 전
5,매운탕 조온맛탱,6년 전
3,쥐치매운탕 그닥,6년 전
5,통영시 에서 최고,6년 전
4,좋아요,5년 전
5,매운탕 맛집!!!,6년 전
5,매운탕 끝판대장,6년 전
2,식사하는곳,7년 전
5,인생 매운탕,6년 전
5,맛집..굿,5년 전
5,배불러요,6년 전
5,존맛탱,4년 전
5,깨끝해,5년 전
3,곰장어,6년 전
5,매운탕맛집,2년 전
5,요리는 풍부하고 맛있으며 환경은 깨끗하고 우아합니다. 추천할만한 좋은 곳이에요! ! !,5년 전
4,리뷰 없음,1년 전
4,리뷰 없음,1년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
5,리뷰 없음,1년 전
5,리뷰 없음,2년 전
4,리뷰 없음,3년 전
3,리뷰 없음,3년 전
5,리뷰 없음,4년 전
4,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
1,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
3,리뷰 없음,4년 전
5,리뷰 없음,4년 전
1,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
5,리뷰 없음,4년 전
4,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
4,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,5년 전
1,리뷰 없음,5년 전
3,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
5,리뷰 없음,5년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
1,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
3,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
4,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
5,리뷰 없음,6년 전
1,리뷰 없음,7년 전
5,리뷰 없음,7년 전
5,리뷰 없음,7년 전
5,리뷰 없음,7년 전
5,리뷰 없음,8년 전
