별점,리뷰,날짜
5,봄 한정 메뉴인 도다리쑥국을 먹었습니다. 처음 먹었는데 왜 사람들이 도다리쑥국 도다리쑥국하는 지 알게 됐습니다. 쑥 향이 강하지 않고(한국인 기준) 조화롭게 어울리는 담백한 국물 맛은 드셔봐야 맛을 압니다. 👍 도다리쑥국 맛으로 추정칸데 다른 음식들도 기대됩니다. 역사가 오래 됐고 점심에는 웨이팅이 있으나 회전률이 빠른 편입니다.,1달 전
3,현지인 맛집이라고 하여 방문. 웨이팅이 다소 있음. 주차는 인근 골목이나 항구에 주차. 매운탕은 1인분씩 주문가능. 1인분 매운탕치고는 가격이 있으나 자연산이라는 설명에 이해가 됨. 매운탕은 맵고 얼큰한 스타일이 아니라 고추가루가 거의 들어가지 않은 심심한 스타일의 매운탕으로 제 입맛에는 존혀 맞지 않았음. 도다리쑥국에는 쑥이 거의 없어 향긋한 쑥향을 느낄수 없었음. 얼큰한 매운탕을 선호하는 제 입장에서는 재방문의사 전혀 없은,1달 전
5,통영오면 항상 가는 곳이예요. 해장에 너무 좋은 식사예요. 오늘은 뽈락 매운탕과 도다리 쑥국 먹었어요~~,1달 전
5,"1인 매운탕 가격치곤 비싼편이지만 맛있음.
전날 술을 많이마셨다면 숙취해소 하기 좋지만
또 술을 부를 수 있으니 조심.

양념꼼장어도 맛있음",5달 전
3,"생선자체는 신선한지 몰라도

반찬 머하나 맛난게 없네요
그냥 관광지 맛집 가는게ㅡ

돈아깝네요",3주 전
4,"생선구이와 매운탕 전문점.
우리 가족은 볼락구이와 볼락매운탕 주문해 먹었는데
손님이 많아서 대기시간이 30분 정도 걸림.
볼락구이는 생선살이 입안에서 사르르 녹아서 사라질 정도로 부드럽고 고소함.
생선국은 싱싱한 볼락 살의 맛이 그대로 배어있어 시원함을 넘어 통쾌한 즐거움이 있음.
혼자서 생선국을 거의 두 그릇 먹고 볼락은 5마리를 해치움.
원래 유명한 집이라 외지에서 온 손님들이 많았는데 나도 그 중에 한 명이 될 듯함.",6달 전
5,"자연산 생선매운탕 전문식당입니다
겨울철이 제철인 물메기탕 먹었는데
고춧가루넣지않은 맑은  국물이 시원하네요,기본반찬도 깔끔하게 맛나고
점심때는 웨이팅이 조금  있어요",3달 전
3,"아침식사로 쏨뱅이매운탕을 주문했어요. 첫 국물맛은 약간 심심한 듯 했고, 계속 먹다보니 얼큰한 맛이 느껴졌어요. 쏨뱅이는 먹어보기가 어려운데, 쫄깃한 맛이 있었고 잔 가시가 많았어요. 아침부터 현지인들이 많이들 오시는 식당 같았어요.
밑반찬도 7가지나 주시네요.",9달 전
5,"현지인 추천 맛집입니다.
매운탕이 너무너무 맛있었어요. 짜지않고..
반찬도 약간 짠것도 있지만 다 맛있어요.
청각하고 오이,무말랭이와 더덕무침...
멸치볶음은 멸치가 좋은 멸치라 잘 먹었어요.
가격대비 최고입니다.",6달 전
3,밑반찬은 깔끔하고 맛있습니다. 도다리쑥국을 먹었는데 너무 짜서 물타서 먹었습니다. ㅠㅠ,2달 전
