별점,리뷰,날짜
5,충무김밥 유명집인데 무난무난 합니다. 1인분에 충무김밥 8개가 나옵니다. 가격이 저렴하고 특히 2명이서 1개시켜도 되어서 좋습니다. 한끼로도 가능하지만 체험처럼 조금만 시켜서 먹는것이 좋을것 같습니다. 아무래도 통영 와봤으면 충무김밥은 드시는게 여행 분위기도 사는것 같습니다.,5달 전
1,3인분과 2인분의 오뎅무침의 양이 차이가 없어요. 김밥갯수만 차이나고요,4달 전
4,"-한일김밥본점
-경남 통영시 항남동 79-15
-충무김밥의 본 고장인 통영은 더 맛있을거라는 건 오산,,,
-강구항 근처에 충무김밥거리 중 하나 인 한일김밥
-다른 곳은 2인분씩 포장이 가능하나 이 집 만큼은 혼밥족들을 위해 1인분도 판매한다
-맛은 다 거기서 거기,,꿀빵과 충무김밥의 고장
-곁들여 나오는 시락국도 쏘쏘
-명동 충무김밥이 정배일까??
-1인분 6,500원

#한일김밥본점 #충무김밥 #1인분가능 #과노c슬기로운미식생활",1년 전
4,맛도 있고 가성비도 있는데 모든게 셀프임.,4달 전
3,"오래된 충무김밥집이라 매장내에서
식사를 하였는데...
개인적으로 호불호가 나뉠 맛이었으며,
전반적으로 무난한 맛 ?
임팩트가 없는 순한맛이었음.",1년 전
4,통영 충무김밥으로 유명한 집. 석박지가 특히나 맛있고 포장할때 국물과 종이컵까지 포장해주는 곳. 테이크아웃을 하기위해 잠시 주차할 공간을 찾는게 다소 어렵다는 점이 아쉽다.,10달 전
3,"그저 그래요~
충무김밥집이 워낙 많고 다들 원조라고 합니다..
이집 여러번갔는데 그냥 쏘쏘 ㅋㅋ
시락국은 너무 싱겁고~오징어 양념은 괜찮네요.
제가 충무김밥 자체를 그닥 좋아하지 않아서 그럴지도 ㅎㅎ",7년 전
3,"충무김밥 전문점입니다.
맛은 누구나 아는 그런 맛, 특별히 자극적이지 않고 심심한 충무김밥.
평소엔 잘 먹지도 않으면서 통영오면 이상하게 사먹게 되는 그런 음식.",5년 전
4,"1인분 5,500원
2인분이상만 포장가능하답니다..
그래도 통영까지 왔으니 포장해서 왔습니다.

부더러운 오징어무침과 어묵, 잘익은 석박지와
따뜻한김밥과 잘 어울립니다.
.
다만 시라국이 간이 전혀 안맞고 물맛이 났고
포장용기가 죄다 비닐이고 젓가락조차 없는게
개선되어야 할 점이라 보입니다.
시라국을 비닐과 종이컵을 주던데 호텔서 먹기 여간 힘든게 아니었습니다.
또 젓가락없이 이쑤시개로 음식을 먹는게......",4년 전
3,여긴 단체 손님이  많아요. 2층 가서 바다 보면서  먹는게 좋아요.  맛은 충무김밥 전문이라 다들 아시는 맛입니다. 김밥과 함께  나오는  무우가  너무커서 좀 불편해요. 서비스는 좋습니다.  친절해요. 어차피 인근 음식점 맛은 비슷 하니까 서비스 좋고 친절한 곳 으로  가야죠,6년 전
3,"평일 저녁시간에 갔는데 이곳 뿐만이 아니라 대부분의 충무김밥집에 손님이 별로 안보이고 일찍 문닫은 집들도 곳곳에 보입니다. 주로 주말에 관광객들 대상으로 장사를 하나봅니다.

충무김밥을 통영에서 나름 유명하다는 세곳 에서 먹었는데, 구성도 똑같고 양도 비슷하며 맛도 별 차이를 느끼지 못하겠습니다.

남자 성인 둘이 가서 3인분을 시켰더니 양이 어느 정도 맞네요. 석박지나 오징어 어묵 무침은 그렇다 하더라도 김밥 이라도 몇개 더 줬으면 좋을 텐데.

석박지는 적당하게 익어서 좋았으며, 오징어와 어묵 무침에 오징어는 너무 적네요. 대부분 어묵..
이 지역 대부분의 음식들이 짜고 자극적 인데 시락국은 심심하니 마음에 듭니다.

먹다보니 석박지가 모자랐는데 사장님께서  더 필요 하냐고 먼저 물어 보시네요.",6년 전
3,유명한거에 비해 맛은 보통입니다 오징어 간이 약간 모자란 느낌? 원래 이런맛인가보다하고 먹었어요 맛있다기보다 통영에 왔으니 먹어본 충무김밥이였어요,3년 전
3,"통영 여행의 묘미 볼꺼리 먹을꺼리가 많다는 거죠.
옛날 만큼은 아니지만 그래도 맛있네요",4년 전
5,"통영에 오니....1/3은 충무김밥집이고 1/3은 꿀방집이고 1/3은 다찌더라구요
그 많은 집들중 우선 충무김밥집으로 한일김밥은 ㅎㅎㅎ아주 굿이예요
같이 주시는 국은 맛있다기보다
간이 별로 안되어있는 미소된장국?
그런데...먹다보면 ㅎㅎ시원해요
다른집은 어묵이랑 오징어 무쳐놓은게
마른것처럼 .ㅠ.ㅠ
그런데 여긴 촉촉하니 맛나요~~~
통영에 3일 머무르면서 2번 먹으면서도
언제 또 먹을수있나~~~그리워지는집☺",3년 전
4,"최근 갔던 충무김밥 중에서는 반찬은 삼삼하고 괜찮았지만
시락국은 너무 싱거웠고 그리 친절한 느낌은 아니었습니다
유명한곳이라 그런가보다하기에는
손님이 별로 없었는데 분위기가 좀 그랬어요",2년 전
5,"통영에 간다면 충무김밥은 먹고와야지.
휴게소 충무김밥이랑은 차원이 틀림
맛있어요",3년 전
5,사실 맛은 가게마다 비슷하지만 저는 몇년째 한일김밥만 먹어요~,6년 전
4,"아주 예전 허름한 건물일때 와본 곳인데 우너조 충무김밥 중 하나로 계속 인기가 있는 곳이네요
사실 충무김밥이 가게마다 큰 차이를 느끼기 그렇고 가성비는 별로인데 그냥 지역 맛집 느낌으로 방문해서 먹을 만 합니다.",3년 전
4,"충무김밥 원조라는데 의미 부여.
솔직히 제 입맛으로는 좀 난해한 맛",7년 전
4,평일이라 웨이팅 없이 먹엇구요 반찬모자르면 요청하면 더주심 지역특색잇는 음식이라 먹을만했고 가격때문에 호불호는잇음,4년 전
5,3월에 갔는데 깍두기가 엄청 맛있었어요. 이젠 통영 갈때 마다 여기만 갈것 같아요. 옆에 한일 나온분이 차린 식당도 있으니 헷갈리지 마시고요,8년 전
1,바로 만들어주지도 않고 만들어 놓은 거 갖다 주시네요. 벨로맛도 없어요.,1년 전
1,"먹다남은것셀프로포장해가려고
포장종이하나가져가도되냐고물었더니
안된다함.비닐봉지주겠다며비닐하나줌
기분나쁨별하나도너무너무아까움
오징어찾기가어려움.오뎅만있음",6년 전
5,자주 가는 곳이예요.  뭐 충무김밥이야 다들 왠만하면 비슷한 맛이지만 친절하고 딱 충무김밥 자체예요.  포장해서 먹었는데 양도 많고 맛있어요.,2년 전
4,충무김밥과 호래기무침을 파는곳 제입맛은 모르겠으나 초3 딸램은 엄지척하며 잘 먹어서 의외였네요~^^,1년 전
4,비싼 가격이지만 깔끔하고 친절합니다. 항구 바로앞에 위치해서 나름 포트뷰 ㅎㅎ,7년 전
1,"마스크 안한 아저씨가 팔고있어서 기분 나빴어요
맛도 되게 없습니다. 오징어 군내남",4년 전
5,맛있어요. 어릴 때 지명이 충무이던 시절 먹던 맛과 비슷합니다.,4년 전
4,맛있고 친절하심 시락국 맛잇음 깔끔해서 좋음,4년 전
3,"통영대표 음식 충무김밥 전문점입니다.
딱히 다른 충무김밥집보다 맛있는건 모르겠고 사장님 친절하시고 매장 깨끗합니다.",1년 전
3,"여러개의 믾은 깁밥집으로 통영 중앙시장 옆 해변도로를 차지하고 있어 어는곳을 가야할지 망설이다 내부가 환하게 들여다 보이고 깔끔해 보이는곳을 들어갔죠
충무김밥 1인분에 5500원인데 김밥 8개가 1인분이라네요 뜨끈한 국물과같이 나온 충무김밥 맛있게 먹고 나왔습니다
깨끗하고 친절한 분들이 좋네요",4년 전
1,진짜...추천받아서 갔는데 실망이네요. 옛날 우리동네에 있던 충무김밥집이 백만배는 더맛있어요. 그 사장님이 지금은 안하시지만 그당시 통영서 사 먹고 온 분들이 우리집이 더 맛있다하더라 하실때 그러려니 했는데 진짜 였어!!!,3년 전
5,통영을 가게 되면 항상 찾는곳입니다. 시장내 몇 안되는 오랬동안 충무김팝만 전문적으로 판매하는곳입니다. 다른 곳도 맛은 괜찮지만  추억과 함께 먹기에는 딱이지요 이전의 포장판매만 하다가 매장내 식사가 가능하고 난뒤부터는 한그릇 꼭 하고 옵니다. 변함없는 맛과 전통맛을 지키는 시락국은 충무김밥의 밥과 반찬의 조화를 이룹니다. 통영 중앙시장의 찐짜 맛을 보시기 바랍니다.,5년 전
2,"서빙하시는
아주머니
불친절
하시면
더운날씨에
좀이따
포장해주시라고하니
현재택배도
붙치다고
포장해도
이상없다고
포장해주셨습니다
점심식사
해지
얼마안되서
그냥.대충먹고버려습니다",1년 전
3,충무김밥이 특별할게 있나.. 무랑 오징어 맛 ㅎㅎ,4년 전
4,"15년만에 방문!
시설은 좋은 곳으로 옮겼지만, 시그니쳐 메뉴인 시락국이 본심을 살짝 잃은 듯 아쉽네요.",1년 전
4,"무김치는 맛있었지만 오징어 무침은 그냥 쏘쏘.. 가격도 1인분에 5,500원으로 주변가게보다 비싼편임. 매장은 깨끗하고 청결해서 좋았음. 화장실도 깨끗!!",5년 전
4,"음식맛이 엣날에비해서 깜짝
놀랍도록 맛있어젔다 특히무우
김치가 먹기좋도록 적당한 크기에
놀랬다 맛도 업그래이 됐다
기분이 좋았다 그래 이맛이였어!",2년 전
1,그맛에 왜 다른 집보다 천원이나 비싼지 이해가 안 감. 석박지는 시고 오뎅무침은 짜기만해서 다 안먹고 나와버림. 좋았던 통영여행을 마지막 식사로 망침.,2년 전
1,"정말 불쾌합니다 통영에서 태어나서 어린시절부터 충무 김밥 추억이 있는 한 사람입니다 그 시절 한일김밥은 우리가족의 단골 김밥집 이었구요
가족들과 오랜만에 통영에서 옛추억에 한일 김밥에 들렀습니다. 밤 10시쯤 간단한게 간식으로 먹고 가자며 들러서 4인 가족끼리 2인분만 시켰는데 다른 김밥집들은 4500원인데 5500이더라구요 반찬 양도 적었구요
그래도 옛생각에 기분 좋게 먹었습니다 맛은... 객관적으로도 예전같지 않더군요 무김치에 간도 제대로 안 들었었구요 최근 생긴 근처 1인분 4000원짜리 다른 충무 김밥집 만도 못한 맛이었습니다  예전에 먹던 그맛이 아니었습니다
그래도 가족들과 함께라는 생각에 기분 좋게 먹었습니다
하지만 처음부터 다른 김밥 집에 비해서 반찬 양이 너무 적었습니다 간이 싱거워서인지 김밥보다 반찬이 부족했습니다 먹다가 부족해서 사장님한테 김치 한쪽만 더 줄수 있냐고 했더니 남자 사장님이 4명이서 2인분 시키고는 무슨 김치 한쪽을 더 달라고 하냐며 못준다고 하더군요
식사때도 아니고 밤 10시에 야식으로 먹고 가는 시간에 김치 한쪽을 더 못 얻어 먹는 식당이 대한 민국에 또 있나요?

이에 대해 불만을 표시하고 다른 손님들이 쳐다보자 언제그랬내는듯 자기가 바빠서 그랬다고 조금만 기다리라고 했다고 안면 바꾸더군요 그래서 아까 그리 말씀 안하지 않았냐고 했다니 까지라고 다시 오지말라고 하더군요... 이게 바로 통영 한일김밥집의 진짜 모습입니다
예전 통영 로컬들이 추천하던 한일김밥 집은 더이상 없고 관광객만 상대하는 한일 김밥... 더는 가기 싫군요 나의 옛추억마저도 함께 망가지는군요 더 좋은 가격의 대안은 많은니까",6년 전
2,"점심에 김밥 2인분 사서 서울 올라가다 3시쯤 휴게소에서 라면과 같이 먹었는데 조금 먹은 저는 괜찮았고 다른 2명은 배가 아파서 화장실을 몇번이나 갔습니다.
충무김밥은 이걸로 The  End.",5년 전
4,맛있습니다. 충무김밥이 뭐 별건가요? 가격대비 오징어양이 좀 적어서 아쉬울뿐. 바로앞에 항구에 거북선도 보여요.,13년 전
4,"많은곳들을 다닌건 아니지만 여기를 재방문했습니다.
충무김밥 집집마다 차이있구요~ 어디집이든 포장보다는 매장에서 드시길 권해드립니다~",6년 전
1,"예전의 맛이 전혀 아니네요. 주인 아주머니가 안계시나봐요. 무우 김치도 , 오징어 오뎅 맛도 완존 아니네요.  거의 20년 단골이었는데 이번에 대 실망이네요. 이젠 그맛을 어디서 찾아야할지.. 쩝..",3년 전
5,충무김밥이란게 원래 티비서 맛나다고해서 잔뜩 기대하고 가 처음 맛을 보는 순간 ‘뭐가 이래’ 하는 맛입니다... 근데... 이상하게도 서울 돌아오면 가끔 생각납니다. 그래서 통영에 기를쓰고 다시 가게 됩니다 ㅜㅜ 너무 멀어서 어쩌다 명동을 가보지만 개량되고 변형된 맛에 결국 다시 통영을 가야하나 하고 고민하게 만드는 요물이에요.,7년 전
1,주인 불친절해서 비추합니다...맛도 그저그래요.. 초등학교 생 딸 2이어서 3인분 시키고 애들 국하나 더 달라고 했더니 3인분에 국 3개라고 핀잔 줌...뜨네기 상대하는 식당인 듯...근처 충무 김밥집 다 가봤는데 맛은 평준화 된듯 합니니다...그냥 친절하고 깨끗한곳 가세요.^^,7년 전
4,간이 딱 좋아요. 꽤 여러번 방문한 곳으로 일찍 갈수록 밥과 김이 더 좋은 감이 있어요..,2년 전
3,"저녁에  혼자 서빙하시는 무뚝뚝한? 손님을 돌보듯 차가운 남자 사장님 경상도 분이라 그러신가? 어수선한 인테리어,  맛은 보통임",4년 전
4,충무김밥집. 통영갔으니 들렀음  충무김밥의 매력을 몰라서 그냥 식사한끼 해결ㅎㅎ,1년 전
