별점,리뷰,날짜
5,"맛있고 잘해줍니다.
이명박씨를 비롯한 여러 인사들이 다녀가신 사진도 있구요, 회맛이 진짜 일품입니다.
쓰끼다시도 간이 잘되서 좋습니다.",3년 전
3,"통영 횟집 어디가 좋을지 몰라서
네이버 검색 추천해주는곳으로 왔는데

스페셜 20만원 메뉴 시켰는데
비교할 다른 통영 횟집이 없어서 그런지
맛이랑 신선도 그냥 괜찮았어요.
(더 맛 괜찮고 가격 괜찮은 통영 횟집 있으면
추천 부탁 드려요.^^)

음식이 정갈하게 나와서 사진 찍기도 좋고,
뷰도 괜찮아요.",3년 전
4,"3대 맛집이라 온 곳인데 회를 안 먹는 막둥이를 빼고 다섯가족 모두 맛있게 냠냠
자연산를 주로 준다는 스페셜 200,000원 짜리를 주문했는데 회는 그야말로 신선하고 질 좋은 회를 맛볼수 있으나 일부 종업원은 너무 바빠서인지 미역국 리필도 안된다고 하고 좀 많이 불친절했음",4년 전
4,"스페셜 20만원, 모듬회 소중대 각각 10, 12, 15만원. 2인이 갈 경우 모듬회 소 정도면 배불리 먹을 수 있음. 사이드가 다양해서 재미있게 먹을 수 있음.

주문하면 음식이 바로 나올 정도로 빠름. 주말 식사시간에는 예약필수.

주차는 건물 앞에 가능 (주차비 3천원).",5년 전
5,"저는 수원에 거주 중인데, 가끔 통영,거제 부근을 가게 되면 꼭 들리는 횟집입니다.
블로그나 홈페이지에 나와있는 사장님 번호를 통해 예약하면 확실하고 빠릅니다.
회를 별로 좋아하지 않는 친구랑 가도 너무 맛있다고 하는 곳이며 스끼다시나 초밥!!! 특히 저는 초밥을 가장 좋아합니다.. 추가해서 먹는 정도.. 정말 정말 맛있습니다 지느러미 부위 손질해서 나오는거 보면 사장님 실력에 정말 감탄합니다. 제대로 된 회를 먹어보고 싶다! 좋은 뷰에서 좋은사람과 맛있는 식사하며 좋은 시간 만들어 보고 싶으신 분들은  꼭 추천드립니다~~~",5년 전
1,"후기에 속은 느낌
후기가 극과 극인 것을 보고 서비스가 문제인가 하면서도
블루리본에 수년째 오른 집이라 믿고 감

스키다시는 해조류 위주에  회도 품질이 떨어지고
따뜻한 스키다시는 조림 구이 무침 모두 너무 짜고 재탕을 얼마나 했는지 양념이 시커멓게 배어있고 타들어가 있다

제대로 차려놓고 먹고자 간곳인데 실망이 매우 큼
회나오고 부터 사진찍고 싶은 마음이 사라짐
더운 요리나올때부터 정말 왕실망
그나마 매운탕은 먹을만",7년 전
5,"일식집분위기 깨끗하고 맛있는 상급 코스요리와  통통한 방어회가 일품이었다
또 가고싶은집 감사합니다",5달 전
2,통영 다찌가 유명하다고 하는 걸 뒤로하고 찾아갔었지만 특별함을 찾을 수 없었습니다. 2인 10만원이라는 가격을 감안하면 모듬회 구성도 부실하고 가성비가 떨어집니다.,4년 전
5,바다경치보면서 맛있는 음식먹고 기분이 좋죠 매운탕이 자극적이지 않고 깔끔하고 회랑 다른 해산물은 수조에서 바로 꺼내서 손질하는게 보여요,4년 전
5,"회가 하나도 안비리고 신선해서 담에 또 갈려구요!
그리고 음식들이 정갈하게 플래이팅 되어서 나오니깐 사진을 못찍어도 너무 예쁘고 맛있게 나와요!!",10달 전
5,"가격은 있지만 맛과 뷰 모두 만족할만한 식당
뷰 좋은자리는 예약필수",10달 전
1,"20만원짜리 스페셜을 먹었는데 먹을게 없어요. 메인회도, 스끼도 중앙시장에서 산것 보다 싱싱하지 않아요.  정말 후회합니다.",5년 전
5,오랜만에 통영갔는데 기분좋게 먹고나왔네요. 직원들도 친절하시고 무엇보다 회가 참 싱싱했어요!!!!! 소주먹을 생각은 아니었는데... 회 한점에 저도 모르게 소주를 시켰어요 ㅋㅋㅋㅋ 담에 통영오면 또 들릴려구요.^^,8달 전
5,"직원분도 친절하시고, 회도 정말 싱싱해서 좋았어요~오래간만에 간 통영여행에서 싱싱한 회에 소주한잔 안하고 가면, 아쉬울뻔 했답니다. 다음에 또 통영가면, 재방문의사 있습니다",10달 전
1,"모임을 하더라도 왜 여기서 하는지 이해가 안되네요 가격이 너무 비싸요

그리고 서빙이모님에게 초밥 추가를 해돌라고 1만원을 따로 드렸는데 광어초밥 2p주시네요",7년 전
5,"싱싱한 회에 소주한잔 마셔도 취하지 않는 바다를 보면서 먹을 수 있고, 스끼다시가 깔끔하면서 가짓수도 많아요.
사장님과 직원분들 친절함에 다음 여행때도 또 방문할껍니다👍",1년 전
5,오랜만에 남자 친구랑 통영 놀러 갔다가 방문한 횟집이에요!!! 우연히 들어왔는데 굉장히 회도 신선하고 사장님도 친절 하시더라구요 맛있게 먹고 나왔습니다,11달 전
5,제가 먹어본 회중에 제일 싱싱했어요~~오션뷰에  회까지 맛있게 먹으니까 기분도 좋고 술도 술술 들어가네요 ㅋㅋㅋ 맛있게 잘 먹고 갑니다😄,11달 전
5,"직원분들 친절하셔서 정말 기분 좋았어요~
회도 싱싱하고 맛있었어요!
여행하면서 찾은 맛집이네요!^^
다음에 또 가면 꼭 들러서 먹을거에요~~
번창하세요~~~~",10달 전
5,"여행중에 다녀온 곳인데 정말 맛있게 잘 먹었어요
회도 엄청 싱싱하고 친절하셔서 가족모두 기분좋게 식사했어요~ 다음에 여행와도 또 오고픈 곳이에요",11달 전
3,"여러가지 해산물을 맛볼 수 있었다
줄돔회 맛좋았다",3년 전
4,"그런대로 괜찮았습니다.
바다뷰 이기는 한데, 우와~하는 뷰는 아니구요.
3인 모둠회시켰는데, 회와 곁들이 음식이 싱싱했어요.
양이 많은 편은 아니었어요.
매운탕은 부엌에서 끓여 그릇에 담겨 나왔구,
공기밥을 추가로 시켜먹었어요.
큰 기대없이 간다면 괜찮을것 같아요.
주차는 가게 앞에 공영주차장에 했어요.
붐비지 않을 시간에 가서 그런지, 주차에 어려움은 없었어요.",7년 전
5,회는 싱싱하고 맛있어요. 개인적인 취향으론 매운탕은 좀 별로였어요. 조금 짠편이어서... 그래도 다른건 다좋았어요.,4년 전
3,유명한 횟집이라고해서 와봤는데 여러 블로거의 내용처럼 맛있지도 친절하지도 않은 듯합니다. 여타 괸광지가 그러하듯..별반 다르지 않네요,7년 전
5,"회가 너무 싱싱한 건 말할 것도 없고
스끼 종류도 다양하고 푸짐하게 나와요!
음식들도 전부 맛있는데 사장님도 친절하셔서 더 좋았던 것 같네요♥️ 여행중에 들렀던 식당중에 최고로 좋았어요
재방문 의사 9999999% 예요♥️",1년 전
5,"오마카세 특 생선회 1인 8만원짜리 메뉴 시켜먹었어요!
회종류가 많아서 설명은 해주셨는데 잘 기억이 안나네여 ㅜ
회는 먹어보고 부족하면 말하면 더주신다고 하셔서 진짜 갖다 주셨습니다 ㅋㅋㅋ 덕분에 배부르게 술먹었네요 ㅎㅎ",1년 전
5,뷰가 좋고 회가 싱싱해서 기분좋게 먹었어요. 푸짐하게 나오고 사장님도 친절하셔서 너무 좋았습니다!,9달 전
1,"30만원 너무 비싸고 맛없어요
그릇 설겆이도 제대로 안되어 있어 세번이나 교체 했었어요 너무 더러워요 ㅠㅠ
리뷰에 누가 맛있다고 했는지  ㆍㆍ속았어요",3년 전
1,"비쌉니다.
주차도 무료가 아니고
주변에 더 좋는 횟집이 많습니다. 절대비추
아래가 대짜 4인 15만원임.",6년 전
