별점,리뷰,날짜
4,"반찬도 맛있고ᆢ 바로 부쳐서 주시는 굴전이랑 부침개도 맛있습니다.
뚝배기에는 해물이 가득 들어서 푸짐하고 시원했어요. 초등학생 아들도 밥말아서 잘먹었네요^^ 일요일 낮에 갔더니 사람많지 않아서 좋았습니다",1년 전
2,"통영에서 맛집으로 알려져있다
2인 ₩27,000 해물뚝배기를 먹었다
그런데 쫌..인터넷 검색 맛집으로
찾은곳 치고는 부족한듯 하다
(양도 그렇고 맛도 그렇고..)

식사 후
통영 시내를  돌아보니
제일 맛있는집 1인 ₩ 8,000
해물 뚝배기집 간판들이
여기저기 눈에 띈다

아..뭔지 씁쓸하다",6년 전
4,통영 시내로 들어가는 입구 쪽에 있어서 주말에도 차가 많이 막히지 않는다. 주차는 식당 맞은 편에 있는 통영시립도서관에 하면 된다. 물회는 별로다.,7년 전
5,"유투브보고 찾아간집인데.
해물뚝배기와 멍개비빕밥 최고입니다.
절대 후회 안하는 집입니다",5년 전
5,오래된 로컬 음식점으로 해물 뚝배기와 멍게 비빔밥은 정말 맛있네요..기분 좋게 잘 먹었습니다..,2년 전
1,"항상 리뷰보다가 처음으로 올려보네요 로그인하게 만든다는 말 실감 합니다 저 왠만하면 보통정도 되도 맛있게 잘먹는 스타일입니다
여수&통영 여행 마지막 아침으로 먹었는데, 가격대비 맛이라 말하기 어려울 정도입니다. 3박 4일중 어느 가게를 가도 반찬까지 다 좋았습니다(반면 이곳 잡채 반찬은 다음날이면 쉴듯한 상태 였고(바쁘셔서 그렇다 치고), 메인인 뚝배기도 가격대비 양, 맛 모두 기대 이하였습니다",6년 전
1,손님이 시킬려는것을 막고 딴걸 추천하는것이.....추천받은것도 짜고ㅡㅡ 반찬도 짜고  짠음식 좋아 하시는분은 추천이요,4년 전
5,인생 해물뚝배기를 만났습니다!!!!!!구냥 시켜본 낙지볶음도 존맛탱 다른건 장담못하지만 두개는 짱입니다,6년 전
1,"13000원짜리 물회가 무슨3천원짜리 물회인줄..
듣기로는 항남동에서 유명했다고 하던데 무진동? 옮기고서는 로컬들도 안가는 곳이 되었다고.. 두번다시 가기싫어요",1년 전
5,"맛있음. 좀 비싼면이 없지않지만 맛 없는거 돈주고 먹을바에야 맛있는거 돈 더 주고 먹는게 현명함.
최근 맛 없는 것을 3만원이나 주고 사서 먹다가 다 남긴 뒤로는 더 생각이 확고해졌음.",2년 전
3,"b셋트 시켜서 먹었습니다.
블로그에 게시된 글 보고 찾아갔는데, 저희가 많이 기대한것 같습니다.
일든 된장풀어서 조개랑 대하같은것들 때려박은 느낌? 재료와 맛에 비해 비싸용..
장점하나~ 국물은 시원함!
맛집이라고 하던데 주말 11시30분에 갔는데 저희 먹을 동안 손님이 없더라구요..
아무튼 아쉬웠습니다.",3년 전
1,"가면 안됨.
식당 주인 불친절에다가
음식 시큼한 맛에 최악임..  밥 반공기 먹는둥마는둥 서둘러 나옴.
다시는 통영에 안감...",1년 전
1,"인터넷검색후 맛집으로 알고 방문한 향남뚝배기..A코스 두개랑 낚지볶음 2인분을 시켰다..밥은 주문을 안했는데 3개를  ....뚝배기 속의 해물은 어제보다 훨씬 싱싱하지 않았고,코스로 나온 생선구이 두마리...멸치회무침 생선회...이렇다할 맛은 없는듯...음식맛이 다 그렇지 하고 나오는데 계산이 지멋대로...코스는 1인분에 22000원 낚지볶음은 1인분에 11000원 합계 66000원인데 68000원을 내란다....아무리 설명해도 못알아듣는 주인때문에 몇분을 실랑이를 했다..코스에는 밥이 포함이고 한개를 안먹었다는데 67000원이란다....알고보니 밥이 모무 4개로 계산....맛도 별로인데 밥 한두공기로 사람 짜증나게하는식당....두번다시 오고싶지 않은곳이다",4년 전
2,"옆테이블 손님같이 앉아있던 분이 홀서빙, 표정 썩고있음
인스타에 3대 맛집이래서 갔더니 인스타 게시물 행사중;;
맛은 개인적으로 해물탕은 해물된장 느낌이 강했음
마지막 결제 실수까지 두개면 충분함",5년 전
2,개인적인 취향이므로 참고바랍니다. 멀리 여행가서 그지역 맛집찾아 기대하고 한끼 먹는건데 실망이 너무크네요. 그냥 해물몇가지 들어간 된장찌게..TV출연 맛집이라고도 나왔던데 뭘보고 TV 에서 광고를 해준건지 ..  예전부터 TV출연 맛집 자랑은 믿지않았는데 더욱 확고하게 확인시켜 주네요. 콩나물 무침이 상해서 반찬 일일이 와이프가 기미상궁 하고나서 애들 먹였습니다. 에혀~~.,4년 전
3,아직도 제대로된 물회집을만나지못했어요,4년 전
